,SPDL1 (54908)
ACH-000004,-0.965711507119
ACH-000007,-0.964379511732
ACH-000009,-0.9272554705030001
ACH-000011,-0.719310559578
ACH-000012,-0.924537457128
ACH-000013,-0.809298619516
ACH-000014,-0.749488854052
ACH-000015,-0.902420333113
ACH-000017,-0.6227654711399999
ACH-000018,-0.827215433681
ACH-000019,-0.785008330086
ACH-000021,-0.570417096611
ACH-000022,-1.08909018403
ACH-000025,-0.711640147282
ACH-000028,-0.8600281657
ACH-000030,-0.8231745319570001
ACH-000035,-0.8956512408480001
ACH-000036,-0.774465898583
ACH-000037,-1.0103819489799999
ACH-000039,-0.710783170857
ACH-000040,-0.9584196065520001
ACH-000041,-0.891817688259
ACH-000042,-0.627586052868
ACH-000045,-0.8317013253990001
ACH-000047,-0.9438159355429999
ACH-000052,-0.932817103681
ACH-000053,-1.0960020549
ACH-000054,-0.949248872392
ACH-000055,-0.9106136259909999
ACH-000060,-0.917446346356
ACH-000067,-0.7175994495479999
ACH-000070,-1.01301809236
ACH-000075,-0.928937832765
ACH-000078,-1.1572563527700002
ACH-000082,-1.03480843411
ACH-000085,-0.8457722520909999
ACH-000086,-0.7887724899690001
ACH-000087,-0.9920451394509999
ACH-000092,-1.02384116589
ACH-000095,-1.02384503921
ACH-000097,-0.9535984442919999
ACH-000098,-0.7922493598
ACH-000099,-0.847176329553
ACH-000108,-0.779083114812
ACH-000113,-1.00905073
ACH-000115,-1.44418905049
ACH-000116,-0.901042798063
ACH-000118,-0.7279871818770001
ACH-000120,-0.960364256432
ACH-000123,-0.7978848085879999
ACH-000127,-0.805169150102
ACH-000128,-0.828789834796
ACH-000132,-0.545760628239
ACH-000133,-0.582123806856
ACH-000137,-0.857207809323
ACH-000138,-0.779145120624
ACH-000142,-0.6815723638860001
ACH-000143,-0.843352321965
ACH-000146,-0.995093446902
ACH-000148,-0.7515513277879999
ACH-000150,-0.6543143402970001
ACH-000152,-0.840775041548
ACH-000153,-0.850006961879
ACH-000159,-0.808648653768
ACH-000160,-1.29340199021
ACH-000163,-0.907128300635
ACH-000167,-1.21278532985
ACH-000168,-0.715800710419
ACH-000169,-0.8008937706139999
ACH-000178,-0.7023861326649999
ACH-000182,-0.8888858935609999
ACH-000183,-0.73094993678
ACH-000188,-0.9459315128
ACH-000189,-0.8850794085770001
ACH-000190,-0.61285640302
ACH-000198,-0.861013535284
ACH-000204,-0.904664198717
ACH-000206,-0.858195084702
ACH-000207,-1.19866890697
ACH-000211,-0.800313090837
ACH-000215,-1.02560892966
ACH-000221,-0.7032037604350001
ACH-000222,-0.69471124962
ACH-000223,-0.879172483035
ACH-000226,-0.7043914437250001
ACH-000227,-1.4360110667100001
ACH-000228,-0.995599271376
ACH-000231,-0.821835320311
ACH-000232,-0.998387302595
ACH-000233,-0.9019655303540001
ACH-000234,-1.1704003523100002
ACH-000235,-0.952632468638
ACH-000237,-0.8455888554150001
ACH-000238,-1.0432213615
ACH-000243,-0.700786976031
ACH-000244,-0.9436751499510001
ACH-000246,-0.874056807635
ACH-000248,-0.7968110495370001
ACH-000250,-1.02166870176
ACH-000251,-0.579467668834
ACH-000253,-0.804591735056
ACH-000255,-0.791233470253
ACH-000256,-0.801021518586
ACH-000257,-0.957260831714
ACH-000258,-0.551611416198
ACH-000259,-0.8410786080500001
ACH-000260,-1.008303848
ACH-000261,-1.02815890738
ACH-000262,-0.967424593968
ACH-000263,-1.13048176901
ACH-000264,-1.05160364593
ACH-000265,-0.696780001335
ACH-000266,-0.775055306295
ACH-000272,-0.669051971346
ACH-000273,-0.874797162885
ACH-000274,-1.1852122864299999
ACH-000277,-0.7226514531489999
ACH-000278,-0.898397160262
ACH-000279,-1.0753665508399999
ACH-000280,-0.686068615136
ACH-000281,-0.705919318248
ACH-000288,-0.880878153718
ACH-000291,-0.7548039035330001
ACH-000293,-0.755371911969
ACH-000294,-0.9809055869650001
ACH-000295,-0.923856490173
ACH-000296,-0.546455396283
ACH-000302,-0.569415870367
ACH-000304,-0.632245896581
ACH-000307,-0.869578417156
ACH-000308,-0.611667311715
