,DepMap_ID
19889,ACH-000061
33318,ACH-000095
57229,ACH-000189
68208,ACH-000223
74996,ACH-000247
76659,ACH-000251
91534,ACH-000297
104453,ACH-000333
116267,ACH-000365
116655,ACH-000366
134992,ACH-000415
142505,ACH-000433
142964,ACH-000434
155107,ACH-000466
155108,ACH-000466
155563,ACH-000467
170555,ACH-000506
178064,ACH-000523
187618,ACH-000548
190768,ACH-000554
205162,ACH-000586
210707,ACH-000598
239125,ACH-000657
242967,ACH-000664
256780,ACH-000691
283515,ACH-000740
296498,ACH-000763
307305,ACH-000779
311428,ACH-000784
350374,ACH-000789
355051,ACH-000795
375901,ACH-000822
384682,ACH-000834
385486,ACH-000835
419993,ACH-000874
427636,ACH-000881
451936,ACH-000902
479938,ACH-000920
499390,ACH-000930
506703,ACH-000934
513635,ACH-000937
525541,ACH-000941
555356,ACH-000952
558098,ACH-000953
562511,ACH-000954
566690,ACH-000955
598848,ACH-000965
606821,ACH-000967
614029,ACH-000969
629665,ACH-000973
633506,ACH-000974
642330,ACH-000977
649309,ACH-000978
662835,ACH-000981
679170,ACH-000984
679171,ACH-000984
708111,ACH-000988
726462,ACH-000990
736606,ACH-000991
782676,ACH-000992
782677,ACH-000992
782678,ACH-000992
821058,ACH-000994
821059,ACH-000994
821060,ACH-000994
821061,ACH-000994
829991,ACH-000995
829992,ACH-000995
829993,ACH-000995
850484,ACH-000997
850485,ACH-000997
860821,ACH-000998
860822,ACH-000998
881691,ACH-000999
881692,ACH-000999
881693,ACH-000999
881694,ACH-000999
892495,ACH-001021
897675,ACH-001049
975770,ACH-001354
983980,ACH-001369
983981,ACH-001369
992700,ACH-001401
998021,ACH-001414
1009821,ACH-001498
1014279,ACH-001517
1063211,ACH-001674
1063631,ACH-001677
1093810,ACH-002097
1109839,ACH-002152
1118589,ACH-002166
1118590,ACH-002166
1129534,ACH-002186
1132103,ACH-002194
1145556,ACH-002222
1150332,ACH-002232
1167964,ACH-002256
1183438,ACH-002281
1183439,ACH-002281
