,STK31 (56164)
ACH-000004,0.24717949423799998
ACH-000007,0.0883857942674
ACH-000009,0.021385217112599997
ACH-000011,0.13913850346599999
ACH-000012,0.153915213576
ACH-000013,0.28717172582899997
ACH-000014,-0.0470850640936
ACH-000015,0.199540654776
ACH-000017,0.04369498684280001
ACH-000018,0.07101778320919999
ACH-000019,0.34204337231700005
ACH-000021,0.126646025247
ACH-000022,0.254120453428
ACH-000025,0.07724010604880001
ACH-000028,0.16705492754
ACH-000030,0.256816450491
ACH-000035,-0.0280035142215
ACH-000036,0.108294828611
ACH-000037,0.117716600683
ACH-000039,0.265661290043
ACH-000040,0.309459756542
ACH-000041,-0.0781732923335
ACH-000042,0.0877150490472
ACH-000045,0.24384280245999998
ACH-000047,0.130413993031
ACH-000052,0.328358759963
ACH-000053,0.049404870994
ACH-000054,0.132585761556
ACH-000055,-0.09710098196910001
ACH-000060,0.034471828669599996
ACH-000067,0.14446183895099998
ACH-000070,0.09750469821039999
ACH-000075,0.11510710541099999
ACH-000078,-0.0075653991244899995
ACH-000082,-0.0023970569925599997
ACH-000085,0.31350616552
ACH-000086,0.0931047409996
ACH-000087,0.029008603066199998
ACH-000092,0.30258427433
ACH-000095,0.08593300175650001
ACH-000097,0.25492529580400003
ACH-000098,0.185186804905
ACH-000099,0.0242125404665
ACH-000108,-0.0747832989025
ACH-000113,0.0971613028068
ACH-000115,0.008104183752100001
ACH-000116,0.169065835454
ACH-000118,0.142051100316
ACH-000120,0.10071774738500001
ACH-000123,0.0231143249783
ACH-000127,0.0858484606351
ACH-000128,0.0929462198587
ACH-000132,0.476752783504
ACH-000133,0.308880591619
ACH-000137,0.0868508913411
ACH-000138,0.0939864658392
ACH-000142,0.00025153531416999996
ACH-000143,0.07268549566480001
ACH-000146,0.107674746679
ACH-000148,0.0488901429132
ACH-000150,0.208290137097
ACH-000152,0.297988054387
ACH-000153,0.00040780241937800007
ACH-000159,0.151055939056
ACH-000160,0.6459559639760001
ACH-000163,0.294124577622
ACH-000167,0.8065647354019999
ACH-000168,0.13884988845899998
ACH-000169,0.04725891216230001
ACH-000178,0.125357905326
ACH-000182,0.171192117346
ACH-000183,0.118891866527
ACH-000188,0.163923714937
ACH-000189,0.482094961228
ACH-000190,0.709461418839
ACH-000198,0.115061415935
ACH-000204,0.17068444949099998
ACH-000206,0.143292398145
ACH-000207,0.260717802334
ACH-000211,0.191871633314
ACH-000215,0.242546359068
ACH-000221,0.176972141738
ACH-000222,0.304406246563
ACH-000223,0.200540646502
ACH-000226,0.12856685778899998
ACH-000227,-0.058244228417
ACH-000228,0.0585973628577
ACH-000231,0.270311667043
