,DepMap_ID
41167,ACH-000127
157293,ACH-000471
176697,ACH-000520
235990,ACH-000651
247064,ACH-000671
263564,ACH-000702
275358,ACH-000725
295345,ACH-000761
332509,ACH-000786
332510,ACH-000786
332511,ACH-000786
353403,ACH-000793
360337,ACH-000803
383041,ACH-000831
390229,ACH-000842
390230,ACH-000842
390231,ACH-000842
459674,ACH-000909
588690,ACH-000962
613686,ACH-000969
626024,ACH-000972
629442,ACH-000973
678750,ACH-000984
707593,ACH-000988
725493,ACH-000990
778685,ACH-000992
849748,ACH-000997
879779,ACH-000999
913646,ACH-001081
936813,ACH-001145
961410,ACH-001331
976288,ACH-001356
1013837,ACH-001517
1048568,ACH-001610
1055712,ACH-001645
1094857,ACH-002098
1108082,ACH-002147
1118360,ACH-002166
1222754,ACH-002395
