,DepMap_ID
2787,ACH-000009
38990,ACH-000117
39857,ACH-000121
88088,ACH-000287
121414,ACH-000379
154806,ACH-000465
182178,ACH-000534
196280,ACH-000565
225835,ACH-000631
356060,ACH-000796
379356,ACH-000826
464710,ACH-000912
485632,ACH-000923
505371,ACH-000933
563568,ACH-000954
573390,ACH-000957
607666,ACH-000967
663937,ACH-000981
680501,ACH-000984
729282,ACH-000990
863249,ACH-000998
947237,ACH-001199
952787,ACH-001233
959397,ACH-001318
1010132,ACH-001498
1107514,ACH-002146
1156221,ACH-002238
1194330,ACH-002305
1202100,ACH-002311
1214188,ACH-002362
