,DepMap_ID
34930,ACH-000101
90291,ACH-000294
117334,ACH-000368
122261,ACH-000381
147801,ACH-000447
151243,ACH-000455
182932,ACH-000536
207448,ACH-000590
207449,ACH-000590
310007,ACH-000782
377920,ACH-000824
377921,ACH-000824
379225,ACH-000826
392495,ACH-000844
421309,ACH-000875
431852,ACH-000884
496811,ACH-000929
533834,ACH-000944
585781,ACH-000961
622588,ACH-000971
655017,ACH-000979
737414,ACH-000991
737415,ACH-000991
811912,ACH-000993
861624,ACH-000998
914780,ACH-001081
914781,ACH-001081
914782,ACH-001081
921187,ACH-001107
933295,ACH-001137
933296,ACH-001137
949320,ACH-001203
984214,ACH-001369
1067959,ACH-001735
1113223,ACH-002159
1134587,ACH-002199
1148542,ACH-002229
1161605,ACH-002253
1175327,ACH-002268
1178454,ACH-002272
1209122,ACH-002341
