,SYT12 (91683)
ACH-000004,-0.15813417644799999
ACH-000007,-0.21284187779599997
ACH-000009,-0.29209620036999995
ACH-000011,0.0241218006176
ACH-000012,-0.331167749736
ACH-000013,-0.356256768913
ACH-000014,0.115326979453
ACH-000015,-0.35749061312700003
ACH-000017,-0.17741507600099998
ACH-000018,-0.421948833345
ACH-000019,-0.0793738306619
ACH-000021,-0.36163821505500005
ACH-000022,-0.12683900249399999
ACH-000025,-0.15572548366900002
ACH-000028,-0.252632517887
ACH-000030,-0.213957698421
ACH-000035,-0.135765142621
ACH-000036,-0.19185352021899998
ACH-000037,-0.266196446488
ACH-000039,-0.302895371558
ACH-000040,0.0632100888499
ACH-000041,-0.126262800688
ACH-000042,-0.38133652059699996
ACH-000045,-0.36653275729999996
ACH-000047,-0.239948777819
ACH-000052,-0.281179687438
ACH-000053,-0.311133529177
ACH-000054,-0.150290306082
ACH-000055,-0.21384044977299999
ACH-000060,-0.00249563419821
ACH-000067,-0.01928483589
ACH-000070,-0.07434305304
ACH-000075,-0.40473873243
ACH-000078,-0.223915714155
ACH-000082,-0.273458522805
ACH-000085,-0.158541881884
ACH-000086,-0.405940445303
ACH-000087,-0.141359740856
ACH-000092,-0.25342125356
ACH-000095,-0.0830511518972
ACH-000097,-0.442629727112
ACH-000098,-0.179493451066
ACH-000099,-0.309042005254
ACH-000108,-0.28842879297699997
ACH-000113,-0.28286581184500004
ACH-000115,-0.5567394157850001
ACH-000116,-0.505697675708
ACH-000118,-0.406303097675
ACH-000120,-0.36925229409000004
ACH-000123,-0.16976369974599997
ACH-000127,-0.18142927044399998
ACH-000128,-0.189640855457
ACH-000132,-0.203991441257
ACH-000133,-0.344790739367
ACH-000137,-0.322941644744
ACH-000138,-0.543103480229
ACH-000142,-0.0605988545251
ACH-000143,-0.24466811519
ACH-000146,-0.144319917965
ACH-000148,-0.15658484678600001
ACH-000150,-0.323409489106
ACH-000152,-0.188588504387
ACH-000153,-0.298777877538
ACH-000159,-0.063036351064
ACH-000160,-0.5136793825429999
ACH-000163,-0.0252893310681
ACH-000167,-0.469896853569
ACH-000168,-0.0486216042861
ACH-000169,-0.339521879465
ACH-000178,-0.210298255697
ACH-000182,-0.18285639426
ACH-000183,-0.662339818299
ACH-000188,-0.327835943203
ACH-000189,-0.502239665287
ACH-000190,-0.12562243795800002
ACH-000198,-0.137229909737
ACH-000204,-0.369990136337
ACH-000206,-0.2774881172
ACH-000207,-0.757010690974
ACH-000211,-0.334299332572
ACH-000215,-0.188733355952
ACH-000221,-0.261154366338
ACH-000222,-0.332640494357
ACH-000223,-0.23848110048
ACH-000226,-0.24757734700599998
ACH-000227,-0.026741486016799997
ACH-000228,-0.34069552323799995
ACH-000231,-0.187927543899
ACH-000232,-0.166620043025
