,DepMap_ID
44821,ACH-000142
70932,ACH-000233
73250,ACH-000241
131186,ACH-000405
174325,ACH-000514
195071,ACH-000563
234918,ACH-000649
252616,ACH-000681
293042,ACH-000757
295364,ACH-000761
301145,ACH-000770
377844,ACH-000824
396813,ACH-000849
402465,ACH-000856
416153,ACH-000871
430338,ACH-000883
439388,ACH-000890
553000,ACH-000951
582092,ACH-000960
588822,ACH-000962
622152,ACH-000971
642179,ACH-000977
662666,ACH-000981
679003,ACH-000984
693118,ACH-000986
860539,ACH-000998
881004,ACH-000999
881005,ACH-000999
881006,ACH-000999
881007,ACH-000999
923599,ACH-001126
928243,ACH-001127
936960,ACH-001145
941305,ACH-001184
983901,ACH-001369
1040610,ACH-001568
1085708,ACH-002045
