,DepMap_ID
795,ACH-000004
1084,ACH-000005
4197,ACH-000014
8382,ACH-000025
22759,ACH-000065
22760,ACH-000065
22761,ACH-000065
22762,ACH-000065
22763,ACH-000065
22764,ACH-000065
22765,ACH-000065
22766,ACH-000065
22767,ACH-000065
22768,ACH-000065
22769,ACH-000065
22770,ACH-000065
22771,ACH-000065
22772,ACH-000065
22773,ACH-000065
22774,ACH-000065
38844,ACH-000117
50545,ACH-000163
58028,ACH-000192
64885,ACH-000214
69657,ACH-000228
77365,ACH-000253
85529,ACH-000279
96661,ACH-000312
99320,ACH-000317
108642,ACH-000346
109547,ACH-000348
116949,ACH-000367
121233,ACH-000379
146868,ACH-000445
149046,ACH-000450
149047,ACH-000450
153130,ACH-000461
155927,ACH-000468
164536,ACH-000489
181678,ACH-000533
182021,ACH-000534
183531,ACH-000538
183532,ACH-000538
185108,ACH-000543
196020,ACH-000565
196466,ACH-000566
211118,ACH-000599
220597,ACH-000620
234777,ACH-000649
238900,ACH-000657
241085,ACH-000661
244090,ACH-000666
264164,ACH-000703
283862,ACH-000741
284425,ACH-000743
284426,ACH-000743
284427,ACH-000743
285072,ACH-000744
285898,ACH-000745
290472,ACH-000753
292893,ACH-000757
292894,ACH-000757
294731,ACH-000760
296335,ACH-000763
300191,ACH-000769
302432,ACH-000773
308001,ACH-000780
309731,ACH-000782
325526,ACH-000786
325527,ACH-000786
325528,ACH-000786
325529,ACH-000786
325530,ACH-000786
325531,ACH-000786
325532,ACH-000786
325533,ACH-000786
325534,ACH-000786
325535,ACH-000786
325536,ACH-000786
325537,ACH-000786
325538,ACH-000786
325539,ACH-000786
325540,ACH-000786
325541,ACH-000786
325542,ACH-000786
325543,ACH-000786
325544,ACH-000786
325545,ACH-000786
325546,ACH-000786
325547,ACH-000786
325548,ACH-000786
325549,ACH-000786
325550,ACH-000786
325551,ACH-000786
325552,ACH-000786
325553,ACH-000786
325554,ACH-000786
325555,ACH-000786
325556,ACH-000786
325557,ACH-000786
325558,ACH-000786
325559,ACH-000786
325560,ACH-000786
325561,ACH-000786
325562,ACH-000786
325563,ACH-000786
325564,ACH-000786
325565,ACH-000786
325566,ACH-000786
325567,ACH-000786
325568,ACH-000786
325569,ACH-000786
325570,ACH-000786
325571,ACH-000786
325572,ACH-000786
325573,ACH-000786
325574,ACH-000786
325575,ACH-000786
325576,ACH-000786
325577,ACH-000786
325578,ACH-000786
325579,ACH-000786
325580,ACH-000786
325581,ACH-000786
325582,ACH-000786
325583,ACH-000786
325584,ACH-000786
325585,ACH-000786
325586,ACH-000786
325587,ACH-000786
325588,ACH-000786
325589,ACH-000786
325590,ACH-000786
325591,ACH-000786
325592,ACH-000786
325593,ACH-000786
325594,ACH-000786
325595,ACH-000786
325596,ACH-000786
325597,ACH-000786
325598,ACH-000786
325599,ACH-000786
325600,ACH-000786
325601,ACH-000786
325602,ACH-000786
325603,ACH-000786
325604,ACH-000786
325605,ACH-000786
349260,ACH-000788
350128,ACH-000789
352648,ACH-000792
363813,ACH-000807
373330,ACH-000819
395780,ACH-000848
406352,ACH-000861
414405,ACH-000870
422067,ACH-000876
424821,ACH-000879
430069,ACH-000883
432871,ACH-000885
432872,ACH-000885
435224,ACH-000887
436096,ACH-000888
440291,ACH-000891
463796,ACH-000912
467221,ACH-000914
471085,ACH-000916
471086,ACH-000916
474258,ACH-000918
474259,ACH-000918
476192,ACH-000919
478913,ACH-000920
488393,ACH-000925
493354,ACH-000928
498554,ACH-000930
504442,ACH-000933
512140,ACH-000937
512141,ACH-000937
521644,ACH-000940
524732,ACH-000941
530102,ACH-000943
530103,ACH-000943
557122,ACH-000953
560887,ACH-000954
560888,ACH-000954
565567,ACH-000955
568992,ACH-000956
568993,ACH-000956
571865,ACH-000957
575018,ACH-000958
578557,ACH-000959
581276,ACH-000960
584438,ACH-000961
584439,ACH-000961
587894,ACH-000962
587895,ACH-000962
591604,ACH-000963
591605,ACH-000963
591606,ACH-000963
612612,ACH-000969
612613,ACH-000969
616889,ACH-000970
616890,ACH-000970
625039,ACH-000972
636130,ACH-000975
636131,ACH-000975
647169,ACH-000978
647170,ACH-000978
661239,ACH-000981
661240,ACH-000981
677311,ACH-000984
677312,ACH-000984
691290,ACH-000986
698726,ACH-000987
712936,ACH-000989
712937,ACH-000989
722424,ACH-000990
722425,ACH-000990
734151,ACH-000991
764870,ACH-000992
764871,ACH-000992
764872,ACH-000992
764873,ACH-000992
764874,ACH-000992
764875,ACH-000992
764876,ACH-000992
764877,ACH-000992
764878,ACH-000992
764879,ACH-000992
764880,ACH-000992
764881,ACH-000992
764882,ACH-000992
764883,ACH-000992
764884,ACH-000992
764885,ACH-000992
764886,ACH-000992
764887,ACH-000992
764888,ACH-000992
764889,ACH-000992
764890,ACH-000992
764891,ACH-000992
764892,ACH-000992
764893,ACH-000992
764894,ACH-000992
764895,ACH-000992
764896,ACH-000992
764897,ACH-000992
764898,ACH-000992
764899,ACH-000992
764900,ACH-000992
764901,ACH-000992
764902,ACH-000992
764903,ACH-000992
764904,ACH-000992
764905,ACH-000992
764906,ACH-000992
764907,ACH-000992
764908,ACH-000992
764909,ACH-000992
764910,ACH-000992
764911,ACH-000992
764912,ACH-000992
764913,ACH-000992
764914,ACH-000992
764915,ACH-000992
764916,ACH-000992
764917,ACH-000992
764918,ACH-000992
764919,ACH-000992
764920,ACH-000992
764921,ACH-000992
764922,ACH-000992
764923,ACH-000992
764924,ACH-000992
764925,ACH-000992
764926,ACH-000992
764927,ACH-000992
764928,ACH-000992
764929,ACH-000992
764930,ACH-000992
764931,ACH-000992
764932,ACH-000992
764933,ACH-000992
764934,ACH-000992
764935,ACH-000992
764936,ACH-000992
764937,ACH-000992
764938,ACH-000992
764939,ACH-000992
764940,ACH-000992
764941,ACH-000992
764942,ACH-000992
764943,ACH-000992
764944,ACH-000992
764945,ACH-000992
764946,ACH-000992
764947,ACH-000992
764948,ACH-000992
764949,ACH-000992
764950,ACH-000992
764951,ACH-000992
764952,ACH-000992
764953,ACH-000992
764954,ACH-000992
764955,ACH-000992
764956,ACH-000992
764957,ACH-000992
764958,ACH-000992
764959,ACH-000992
764960,ACH-000992
764961,ACH-000992
764962,ACH-000992
809241,ACH-000993
817893,ACH-000994
817894,ACH-000994
817895,ACH-000994
836367,ACH-000996
847256,ACH-000997
857773,ACH-000998
857774,ACH-000998
857775,ACH-000998
857776,ACH-000998
857777,ACH-000998
857778,ACH-000998
873763,ACH-000999
873764,ACH-000999
873765,ACH-000999
873766,ACH-000999
873767,ACH-000999
873768,ACH-000999
892967,ACH-001023
899944,ACH-001063
904548,ACH-001067
904549,ACH-001067
904550,ACH-001067
904551,ACH-001067
904552,ACH-001067
904553,ACH-001067
904554,ACH-001067
911997,ACH-001081
911998,ACH-001081
922951,ACH-001119
936051,ACH-001145
936052,ACH-001145
948492,ACH-001203
948493,ACH-001203
956097,ACH-001289
960500,ACH-001328
983074,ACH-001369
994537,ACH-001407
1004734,ACH-001484
1004735,ACH-001484
1004736,ACH-001484
1005831,ACH-001485
1005832,ACH-001485
1005833,ACH-001485
1012590,ACH-001517
1012591,ACH-001517
1024360,ACH-001542
1042890,ACH-001578
1047262,ACH-001610
1055491,ACH-001645
1065331,ACH-001709
1067561,ACH-001735
1068382,ACH-001736
1075192,ACH-001814
1076033,ACH-001842
1087961,ACH-002059
1110454,ACH-002154
1115082,ACH-002163
1115909,ACH-002164
1134260,ACH-002199
1140439,ACH-002217
1156818,ACH-002239
1165370,ACH-002256
1165371,ACH-002256
1171071,ACH-002258
1175577,ACH-002269
1177465,ACH-002272
1186749,ACH-002287
1206250,ACH-002338
1208214,ACH-002341
1213582,ACH-002360
