,DepMap_ID
18454,ACH-000056
99562,ACH-000318
120377,ACH-000377
120665,ACH-000378
175539,ACH-000517
217067,ACH-000612
256443,ACH-000691
268975,ACH-000714
292083,ACH-000756
313778,ACH-000786
313779,ACH-000786
364139,ACH-000808
364140,ACH-000808
368516,ACH-000813
418058,ACH-000873
419157,ACH-000874
420562,ACH-000875
442901,ACH-000894
461483,ACH-000911
492605,ACH-000928
500508,ACH-000931
537570,ACH-000946
590235,ACH-000963
623801,ACH-000972
627811,ACH-000973
630788,ACH-000974
644618,ACH-000978
656491,ACH-000980
710656,ACH-000989
742181,ACH-000992
742182,ACH-000992
742183,ACH-000992
742184,ACH-000992
742185,ACH-000992
814861,ACH-000994
865665,ACH-000999
865666,ACH-000999
865667,ACH-000999
865668,ACH-000999
893218,ACH-001024
958358,ACH-001318
958359,ACH-001318
967133,ACH-001344
1010368,ACH-001500
1019883,ACH-001526
1022957,ACH-001538
1064933,ACH-001709
1094350,ACH-002098
1201794,ACH-002311
1217621,ACH-002381
