,TOP3B (8940)
ACH-000004,-0.190785069764
ACH-000007,-0.0287815194427
ACH-000009,-0.0416395323118
ACH-000011,-0.119663380769
ACH-000012,-0.125976050497
ACH-000013,-0.12408079735300001
ACH-000014,-0.39552097738
ACH-000015,-0.143096001521
ACH-000017,-0.233059977938
ACH-000018,-0.142677170176
ACH-000019,-0.31018349715599997
ACH-000021,-0.0973598170321
ACH-000022,-0.232481089651
ACH-000025,-0.38206822044
ACH-000028,-0.012622768040499999
ACH-000030,-0.200783352596
ACH-000035,-0.328197623415
ACH-000036,0.0168397434677
ACH-000037,-0.12782639225700002
ACH-000039,-0.225155839316
ACH-000040,-0.203242614296
ACH-000041,-0.294696334066
ACH-000042,-0.269142515785
ACH-000045,-0.171129846213
ACH-000047,-0.0803194139978
ACH-000052,0.06415510755890001
ACH-000053,-0.329263396277
ACH-000054,-0.197573727189
ACH-000055,-0.384261446778
ACH-000060,-0.338060710024
ACH-000067,-0.23149968599399998
ACH-000070,-1.20699787102e-05
ACH-000075,-0.22301226543699998
ACH-000078,-0.300840009751
ACH-000082,-0.0718755542023
ACH-000085,-0.369839526015
ACH-000086,0.0033844184229400004
ACH-000087,-0.035209132082500004
ACH-000092,-0.29991126305599997
ACH-000095,-0.0267463011857
ACH-000097,0.032402206993200004
ACH-000098,-0.268788981957
ACH-000099,-0.17707012849599998
ACH-000108,-0.387853390418
ACH-000113,-0.22107516580400002
ACH-000115,-0.0919310342341
ACH-000116,-0.143636939069
ACH-000118,-0.241670269751
ACH-000120,-0.15490290088300002
ACH-000123,-0.177954482931
ACH-000127,-0.0524608265166
ACH-000128,0.071314308162
ACH-000132,-0.04216443557630001
ACH-000133,-0.326344876547
ACH-000137,0.0804836927043
ACH-000138,-0.00882038647652
ACH-000142,0.08372316916349999
ACH-000143,-0.279969345691
ACH-000146,-0.0705854544275
ACH-000148,-0.028518303447599997
ACH-000150,-0.171150263739
ACH-000152,0.0719758399693
ACH-000153,0.16927181422
ACH-000159,0.07416050580849999
ACH-000160,-0.119623592232
ACH-000163,0.0866281936898
ACH-000167,-0.263343474281
ACH-000168,-0.08357339423480001
ACH-000169,-0.128444002581
ACH-000178,-0.040780872787
ACH-000182,0.00140162933452
ACH-000183,-0.24912466777800002
ACH-000188,-0.147233325685
ACH-000189,0.06952519813189999
ACH-000190,-0.330797176481
ACH-000198,0.0721503622833
ACH-000204,0.196545176829
ACH-000206,-0.0339151302368
ACH-000207,-0.007563753357739999
ACH-000211,-0.37259900288599995
ACH-000215,-0.103216070976
ACH-000221,-0.131035608205
ACH-000222,-0.31079790405
ACH-000223,-0.150825600726
ACH-000226,-0.113257993475
ACH-000227,-0.0803641200962
ACH-000228,0.08041764023039999
ACH-000231,-0.35763393947800004
ACH-000232,-0.197643917207
ACH-000233,-0.357136853456
ACH-000234,-0.0188548281884
ACH-000235,-0.0338927232881
ACH-000237,-0.203894262395
ACH-000238,-0.235445333421
ACH-000243,-0.20391106229699998
ACH-000244,-0.24174405758200002
ACH-000246,-0.11558059621200001
ACH-000248,0.0243077406973
ACH-000250,-0.105631765802
ACH-000251,-0.11222418513
ACH-000253,-0.0828010452174
ACH-000255,-0.25944995471
ACH-000256,-0.155776903542
ACH-000257,-0.00767176957846
ACH-000258,0.17722548193
ACH-000259,-0.21345489807300003
ACH-000260,-0.13086709811799999
ACH-000261,-0.116098223938
ACH-000262,-0.0390351663766
ACH-000263,0.0960022969116
ACH-000264,-0.148266357591
