,TP53TG5 (27296)
ACH-000004,0.0225472853164
ACH-000007,0.222064791052
ACH-000009,0.0860351970277
ACH-000011,0.211744273525
ACH-000012,0.115819906297
ACH-000013,0.10106990441500001
ACH-000014,-0.0995168482319
ACH-000015,0.0376984993568
ACH-000017,0.137965085057
ACH-000018,0.237277544953
ACH-000019,0.332594444398
ACH-000021,0.14482505276799998
ACH-000022,0.196340188433
ACH-000025,-0.0212923823612
ACH-000028,0.259262811036
ACH-000030,-0.0366517046995
ACH-000035,0.11537720555099999
ACH-000036,0.20244935660100002
ACH-000037,0.0989673026599
ACH-000039,0.384840746814
ACH-000040,-0.0310847833385
ACH-000041,0.29421122893
ACH-000042,0.0637717570883
ACH-000045,0.204229713442
ACH-000047,-0.00463415027026
ACH-000052,-0.181472583198
ACH-000053,0.127844818414
ACH-000054,0.0214413703523
ACH-000055,0.152860201884
ACH-000060,-0.061087159757699995
ACH-000067,0.223668971726
ACH-000070,-0.204615483908
ACH-000075,-0.08749178112780001
ACH-000078,0.201016585941
ACH-000082,0.0682510958097
ACH-000085,-0.259047270192
ACH-000086,0.00446501709504
ACH-000087,0.125466000142
ACH-000092,0.00322331839386
ACH-000095,0.0416864366559
ACH-000097,0.12762475408399998
ACH-000098,0.248506542027
ACH-000099,0.22584072224800003
ACH-000108,0.039251231793
ACH-000113,0.11551075655
ACH-000115,0.0392441645599
ACH-000116,-0.0460334049121
ACH-000118,0.130211037843
ACH-000120,0.21779190736499998
ACH-000123,-0.00766470721399
ACH-000127,0.18336038074000002
ACH-000128,0.156650080308
ACH-000132,0.394700984824
ACH-000133,0.111338454336
ACH-000137,0.17503473165300001
ACH-000138,0.07719339228069999
ACH-000142,0.17866972020799998
ACH-000143,0.220624672294
ACH-000146,0.10326815257300001
ACH-000148,0.21189143378800002
ACH-000150,0.132525675595
ACH-000152,0.08199375382089999
ACH-000153,0.192651477845
ACH-000159,0.137306272173
ACH-000160,0.281075686119
ACH-000163,0.0304980331489
ACH-000167,-0.0430985699885
ACH-000168,0.129578408251
ACH-000169,0.17505060269499997
ACH-000178,0.363947449313
ACH-000182,-0.021487263196099997
ACH-000183,0.160617239413
ACH-000188,0.172629388508
ACH-000189,-0.13792621808
ACH-000190,0.15767187640799998
ACH-000198,0.149478035529
ACH-000204,0.187099267236
ACH-000206,0.22945281012
ACH-000207,-0.12271788497700001
ACH-000211,0.0438507083752
ACH-000215,0.282639376562
ACH-000221,0.11561249969000001
ACH-000222,0.275053208488
ACH-000223,0.103632889517
ACH-000226,0.148170485976
ACH-000227,0.0814897115527
ACH-000228,0.10793745784499999
ACH-000231,0.10408523090600001
ACH-000232,-0.0195292817454
ACH-000233,0.07963107307039999
ACH-000234,-0.149332749126
ACH-000235,-0.0030419947018499997
ACH-000237,0.0781065039784
ACH-000238,-0.027641207972599998
ACH-000243,0.13382266734
ACH-000244,0.25127339520799996
ACH-000246,0.055470143816599995
ACH-000248,0.0987809227494
ACH-000250,-0.0166497327023
ACH-000251,0.037085262061999996
ACH-000253,0.09911346534610001
ACH-000255,-0.00579346376341
ACH-000256,-0.132427297955
ACH-000257,-0.0447076328436
ACH-000258,0.00880526287349
ACH-000259,0.103182653378
ACH-000260,0.10974674817800001
ACH-000261,0.08155562675589999
ACH-000262,0.0259529243121
ACH-000263,0.423107041949
ACH-000264,0.146056438871
ACH-000265,0.08654229720170001
ACH-000266,0.122153620578
ACH-000272,0.0129276566536
ACH-000273,0.145501699804
ACH-000274,-0.12306960687799999
ACH-000277,-0.16689013194900001
ACH-000278,0.0656612426592
ACH-000279,0.2182299232
ACH-000280,-0.140407393377
ACH-000281,0.072618639538
ACH-000288,0.056285569269900006
ACH-000291,-0.287852888018
ACH-000293,-0.046607395294
ACH-000294,0.0321122971471
ACH-000295,0.00250150440275
ACH-000296,0.235753149319
ACH-000302,0.226243214886
ACH-000304,0.264530123519
ACH-000307,-0.00442892731283
ACH-000308,0.11547910550599999
ACH-000310,0.184053432075
ACH-000311,0.20192338927900003
ACH-000312,0.23204634273000002
ACH-000315,0.377584233211
ACH-000316,-0.0605378006477
ACH-000317,-0.09377659377
ACH-000318,0.143301524081
ACH-000319,0.11026187593499999
ACH-000320,0.256836475848
ACH-000322,0.0590741343155
ACH-000323,0.240388383304
