,TPD52L3 (89882)
ACH-000004,-0.6663271744870001
ACH-000007,0.0598234642452
ACH-000009,-0.15252072482999998
ACH-000011,-0.004374567194850001
ACH-000012,0.011383761036700002
ACH-000013,0.07844271780789999
ACH-000014,0.0216742368182
ACH-000015,-0.037774196381800004
ACH-000017,0.0737741904253
ACH-000018,-0.0568464331438
ACH-000019,0.016414659395700002
ACH-000021,-0.0013524878456300001
ACH-000022,0.08118273934510001
ACH-000025,-0.0100458162647
ACH-000028,0.0567185384129
ACH-000030,0.0484638321457
ACH-000035,-0.0298462982368
ACH-000036,-0.00215731507207
ACH-000037,-0.140858767968
ACH-000039,0.07275165006239999
ACH-000040,-0.081244017121
ACH-000041,0.131624420895
ACH-000042,0.14810288480699998
ACH-000045,-0.0345423149506
ACH-000047,-0.0543626956076
ACH-000052,0.398763228136
ACH-000053,-0.05170757354040001
ACH-000054,0.0479303272617
ACH-000055,0.00834488027557
ACH-000060,0.0889092913717
ACH-000067,0.08595996781189999
ACH-000070,0.19118232727499998
ACH-000075,0.193440916676
ACH-000078,0.144529895893
ACH-000082,0.032402979510000006
ACH-000085,0.17953256579399998
ACH-000086,0.10480382318499999
ACH-000087,-0.35208178827200004
ACH-000092,-0.06868703956830001
ACH-000095,0.0297338598576
ACH-000097,0.136359355081
ACH-000098,0.139584866348
ACH-000099,-0.16885642788199998
ACH-000108,0.09944848292000001
ACH-000113,-0.000968943764135
ACH-000115,0.0953255843132
ACH-000116,0.17178217995499998
ACH-000118,0.134632379022
ACH-000120,-0.31546023836599996
ACH-000123,0.07353736494860001
ACH-000127,-0.005747487483770001
ACH-000128,-0.006411348832149999
ACH-000132,0.0068693755054299995
ACH-000133,0.0639054309671
ACH-000137,-0.020057146053299998
ACH-000138,5.78452928311e-05
ACH-000142,0.18109798394699997
ACH-000143,-0.208368406213
ACH-000146,0.00240728286396
ACH-000148,-0.10248317353599999
ACH-000150,-0.12291817894099999
ACH-000152,0.07966588438510001
ACH-000153,0.153024512599
ACH-000159,-0.037503202315000005
ACH-000160,0.0886337515667
ACH-000163,0.0826723264118
ACH-000167,-0.102191533658
ACH-000168,0.055989350921400005
ACH-000169,0.0513622881711
ACH-000178,0.114163145816
ACH-000182,-0.0560806127393
ACH-000183,-0.0918559599168
ACH-000188,0.090845908539
ACH-000189,-0.26550199899099997
ACH-000190,0.227776576683
ACH-000198,-0.057766082947399995
ACH-000204,-0.127803630137
ACH-000206,0.13473875477800001
ACH-000207,0.012711127274200002
