,DepMap_ID
11318,ACH-000036
27735,ACH-000068
95246,ACH-000308
152586,ACH-000459
167315,ACH-000496
188719,ACH-000550
196663,ACH-000566
197413,ACH-000568
227669,ACH-000635
229760,ACH-000638
235555,ACH-000650
271961,ACH-000718
283060,ACH-000739
290242,ACH-000752
309363,ACH-000781
349664,ACH-000788
393601,ACH-000845
411249,ACH-000866
417787,ACH-000872
432077,ACH-000884
437003,ACH-000888
450630,ACH-000900
497144,ACH-000929
510176,ACH-000936
520140,ACH-000939
553657,ACH-000951
563554,ACH-000954
573384,ACH-000957
586239,ACH-000961
589652,ACH-000962
596279,ACH-000964
634444,ACH-000974
674653,ACH-000983
695131,ACH-000986
695132,ACH-000986
709549,ACH-000988
887294,ACH-000999
891668,ACH-001002
897752,ACH-001049
929600,ACH-001127
943038,ACH-001190
959393,ACH-001318
965202,ACH-001335
984575,ACH-001369
992813,ACH-001401
1032021,ACH-001550
1032022,ACH-001550
1044403,ACH-001603
1099627,ACH-002114
1119981,ACH-002167
1182455,ACH-002279
