,DepMap_ID
5639,ACH-000017
8319,ACH-000024
19003,ACH-000057
148382,ACH-000448
163396,ACH-000486
166480,ACH-000493
167677,ACH-000498
243838,ACH-000665
259372,ACH-000695
289669,ACH-000751
309450,ACH-000781
492476,ACH-000927
528458,ACH-000942
548030,ACH-000949
596467,ACH-000964
651607,ACH-000978
730578,ACH-000990
823855,ACH-000994
823856,ACH-000994
832091,ACH-000995
832092,ACH-000995
889829,ACH-000999
895374,ACH-001031
930170,ACH-001127
1045570,ACH-001607
1050334,ACH-001610
1066065,ACH-001709
1096771,ACH-002101
1102884,ACH-002125
1181155,ACH-002275
1226571,ACH-002396
