,TTL (150465)
ACH-000004,-0.131736899303
ACH-000007,-0.310920645908
ACH-000009,-0.22897232382399998
ACH-000011,0.116557071042
ACH-000012,-0.21826470542100002
ACH-000013,-0.16379473103599998
ACH-000014,0.07669578210479999
ACH-000015,-0.164032846488
ACH-000017,0.014295092180999999
ACH-000018,-0.146046189539
ACH-000019,-0.058397457372699996
ACH-000021,-0.07001731671400001
ACH-000022,-0.15271788272
ACH-000025,-0.0221193571752
ACH-000028,-0.19987107282000002
ACH-000030,-0.100216258213
ACH-000035,-0.166107037125
ACH-000036,-0.008416967933560001
ACH-000037,-0.19935958210299998
ACH-000039,-0.00466993011687
ACH-000040,-0.0231178776224
ACH-000041,-0.10338892412799999
ACH-000042,-0.12384638683499999
ACH-000045,-0.172789590683
ACH-000047,-0.0751464260164
ACH-000052,-0.058512778533899995
ACH-000053,-0.08084682217860001
ACH-000054,-0.214592234052
ACH-000055,-0.251825709754
ACH-000060,-0.19267897816
ACH-000067,-0.12275547541099999
ACH-000070,-0.06069346179909999
ACH-000075,0.061380016581499997
ACH-000078,-0.29826683284
ACH-000082,-0.0818708779282
ACH-000085,-0.07060080414230001
ACH-000086,0.0595806676031
ACH-000087,0.0824619685166
ACH-000092,-0.227159086815
ACH-000095,-0.05327571841419999
ACH-000097,-0.13065147443800001
ACH-000098,-0.10659785281300001
ACH-000099,-0.269851339887
ACH-000108,-0.265076033994
ACH-000113,-0.0748898607189
ACH-000115,0.039140088652499995
ACH-000116,-0.247544585106
ACH-000118,-0.228093879762
ACH-000120,-0.100055292849
ACH-000123,-0.119470628251
ACH-000127,0.00213570409733
ACH-000128,-0.321717181701
ACH-000132,-0.102587689206
ACH-000133,-0.0949341402325
ACH-000137,-0.180031378786
ACH-000138,-0.284505883588
ACH-000142,-0.11682254404999999
ACH-000143,0.220977147818
ACH-000146,-0.0589642900957
ACH-000148,-0.142092583899
ACH-000150,-0.15476969962200002
ACH-000152,-0.04099662655030001
ACH-000153,-0.194462489358
ACH-000159,-0.10703014782199999
ACH-000160,-0.357599266269
ACH-000163,-0.331850239094
ACH-000167,0.07749357182410001
ACH-000168,-0.146742841002
ACH-000169,-0.0513229996832
ACH-000178,-0.08359957891530001
ACH-000182,-0.17739364318599998
ACH-000183,-0.013764635460700001
ACH-000188,-0.116720048622
ACH-000189,-0.265787556063
ACH-000190,0.139618170184
ACH-000198,-0.0599325524643
ACH-000204,-0.15722691474300002
ACH-000206,-0.322554251008
ACH-000207,0.22882633272
ACH-000211,-0.15090726961
ACH-000215,-0.13202523547800002
ACH-000221,-0.0362025438484
ACH-000222,-0.226969666875
ACH-000223,-0.204847665398
ACH-000226,-0.0778303322706
ACH-000227,-0.0236906518248
ACH-000228,-0.0249946166722
ACH-000231,-0.149851009243
ACH-000232,-0.0558802174019
ACH-000233,-0.12646016342
ACH-000234,-0.553043693101
ACH-000235,-0.161556469611
ACH-000237,-0.0999834662786
ACH-000238,0.0248879690304
ACH-000243,-0.273525565898
ACH-000244,0.0365137570574
ACH-000246,-0.0734764766085
ACH-000248,-0.214157335271
ACH-000250,-0.114353341803
ACH-000251,-0.158185557114
ACH-000253,0.0733847758027
ACH-000255,-0.310823854158
ACH-000256,-0.323003453678
ACH-000257,0.349774138832
ACH-000258,-0.00941666195316
ACH-000259,-0.142086583016
ACH-000260,-0.294305657117
ACH-000261,-0.142476631717
ACH-000262,-0.425426119868
ACH-000263,0.425332216675
ACH-000264,-0.05363770256849999
ACH-000265,-0.22325472005199998
ACH-000266,-0.18283319168900003
ACH-000272,-0.353725325779
ACH-000273,0.0731211766486
ACH-000274,-0.07109928001360001
ACH-000277,-0.0020594646719
ACH-000278,-0.087144267236
ACH-000279,-0.09774524799499999
ACH-000280,-0.115143351777
ACH-000281,-0.195554867382
ACH-000288,-0.13974676362400001
ACH-000291,-0.06372267365069999
ACH-000293,-0.124274071857
ACH-000294,0.09037567326189999
ACH-000295,0.106357853665
ACH-000296,0.0700759320006
ACH-000302,-0.103622855113
ACH-000304,-0.170948402888
ACH-000307,-0.280281902692
ACH-000308,-0.17755564864999998
ACH-000310,-0.140544668993
ACH-000311,-0.317340049901
ACH-000312,-0.22445430673300001
ACH-000315,-0.035763507785199995
ACH-000316,-0.0879395856439
ACH-000317,-0.179366844339
ACH-000318,-0.13592613335999998
ACH-000319,-0.00867145646464
ACH-000320,-0.309055060406
ACH-000322,0.105070579838
ACH-000323,0.0919914532581
ACH-000324,-0.25701156725499996
ACH-000329,-0.19815334413400001
ACH-000330,-0.154696225451
ACH-000331,-0.018485773063599997
ACH-000332,-0.157730138881
ACH-000334,0.08861343892960001
ACH-000335,-0.040004760551
ACH-000336,-0.331023635729
ACH-000337,0.023439765978799997
ACH-000339,-0.0992853198976
ACH-000341,0.0516716781951
ACH-000348,0.0268669530787
ACH-000350,-0.0100009378906
ACH-000352,-0.0929118915831
ACH-000356,-0.243182741199
ACH-000361,-0.187989415646
ACH-000362,-0.153248479428
ACH-000363,-0.0718805052437
ACH-000364,-0.21720954593800001
ACH-000365,-0.118351462194
ACH-000366,-0.175149707139
ACH-000368,-0.19581052850000003
ACH-000374,-0.21610792996300002
ACH-000375,-0.198477625046
ACH-000376,-0.160624008612
ACH-000381,-0.273290131559
ACH-000383,-0.10371010347899999
ACH-000387,-0.0711370012912
ACH-000389,-0.0783661068688
ACH-000390,-0.12406603795
ACH-000393,0.0351143253436
ACH-000395,-0.09893072266339999
ACH-000397,-0.107606524406
ACH-000401,-0.035805179948
ACH-000402,0.040833658271199995
ACH-000403,-0.13210058848200001
ACH-000404,-0.36790613537100003
ACH-000406,-0.114651906755
ACH-000407,-0.228780924534
ACH-000408,-0.175610296066
ACH-000410,0.0537627078742
ACH-000411,-0.09456057948480001
ACH-000414,-0.0901221711108
ACH-000415,-0.211288216212
ACH-000416,-0.0686802864252
ACH-000420,-0.0985782264192
ACH-000421,-0.154213756256
ACH-000424,-0.0661852841494
ACH-000425,-0.158354160679
ACH-000426,0.11524467012
ACH-000427,-0.00817315221387
ACH-000433,0.257568529554
ACH-000436,-0.092343471185
ACH-000444,0.0647344614438
ACH-000445,0.17887093011799998
ACH-000448,0.060092268689299996
ACH-000450,0.029326572650700003
ACH-000452,-0.16542330045700002
ACH-000454,-0.312304787036
ACH-000458,-0.0410010426125
ACH-000459,-0.233029515262
ACH-000460,-0.14702154130200001
ACH-000461,-0.04955684337709999
ACH-000463,-0.276004582757
ACH-000464,-0.148846824012
ACH-000466,-0.211950751349
ACH-000467,-0.0445074445285
ACH-000468,-0.192907055293
ACH-000469,-0.146633306286
ACH-000470,0.06257356827169999
ACH-000471,-0.072250034331
ACH-000472,-0.0567222996234
ACH-000473,0.015672718722700003
ACH-000475,-0.159162381673
ACH-000476,0.150759673667
ACH-000477,-0.182510803954
ACH-000480,-0.0304938514899
ACH-000481,-0.321252775926
ACH-000483,0.11394217543299999
ACH-000484,0.24884438577100002
ACH-000485,-0.07360793501589999
ACH-000486,-0.102823868675
ACH-000487,-0.259593453008
ACH-000488,-0.019705792985099998
ACH-000490,-0.196089280363
ACH-000491,-0.0176878841881
ACH-000495,-0.300792513194
ACH-000496,-0.339536805633
ACH-000499,-0.217092994023
ACH-000500,-0.8859768508339999
ACH-000502,-0.06029788498599999
ACH-000503,-0.12856621902100002
ACH-000505,-0.17445730788
ACH-000507,-0.139753854931
ACH-000510,-0.163827300439
ACH-000511,-0.11155253428300001
ACH-000512,-0.163558356491
ACH-000516,-0.137315508745
ACH-000517,-0.0654610274961
ACH-000518,-0.00574792649607
ACH-000520,-0.208303215244
ACH-000521,-0.080185009376
ACH-000522,-0.0679910047826
ACH-000524,0.0615833847705
ACH-000527,-0.130896382185
ACH-000528,-0.028389565301599997
ACH-000537,-0.0238023373955
ACH-000541,-0.0840803716323
ACH-000542,-0.0881477045486
ACH-000544,-0.044708949825599996
ACH-000545,-0.183067670407
ACH-000547,0.185934479294
ACH-000548,-0.067497097868
ACH-000549,-0.30195049926399997
ACH-000550,0.00818685687596
ACH-000552,0.042813768533100004
ACH-000556,-0.0321589845371
ACH-000557,-0.17378982961300002
ACH-000570,-0.190103378849
ACH-000571,-0.0490923908132
ACH-000573,-0.015757536869
ACH-000576,-0.135498551295
ACH-000580,-0.00359007744443
ACH-000584,-0.226271067254
ACH-000585,-0.0305271095961
ACH-000588,-0.125716524369
ACH-000589,0.048825821651999994
ACH-000591,-0.0914615911032
ACH-000593,-0.04274126470930001
ACH-000600,0.021673532291200004
ACH-000601,-0.163293834854
ACH-000604,0.050185692465699996
ACH-000605,-0.21807398663400002
ACH-000606,-0.10652490004000001
ACH-000608,-0.16277992198799998
ACH-000614,0.184394995632
ACH-000616,-0.13242446854599998
ACH-000618,-0.14938051134000002
ACH-000619,-0.118489025924
ACH-000620,-0.192377088437
ACH-000621,0.07447279247769999
ACH-000622,0.024072291634299997
ACH-000623,-0.17444348953699998
ACH-000624,-0.045996945911300005
ACH-000627,-0.0194252256288
ACH-000630,-0.218188367581
ACH-000632,-0.104314026689
ACH-000633,-0.0915823569936
ACH-000637,0.024146236712299998
ACH-000638,-0.37159000511600004
ACH-000646,0.263681803407
ACH-000647,-0.0817261473101
ACH-000648,-0.29157720356100003
ACH-000649,-0.09013076486400001
ACH-000651,-0.19442333703099998
ACH-000652,0.09004426779439999
