,TTLL10 (254173)
ACH-000004,0.138666736381
ACH-000007,-0.122191645857
ACH-000009,0.0253965514457
ACH-000011,-0.159284740903
ACH-000012,0.08140332839719999
ACH-000013,-0.0183626081192
ACH-000014,0.0702712289549
ACH-000015,0.029805225430999997
ACH-000017,-0.0580991460162
ACH-000018,-0.105884380097
ACH-000019,0.170831983704
ACH-000021,-0.0693607337748
ACH-000022,-0.0430056815202
ACH-000025,-0.0666310563687
ACH-000028,0.0785364674732
ACH-000030,0.0906616449697
ACH-000035,0.0405540674279
ACH-000036,-0.0032443967874899995
ACH-000037,0.172795208226
ACH-000039,-0.257529663421
ACH-000040,-0.132779883772
ACH-000041,-0.183072362656
ACH-000042,-0.13053493819599998
ACH-000045,-0.165354278813
ACH-000047,0.0383801531234
ACH-000052,-0.103158931187
ACH-000053,0.0578519892022
ACH-000054,0.164792382639
ACH-000055,0.269887505966
ACH-000060,0.0172414592315
ACH-000067,-0.11448096394000001
ACH-000070,0.096484508961
ACH-000075,0.34580098924099995
ACH-000078,-0.040306326867999995
ACH-000082,0.161885086645
ACH-000085,-0.122166452786
ACH-000086,-0.025114348404299998
ACH-000087,-0.07503582763069999
ACH-000092,-0.0590495402202
ACH-000095,0.0419081843712
ACH-000097,-0.0130040953348
ACH-000098,0.0316443173882
ACH-000099,-0.04170805467830001
ACH-000108,-0.12044130647500001
ACH-000113,0.05216322038480001
ACH-000115,-0.332582130321
ACH-000116,0.0580195039735
ACH-000118,0.09316000786489999
ACH-000120,-0.00381523659034
ACH-000123,0.144820120247
ACH-000127,0.034926757641
ACH-000128,0.0776517806357
ACH-000132,-0.0654757348568
ACH-000133,0.255961395823
ACH-000137,0.278560394714
ACH-000138,-0.0176769505308
ACH-000142,-0.0546017320794
ACH-000143,0.020159288456
ACH-000146,-0.0307449627617
ACH-000148,-0.042276136690100004
ACH-000150,-0.263484891213
ACH-000152,0.06204861551180001
ACH-000153,0.268299597881
ACH-000159,0.105869061981
ACH-000160,-0.03256906925959999
ACH-000163,0.0638421721288
ACH-000167,0.10122262927200001
ACH-000168,-0.011966260313999999
ACH-000169,0.09379193096619999
ACH-000178,0.00713110509401
ACH-000182,0.10890563642000001
ACH-000183,-0.0613238285606
ACH-000188,-0.0785198162058
ACH-000189,0.160536790746
ACH-000190,-0.121261474757
ACH-000198,0.06826625318969999
ACH-000204,0.107664159979
ACH-000206,0.100556608621
