,DepMap_ID
1406,ACH-000006
19378,ACH-000059
82361,ACH-000268
107686,ACH-000343
114661,ACH-000360
162082,ACH-000483
194525,ACH-000562
229573,ACH-000638
372073,ACH-000817
393391,ACH-000845
426464,ACH-000880
446444,ACH-000897
488950,ACH-000925
531277,ACH-000943
547276,ACH-000949
562380,ACH-000954
562381,ACH-000954
566612,ACH-000955
595842,ACH-000964
609969,ACH-000968
617981,ACH-000970
679047,ACH-000984
715053,ACH-000989
781687,ACH-000992
781688,ACH-000992
781689,ACH-000992
811161,ACH-000993
820811,ACH-000994
820812,ACH-000994
839207,ACH-000996
860629,ACH-000998
900351,ACH-001063
928303,ACH-001127
930810,ACH-001129
1014141,ACH-001517
1014142,ACH-001517
1111891,ACH-002157
1167767,ACH-002256
1189514,ACH-002290
