,DepMap_ID
3021,ACH-000010
5006,ACH-000015
76750,ACH-000251
85694,ACH-000279
127827,ACH-000395
144374,ACH-000438
180402,ACH-000528
203301,ACH-000582
234156,ACH-000647
260677,ACH-000697
264569,ACH-000703
267560,ACH-000709
289658,ACH-000751
301437,ACH-000770
304059,ACH-000775
355418,ACH-000795
377216,ACH-000823
389789,ACH-000841
391684,ACH-000843
425670,ACH-000879
446824,ACH-000897
446825,ACH-000897
448132,ACH-000898
461369,ACH-000910
532672,ACH-000943
542588,ACH-000947
553847,ACH-000951
559008,ACH-000953
563905,ACH-000954
577241,ACH-000958
577242,ACH-000958
577243,ACH-000958
589897,ACH-000962
593909,ACH-000963
599728,ACH-000965
619191,ACH-000970
627423,ACH-000972
634725,ACH-000974
634726,ACH-000974
674939,ACH-000983
680929,ACH-000984
688297,ACH-000985
688298,ACH-000985
717380,ACH-000989
717381,ACH-000989
801161,ACH-000992
801162,ACH-000992
801163,ACH-000992
801164,ACH-000992
801165,ACH-000992
801166,ACH-000992
801167,ACH-000992
813826,ACH-000993
823622,ACH-000994
831920,ACH-000995
843013,ACH-000996
843014,ACH-000996
853571,ACH-000997
889168,ACH-000999
889169,ACH-000999
916837,ACH-001081
923221,ACH-001119
938027,ACH-001145
956411,ACH-001295
956811,ACH-001301
979440,ACH-001363
987548,ACH-001377
998216,ACH-001414
998217,ACH-001414
1000465,ACH-001430
1032415,ACH-001550
1050244,ACH-001610
1052391,ACH-001626
1054326,ACH-001639
1061824,ACH-001655
1075075,ACH-001796
1094262,ACH-002097
1104555,ACH-002135
1108407,ACH-002147
1130020,ACH-002188
1146849,ACH-002222
1178991,ACH-002272
1211117,ACH-002347
1212433,ACH-002353
1217335,ACH-002378
1226460,ACH-002396
