,UXS1 (80146)
ACH-000004,-0.138665733907
ACH-000007,-0.648898466394
ACH-000009,-0.289076565896
ACH-000011,-0.8277998033130001
ACH-000012,-0.45733415471199995
ACH-000013,-0.242014199239
ACH-000014,-0.603130139433
ACH-000015,-0.51186027536
ACH-000017,-1.4334567530899998
ACH-000018,-0.34736782128
ACH-000019,-1.50567574876
ACH-000021,-0.196948201334
ACH-000022,-0.52992599025
ACH-000025,-0.49582928701000006
ACH-000028,-1.1744307868100001
ACH-000030,-1.09798366243
ACH-000035,-0.710200812597
ACH-000036,-0.537162245019
ACH-000037,-0.46448659457900004
ACH-000039,-0.556164326839
ACH-000040,-0.34379520646399997
ACH-000041,-0.126412885594
ACH-000042,-0.326288476036
ACH-000045,-0.23509171525699998
ACH-000047,-1.3426160736000001
ACH-000052,-0.300056134991
ACH-000053,-0.5422260199210001
ACH-000054,-0.286532920321
ACH-000055,-0.30684882863400004
ACH-000060,-0.201763288179
ACH-000067,-0.547928450041
ACH-000070,-0.627826622591
ACH-000075,-0.581806460303
ACH-000078,-0.146832780873
ACH-000082,-0.371725907574
ACH-000085,-0.378336798518
ACH-000086,-0.401119752368
ACH-000087,-0.225314669465
ACH-000092,-0.30516954230300003
ACH-000095,-0.40321409780199996
ACH-000097,-0.8604731674349999
ACH-000098,-0.484496093119
ACH-000099,-0.210367934351
ACH-000108,-1.14983582128
ACH-000113,-0.638692066886
ACH-000115,-0.421961272752
ACH-000116,-0.343725696548
ACH-000118,-0.656760573767
ACH-000120,-0.343290330713
ACH-000123,-0.4938124483
ACH-000127,-0.42840950571099995
ACH-000128,-0.413425767966
ACH-000132,-0.371038981008
ACH-000133,-0.41062674532399995
ACH-000137,-0.552752194781
ACH-000138,-0.976663139137
ACH-000142,-0.731077944129
ACH-000143,-0.44561418533200003
ACH-000146,-0.229747009179
ACH-000148,-0.45576240426200004
ACH-000150,0.0678919499998
ACH-000152,-0.7152315266879999
ACH-000153,-0.589904930858
ACH-000159,-0.377264277248
ACH-000160,-0.408741452795
ACH-000163,-0.39636480955200004
ACH-000167,-0.727664832322
