,VARS (7407)
ACH-000004,-1.13354366691
ACH-000007,-1.1531091874700001
ACH-000009,-1.35768572807
ACH-000011,-1.15782931036
ACH-000012,-1.14376724249
ACH-000013,-1.3188614784000001
ACH-000014,-1.14092850971
ACH-000015,-1.3027126176000001
ACH-000017,-1.20832798758
ACH-000018,-1.30093356764
ACH-000019,-0.829122000208
ACH-000021,-1.19173242389
ACH-000022,-1.20462604316
ACH-000025,-1.44343571348
ACH-000028,-1.21201237361
ACH-000030,-1.21253187427
ACH-000035,-1.44264164591
ACH-000036,-1.32363449529
ACH-000037,-0.986535621807
ACH-000039,-0.8997134374269999
ACH-000040,-1.12253003816
ACH-000041,-1.28107018311
ACH-000042,-1.6308979801299999
ACH-000045,-1.15792434094
ACH-000047,-1.41548609774
ACH-000052,-1.07251459808
ACH-000053,-1.35226331205
ACH-000054,-1.5156859845100001
ACH-000055,-1.27065332067
ACH-000060,-1.3514286617200002
ACH-000067,-1.37581328335
ACH-000070,-1.22069816155
ACH-000075,-1.7021952715600002
ACH-000078,-1.17336435937
ACH-000082,-1.54805266343
ACH-000085,-1.46824658925
ACH-000086,-1.3700397174799999
ACH-000087,-1.2090845822
ACH-000092,-1.3722577172400001
ACH-000095,-1.2558611781
ACH-000097,-1.26941065406
ACH-000098,-1.36125059891
ACH-000099,-1.47666089836
ACH-000108,-1.47133885861
ACH-000113,-1.23889428066
ACH-000115,-0.902860688775
ACH-000116,-1.16772951088
ACH-000118,-0.860025468765
ACH-000120,-1.1507800924
ACH-000123,-1.26141975475
ACH-000127,-1.32419869064
ACH-000128,-1.3849578526700002
ACH-000132,-1.22395934935
ACH-000133,-1.04075935679
ACH-000137,-1.54902331811
ACH-000138,-1.04352757344
ACH-000142,-1.1956819999700001
ACH-000143,-1.44409901972
ACH-000146,-0.8770958284010001
ACH-000148,-1.25503732588
ACH-000150,-1.1491386984799998
ACH-000152,-1.3375300969
ACH-000153,-1.57084104269
ACH-000159,-1.4837653298
ACH-000160,-1.40411108226
ACH-000163,-1.21547911102
ACH-000167,-1.50851618587
ACH-000168,-1.2238844582
ACH-000169,-1.36611936878
ACH-000178,-1.1357975208700002
ACH-000182,-1.2360300712799999
ACH-000183,-1.19757349707
ACH-000188,-1.12455442224
ACH-000189,-1.1150601713600001
ACH-000190,-1.46995144999
ACH-000198,-0.971935698707
ACH-000204,-1.19858830361
ACH-000206,-1.69534135416
ACH-000207,-0.756926812141
ACH-000211,-1.46485455384
ACH-000215,-1.2187175343
ACH-000221,-1.200973055
ACH-000222,-1.33480733361
ACH-000223,-1.23133623241
ACH-000226,-1.0989332625900001
ACH-000227,-0.9835536459299999
ACH-000228,-1.36314556389
ACH-000231,-1.4205330507299998
ACH-000232,-1.27254046764
ACH-000233,-1.3663701443399998
ACH-000234,-1.4042308532499999
ACH-000235,-1.2720668794499999
ACH-000237,-1.38477413639
ACH-000238,-1.24669847791
ACH-000243,-1.2096569540100002
ACH-000244,-1.1872919678899998
ACH-000246,-1.17407520437
ACH-000248,-1.02183837236
ACH-000250,-1.22578110751
ACH-000251,-1.38853523877
ACH-000253,-1.2719099787200001
ACH-000255,-1.10055313607
ACH-000256,-1.52359234759
ACH-000257,-1.29674189438
ACH-000258,-1.32558641585
ACH-000259,-1.17958746725
ACH-000260,-1.04573731448
ACH-000261,-1.4400920946200002
ACH-000262,-1.59522442118
ACH-000263,-1.24423774058
ACH-000264,-1.42892121616
ACH-000265,-1.07438698968
ACH-000266,-1.29315409575
ACH-000272,-1.06595788838
ACH-000273,-1.5041464941299998
ACH-000274,-1.71988490594
ACH-000277,-1.39538534146
ACH-000278,-1.23556088456
ACH-000279,-1.1478134761399998
ACH-000280,-1.30450023711
ACH-000281,-1.4295316104799998
ACH-000288,-1.34709421967
ACH-000291,-1.2509784991600001
ACH-000293,-1.78272077607
ACH-000294,-1.239245342
ACH-000295,-1.07654083756
ACH-000296,-1.0944124876399999
ACH-000302,-1.5927294020700002
ACH-000304,-1.18650180829
ACH-000307,-1.2473679824700001
ACH-000308,-1.38800561074
ACH-000310,-0.755069061099
ACH-000311,-1.5218305179299998
ACH-000312,-1.21961321741
ACH-000315,-1.34199714243
ACH-000316,-1.65105664512
ACH-000317,-1.13245808086
ACH-000318,-1.13018044229
ACH-000319,-1.43105645028
ACH-000320,-1.33296007965
ACH-000322,-1.0649702193700001
ACH-000323,-1.51221266706
ACH-000324,-1.13299550721
ACH-000329,-0.909695134297
ACH-000330,-1.06923181018
ACH-000331,-1.10847744256
ACH-000332,-1.0389121667499999
ACH-000334,-1.48153495568
ACH-000335,-1.2875810453
ACH-000336,-1.2600287699200001
ACH-000337,-1.37862535105
ACH-000339,-1.10798902841
ACH-000341,-1.8751396393000002
ACH-000348,-1.35923355474
ACH-000350,-1.4681397993399998
ACH-000352,-1.39274725168
ACH-000356,-1.3373452491
ACH-000361,-1.28379230158
ACH-000362,-1.10052482471
ACH-000363,-1.2845333764799998
ACH-000364,-1.29291291786
ACH-000365,-1.17729892373
ACH-000366,-1.5180428448299998
ACH-000368,-1.4172573494999998
ACH-000374,-1.01019975433
ACH-000375,-1.20058143327
ACH-000376,-0.93747224964
ACH-000381,-1.04123391778
ACH-000383,-1.42640870251
ACH-000387,-1.27913757827
ACH-000389,-1.1492463079100002
ACH-000390,-1.17729116576
ACH-000393,-1.6949478814200003
ACH-000395,-1.16582452197
ACH-000397,-1.2266566164100001
ACH-000401,-1.3888741106400002
ACH-000402,-1.5195938444100001
ACH-000403,-1.61033111282
ACH-000404,-1.02033564328
ACH-000406,-1.01894033576
ACH-000407,-1.4917475396200002
ACH-000408,-1.04051138066
ACH-000410,-1.1716170887200001
ACH-000411,-1.29124479214
ACH-000414,-1.25205133218
ACH-000415,-1.02561111576
ACH-000416,-1.3617606734999999
ACH-000420,-1.22469641017
ACH-000421,-1.36304762841
ACH-000424,-1.27842418983
ACH-000425,-1.1401404362
ACH-000426,-1.56691193817
ACH-000427,-1.69446540538
ACH-000433,-1.4047902347299999
ACH-000436,-0.7199270087080001
ACH-000444,-1.08110771167
ACH-000445,-1.25863614944
ACH-000448,-1.23634766437
ACH-000450,-1.3218196110299998
ACH-000452,-1.4744181428999998
ACH-000454,-0.983062841831
ACH-000458,-1.5709351698899998
ACH-000459,-0.756593076841
ACH-000460,-1.07699266249
ACH-000461,-1.6829565181400001
ACH-000463,-1.32495582293
ACH-000464,-1.1638169275399999
ACH-000466,-1.1807883564
ACH-000467,-1.10434934922
ACH-000468,-1.63472122973
ACH-000469,-1.35024991382
ACH-000470,-1.43539291771
ACH-000471,-1.22493493498
ACH-000472,-1.24723341487
ACH-000473,-1.65277101623
ACH-000475,-1.1458219753299999
ACH-000476,-1.37167682838
ACH-000477,-1.0838220732100001
ACH-000480,-1.22588744166
ACH-000481,-1.51745048979
ACH-000483,-1.53162528482
ACH-000484,-1.36595157785
ACH-000485,-1.28456698765
ACH-000486,-1.34871733963
ACH-000487,-1.2065224743
ACH-000488,-1.23154024895
ACH-000490,-1.34645262865
ACH-000491,-1.3082200344600001
ACH-000495,-1.24609547721
ACH-000496,-1.2748032203
ACH-000499,-0.966818682551
ACH-000500,-1.0735609415799998
ACH-000502,-1.1167151688799999
ACH-000503,-1.53243381014
ACH-000505,-1.58407094963
ACH-000507,-1.19948924074
ACH-000510,-1.2436951083
ACH-000511,-1.5351570728200001
ACH-000512,-1.2909779128899999
ACH-000516,-1.29359964526
ACH-000517,-1.40263800687
ACH-000518,-1.00810098663
ACH-000520,-1.32856519265
ACH-000521,-1.1436527432299999
ACH-000522,-1.3119874921999999
ACH-000524,-1.3832658230700001
ACH-000527,-1.06467831832
ACH-000528,-0.737589212201
ACH-000537,-1.45478559246
ACH-000541,-1.7402299736000002
ACH-000542,-1.17515218014
ACH-000544,-1.12956826719
ACH-000545,-1.5390999011200002
ACH-000547,-1.22522742473
ACH-000548,-1.0809151029200001
ACH-000549,-1.37781351381
ACH-000550,-1.434584495
ACH-000552,-1.38095791572
ACH-000556,-1.19613998551
ACH-000557,-1.03411961966
ACH-000570,-1.2443093913299998
ACH-000571,-1.2486278502
ACH-000573,-1.3380627992
ACH-000576,-1.02283328033
ACH-000580,-1.25387809092
ACH-000584,-1.24156394535
ACH-000585,-1.06462680207
ACH-000588,-1.45320755416
ACH-000589,-1.1055260144399999
ACH-000591,-1.18362999604
ACH-000593,-1.31873452791
ACH-000600,-1.2161522238
ACH-000601,-1.21599220446
ACH-000604,-1.1416122027700002
ACH-000605,-0.8162019823710001
ACH-000606,-1.08723232813
ACH-000608,-1.3672554809
ACH-000614,-1.18381700995
ACH-000616,-1.2339019455700002
ACH-000618,-1.29979626409
ACH-000619,-1.3606393497100002
ACH-000620,-1.3581496784799998
ACH-000621,-1.34227141901
ACH-000622,-1.6465746794799998
ACH-000623,-1.04375391926
ACH-000624,-1.07129365833
ACH-000627,-1.3462617668299999
ACH-000630,-1.40319811116
ACH-000632,-1.0588080523
ACH-000633,-1.63892180506
ACH-000637,-1.37662048519
ACH-000638,-1.14968206258
ACH-000646,-1.67231706054
ACH-000647,-1.25156867946
ACH-000648,-1.47735259714
ACH-000649,-1.3642871973299997
ACH-000651,-1.31898114809
ACH-000652,-1.77934715982
ACH-000653,-1.0563644495
ACH-000657,-1.38009155917
ACH-000658,-0.9859097899250001
ACH-000661,-1.2178390564200001
ACH-000662,-1.75924588995
ACH-000663,-1.13303760047
ACH-000665,-1.26203883287
ACH-000671,-1.30570134369
ACH-000673,-1.22156118744
ACH-000676,-1.12931707385
ACH-000677,-1.1960376238500001
ACH-000681,-1.30162882767
ACH-000682,-1.16662192301
ACH-000683,-1.03539093677
ACH-000684,-1.1363737926000002
ACH-000688,-1.29167398214
ACH-000693,-1.34552567728
ACH-000694,-1.15739319662
ACH-000695,-1.3616558706400002
ACH-000696,-1.18082081126
ACH-000697,-1.08885721527
ACH-000699,-1.0476019921
ACH-000701,-1.1210966747799997
ACH-000706,-1.27903195914
ACH-000711,-1.16692395808
ACH-000713,-1.15765693652
ACH-000714,-1.4080922642299998
ACH-000718,-1.41283194044
ACH-000720,-1.2612659222700002
ACH-000721,-1.14622291935
ACH-000724,-1.0898716351
ACH-000725,-1.0396832988200002
ACH-000732,-1.4508321519799998
ACH-000734,-1.15609892619
ACH-000735,-1.3030494389899998
ACH-000736,-1.40851506741
ACH-000738,-1.07596699123
ACH-000746,-1.4389160786500002
ACH-000747,-0.95922016885
ACH-000748,-1.3581007281600002
ACH-000753,-1.39284807928
ACH-000756,-1.3873136217299997
ACH-000757,-1.12503189188
ACH-000758,-1.32604050063
ACH-000760,-1.23352346923
ACH-000763,-1.15986486922
ACH-000764,-1.36800472845
ACH-000765,-1.52532267072
ACH-000766,-1.38560672475
ACH-000767,-1.5925950009099998
ACH-000768,-0.925388566294
ACH-000769,-1.07960222004
ACH-000770,-1.1968052263200002
ACH-000771,-0.979678394638
ACH-000773,-1.23677328168
ACH-000776,-1.4159492295299998
ACH-000777,-1.18556348107
ACH-000778,-1.4170437617299998
ACH-000781,-1.2158337129999999
ACH-000782,-1.28075896302
ACH-000783,-1.2227817385100002
ACH-000784,-1.3703833091100002
ACH-000785,-1.11659981528
ACH-000787,-1.14820270141
ACH-000788,-0.999868555553
ACH-000791,-1.13201692677
ACH-000792,-1.56993332553
ACH-000794,-1.12381708813
ACH-000796,-1.30784951143
ACH-000799,-0.916226451381
ACH-000800,-1.30727974973
ACH-000802,-1.3304876059200001
ACH-000804,-0.849980464774
ACH-000805,-1.13470024737
ACH-000809,-1.3737518200799999
ACH-000810,-0.94333023594
ACH-000811,-1.42092471606
ACH-000817,-1.18594212763
ACH-000819,-1.31905834827
ACH-000820,-1.4387597569400001
ACH-000821,-1.2290144564499998
ACH-000822,-1.56244636276
ACH-000823,-1.09962386702
ACH-000824,-1.71758580155
ACH-000827,-1.18827122295
ACH-000829,-1.42356097185
ACH-000831,-1.25763244967
ACH-000832,-1.12771929756
ACH-000833,-1.75703841759
ACH-000834,-1.15031592327
ACH-000835,-1.27969253288
ACH-000836,-1.46078350989
ACH-000837,-1.12785904122
ACH-000838,-1.34984399965
ACH-000839,-1.42384935246
ACH-000840,-1.25214553469
ACH-000841,-1.34868004273
ACH-000843,-1.0182440976
ACH-000846,-1.15100082301
ACH-000847,-1.22445148075
ACH-000848,-1.0192199851700001
ACH-000849,-0.928204195783
ACH-000851,-1.42195384544
ACH-000855,-1.3909833910799998
ACH-000856,-1.32991466223
ACH-000858,-0.9975686212970001
ACH-000859,-1.3715579376299998
ACH-000861,-1.1984563928899998
ACH-000862,-1.0
ACH-000865,-1.25127486949
ACH-000866,-1.15662458439
ACH-000867,-1.22710467515
ACH-000869,-1.55587626234
ACH-000872,-1.11194715143
ACH-000873,-1.4258265305899998
ACH-000876,-0.94911502359
ACH-000878,-1.3128879938200002
ACH-000880,-1.1895454841600002
ACH-000881,-1.3432604176299998
ACH-000882,-0.991097505971
ACH-000884,-1.26859907929
ACH-000885,-1.2676775599899999
ACH-000887,-0.963189363568
ACH-000888,-1.40194654093
ACH-000889,-1.1782669777099999
ACH-000890,-0.870324298832
ACH-000896,-1.19132549665
ACH-000898,-1.53622840201
ACH-000900,-0.967304342982
ACH-000901,-1.2439717721799999
ACH-000905,-1.2493014372600002
ACH-000906,-1.33454918164
ACH-000907,-1.15905304118
ACH-000910,-1.07444539754
ACH-000911,-1.3869636763600002
ACH-000912,-1.3657142390500001
ACH-000913,-1.2051552008600002
ACH-000915,-1.05723422587
ACH-000916,-1.7490952554099999
ACH-000917,-1.45091725308
ACH-000921,-1.1930234168
ACH-000924,-1.31502319776
ACH-000926,-1.43904615179
ACH-000928,-1.16929934874
ACH-000929,-0.9624956130500001
ACH-000932,-1.3812897999399998
ACH-000935,-1.3328943832100002
ACH-000936,-1.20838432161
ACH-000937,-1.4028562937399998
ACH-000938,-1.2187947061700002
ACH-000939,-1.19687022462
ACH-000941,-1.46217082843
ACH-000943,-1.33123411689
ACH-000946,-1.3861266805899999
ACH-000947,-1.32261073502
ACH-000948,-0.8076868642389999
ACH-000950,-1.15568152638
ACH-000953,-1.61882241382
ACH-000957,-1.21292212009
ACH-000958,-1.06603174767
ACH-000960,-1.08253971745
ACH-000963,-1.07347675653
ACH-000968,-1.11038289544
ACH-000969,-1.47152110104
ACH-000973,-1.34395219583
ACH-000974,-1.2351149711700002
ACH-000975,-1.02082564552
ACH-000976,-1.5687019940399998
ACH-000978,-1.7490397832
ACH-000980,-1.3151878950799998
ACH-000984,-1.1989272768500001
ACH-000986,-1.3032594266
ACH-000988,-1.25742193065
ACH-000993,-0.861168460349
ACH-000994,-1.5718662447
ACH-000996,-1.14997267968
ACH-001001,-1.339276908
ACH-001020,-1.09416914125
ACH-001028,-1.3443218190000001
ACH-001031,-1.26890138812
ACH-001038,-1.37371399598
ACH-001048,-1.17585504921
ACH-001050,-1.3298399256
ACH-001053,-1.1665365447799998
ACH-001054,-1.171976527
ACH-001061,-1.08651595662
ACH-001067,-1.38563059072
ACH-001075,-1.1318255925
ACH-001096,-1.4078500404299998
ACH-001128,-1.75275559604
ACH-001134,-1.58075713282
ACH-001151,-1.32043988838
ACH-001163,-1.2597816949
ACH-001164,-1.31758506415
ACH-001173,-1.3770316331499999
ACH-001183,-1.26028891401
ACH-001184,-0.995123671129
ACH-001190,-1.3523635762200001
ACH-001192,-0.998520292388
ACH-001193,-1.2881491072799998
ACH-001196,-1.2148545021100001
ACH-001197,-1.2417569987600001
ACH-001205,-1.2406810762
ACH-001211,-1.31982248095
ACH-001212,-1.2085506936200001
ACH-001228,-1.0
ACH-001232,-1.55562617362
ACH-001239,-1.39405019571
ACH-001274,-1.50213968186
ACH-001275,-1.2271578234799998
ACH-001277,-1.6618487496799998
ACH-001278,-1.26619666625
ACH-001280,-0.577429884148
ACH-001283,-1.3134259209899999
ACH-001289,-1.12136729155
ACH-001295,-1.16816954968
ACH-001300,-1.2509686604799999
ACH-001301,-1.2416863625
ACH-001302,-1.16735116123
ACH-001303,-1.6107088089800001
ACH-001306,-1.32075455509
ACH-001318,-1.40611420034
ACH-001322,-1.21790348395
ACH-001328,-1.39043635157
ACH-001332,-1.39487318889
ACH-001333,-1.2031452065200001
ACH-001336,-1.19719497006
ACH-001340,-1.07944730329
ACH-001346,-1.1119634488299999
ACH-001353,-1.25837290279
ACH-001354,-1.2673729902500002
ACH-001367,-1.19785369812
ACH-001368,-1.51670898627
ACH-001374,-1.4286249308899999
ACH-001375,-1.3733798046799999
ACH-001377,-1.14642349979
ACH-001380,-1.16137377594
ACH-001391,-1.5507258903499999
ACH-001407,-1.1421634342
ACH-001408,-1.3158933371700001
ACH-001413,-1.07708228825
ACH-001430,-1.55731095264
ACH-001431,-1.2028957171799999
ACH-001450,-1.19592873085
ACH-001496,-1.1825621910100002
ACH-001500,-1.40247185087
ACH-001521,-1.322686193
ACH-001523,-1.0021658957100001
ACH-001532,-1.32475838271
ACH-001536,-1.18762249926
ACH-001550,-1.4248485874899999
ACH-001552,-1.3948171240600002
ACH-001554,-1.20690429351
ACH-001645,-1.34416151409
ACH-001654,-1.18896834285
ACH-001715,-1.15206930684
ACH-001735,-1.2582882751
ACH-001736,-1.3940813000999999
ACH-001737,-1.1272006048999998
ACH-001740,-1.04060183886
ACH-001745,-0.865459474318
ACH-001750,-1.23490361584
ACH-001765,-1.28960375019
ACH-001956,-1.39244637816
ACH-001957,-1.3541736729299998
