,DepMap_ID
15711,ACH-000043
17207,ACH-000050
49169,ACH-000158
51475,ACH-000167
66499,ACH-000219
97019,ACH-000313
107271,ACH-000342
111830,ACH-000353
125789,ACH-000391
127567,ACH-000395
133161,ACH-000410
157697,ACH-000472
171562,ACH-000508
182770,ACH-000536
189543,ACH-000552
200308,ACH-000576
226680,ACH-000633
227466,ACH-000635
285170,ACH-000744
303663,ACH-000775
351086,ACH-000790
352028,ACH-000791
407805,ACH-000863
410765,ACH-000866
419723,ACH-000874
419724,ACH-000874
428794,ACH-000882
443115,ACH-000894
472996,ACH-000917
474435,ACH-000918
486548,ACH-000924
488611,ACH-000925
493647,ACH-000928
541461,ACH-000947
552480,ACH-000951
565992,ACH-000955
581633,ACH-000960
592042,ACH-000963
606026,ACH-000967
613156,ACH-000969
613157,ACH-000969
629063,ACH-000973
629064,ACH-000973
641385,ACH-000977
647953,ACH-000978
653965,ACH-000979
653966,ACH-000979
673405,ACH-000983
678067,ACH-000984
684603,ACH-000985
699476,ACH-000987
713767,ACH-000989
723951,ACH-000990
723952,ACH-000990
819176,ACH-000994
848464,ACH-000997
848465,ACH-000997
858858,ACH-000998
876711,ACH-000999
876712,ACH-000999
891376,ACH-001002
919102,ACH-001091
923317,ACH-001125
945934,ACH-001199
995514,ACH-001409
997311,ACH-001413
1006780,ACH-001489
1018373,ACH-001523
1034361,ACH-001552
1037461,ACH-001563
1038470,ACH-001566
1051373,ACH-001624
1055605,ACH-001645
1080361,ACH-002001
1081049,ACH-002002
1081746,ACH-002003
1086556,ACH-002052
1109405,ACH-002151
1117992,ACH-002166
1117993,ACH-002166
1117994,ACH-002166
1120956,ACH-002170
1141241,ACH-002220
1166521,ACH-002256
1166522,ACH-002256
1193534,ACH-002303
1212367,ACH-002353
1219133,ACH-002387
1219840,ACH-002388
1221569,ACH-002392
1224595,ACH-002396
