,VSIG10 (54621)
ACH-000004,0.10556325839099999
ACH-000007,-0.0494870325827
ACH-000009,-0.137537780155
ACH-000011,-0.0627760254534
ACH-000012,-0.0057029580556000005
ACH-000013,-0.189336989676
ACH-000014,-0.055328755500099996
ACH-000015,-0.16259922859
ACH-000017,-0.13606768823100002
ACH-000018,0.06193507921040001
ACH-000019,-0.254620896399
ACH-000021,-0.122203059032
ACH-000022,-0.141202875143
ACH-000025,-0.17211692164
ACH-000028,-0.0985806228482
ACH-000030,0.10580662102399999
ACH-000035,-0.167817347936
ACH-000036,-0.0731520757352
ACH-000037,-0.215808683601
ACH-000039,-0.151131656404
ACH-000040,-0.188174125872
ACH-000041,-0.246014607715
ACH-000042,-0.09492496358719998
ACH-000045,0.144001521403
ACH-000047,-0.114548652385
ACH-000052,-0.183241036492
ACH-000053,-0.086697933447
ACH-000054,0.00338807936481
ACH-000055,-0.190951836584
ACH-000060,-0.0263138144617
ACH-000067,-0.0334948094191
ACH-000070,-0.057385863078
ACH-000075,-0.279628492351
ACH-000078,-0.20552558914000002
ACH-000082,-0.004147018309650001
ACH-000085,-0.307514799112
ACH-000086,-0.134099324634
ACH-000087,-0.24058086161800002
ACH-000092,-0.0775813829383
ACH-000095,-0.09007894302919998
ACH-000097,-0.0131311931282
ACH-000098,-0.0762237791427
ACH-000099,-0.033775696759599995
ACH-000108,0.12239318255000001
ACH-000113,-0.236366435244
ACH-000115,-0.199799663358
ACH-000116,-0.0783484296273
ACH-000118,-0.0662361591268
ACH-000120,0.0031386558103100003
ACH-000123,-0.0935353201169
ACH-000127,-0.005965877624819999
ACH-000128,-0.268941599534
ACH-000132,-0.017319084103
ACH-000133,-0.111211511162
ACH-000137,-0.159914941509
ACH-000138,-0.144794650396
ACH-000142,-0.18304988078899997
ACH-000143,0.00968252494967
ACH-000146,-0.0169044821074
ACH-000148,-0.14158584962600002
ACH-000150,-0.107702354428
ACH-000152,-0.09837281118789999
ACH-000153,-0.17172696553
ACH-000159,-0.0920588799508
ACH-000160,-0.055915157036100005
ACH-000163,-0.211004208254
ACH-000167,-0.450631394881
ACH-000168,-0.0718824760518
ACH-000169,-0.181346733478
ACH-000178,0.019443205818400002
ACH-000182,0.04600590131030001
ACH-000183,-0.032892845060700004
ACH-000188,0.0388457100745
ACH-000189,0.23663828378
