,DepMap_ID
3118,ACH-000011
6086,ACH-000019
43841,ACH-000138
71437,ACH-000235
76289,ACH-000250
83982,ACH-000274
84495,ACH-000276
150319,ACH-000453
154595,ACH-000465
156691,ACH-000470
213603,ACH-000605
227087,ACH-000634
239894,ACH-000659
242202,ACH-000663
248356,ACH-000674
254037,ACH-000684
281283,ACH-000736
285839,ACH-000745
293504,ACH-000758
296928,ACH-000764
300793,ACH-000770
309666,ACH-000782
321831,ACH-000786
321832,ACH-000786
321833,ACH-000786
321834,ACH-000786
321835,ACH-000786
354425,ACH-000795
393063,ACH-000845
410545,ACH-000866
470855,ACH-000916
478590,ACH-000920
483600,ACH-000922
488204,ACH-000925
488205,ACH-000925
500668,ACH-000931
501903,ACH-000932
511689,ACH-000937
524466,ACH-000941
524467,ACH-000941
529700,ACH-000943
548870,ACH-000950
556811,ACH-000953
560438,ACH-000954
560439,ACH-000954
578249,ACH-000959
591207,ACH-000963
605128,ACH-000967
616556,ACH-000970
620569,ACH-000971
628424,ACH-000973
631784,ACH-000974
635850,ACH-000975
646472,ACH-000978
676708,ACH-000984
676709,ACH-000984
698050,ACH-000987
712233,ACH-000989
721124,ACH-000990
733282,ACH-000991
758390,ACH-000992
758391,ACH-000992
758392,ACH-000992
758393,ACH-000992
758394,ACH-000992
758395,ACH-000992
758396,ACH-000992
835273,ACH-000996
856736,ACH-000998
856737,ACH-000998
893479,ACH-001024
897519,ACH-001049
903946,ACH-001067
925401,ACH-001127
935766,ACH-001145
955461,ACH-001280
965391,ACH-001336
969362,ACH-001345
986365,ACH-001377
989067,ACH-001386
1003414,ACH-001458
1012121,ACH-001517
1012122,ACH-001517
1053488,ACH-001638
1067465,ACH-001735
1077044,ACH-001853
1103460,ACH-002129
1114041,ACH-002161
1117407,ACH-002166
1130894,ACH-002191
1177202,ACH-002272
1192988,ACH-002302
1196740,ACH-002309
1217045,ACH-002377
