,WDR60 (55112)
ACH-000004,0.38956162665399996
ACH-000007,0.08959227772339999
ACH-000009,0.19106606096
ACH-000011,0.584106286856
ACH-000012,0.409430190699
ACH-000013,0.303791745991
ACH-000014,0.38902516947899995
ACH-000015,0.34682337814499997
ACH-000017,0.459193915194
ACH-000018,0.0577873358005
ACH-000019,0.109082766891
ACH-000021,0.336467348597
ACH-000022,0.29989774035100003
ACH-000025,0.325822465354
ACH-000028,0.299462227179
ACH-000030,0.329532042099
ACH-000035,0.43922922829899996
ACH-000036,0.222656222403
ACH-000037,0.38383125166599996
ACH-000039,0.440024766396
ACH-000040,0.471035522315
ACH-000041,0.179921176455
ACH-000042,0.104598091158
ACH-000045,0.490449482482
ACH-000047,0.200885834419
ACH-000052,0.40766785276699996
ACH-000053,0.30377527291900003
ACH-000054,0.555507291259
ACH-000055,0.315182369014
ACH-000060,0.341792128639
ACH-000067,0.20349902439800002
ACH-000070,0.0831760811851
ACH-000075,0.229896650945
ACH-000078,0.202491315726
ACH-000082,0.353494883706
ACH-000085,0.34418203268799996
ACH-000086,0.262972764177
ACH-000087,-0.0336156005559
ACH-000092,0.29270534866500003
ACH-000095,0.354413694463
ACH-000097,0.330885047197
ACH-000098,0.397058273869
ACH-000099,0.123907422556
ACH-000108,0.217116026043
ACH-000113,0.36963638863799997
ACH-000115,0.269943629031
ACH-000116,0.289423635255
ACH-000118,0.400557632829
ACH-000120,0.32429230588
ACH-000123,0.19240680948199998
ACH-000127,0.337326485239
ACH-000128,0.278141323494
ACH-000132,0.398228446169
ACH-000133,0.260854686056
ACH-000137,0.5334416627899999
ACH-000138,0.08609658159280001
ACH-000142,0.39081948786799997
ACH-000143,0.35790416547799997
ACH-000146,0.20623871675
ACH-000148,0.358424293006
ACH-000150,0.441740563892
ACH-000152,0.414110379525
ACH-000153,0.465939054399
ACH-000159,0.300514035161
ACH-000160,0.5821244308510001
ACH-000163,0.575156627428
ACH-000167,0.38625744326
ACH-000168,0.295513518382
ACH-000169,0.315709891986
