,WTIP (126374)
ACH-000004,0.22100014962900003
ACH-000007,0.268956791482
ACH-000009,0.14744808745899998
ACH-000011,0.188648896846
ACH-000012,0.185388190276
ACH-000013,-0.11779513545
ACH-000014,0.0999522341276
ACH-000015,0.15946820505599998
ACH-000017,0.115228517385
ACH-000018,0.296694149422
ACH-000019,-0.189906214238
ACH-000021,0.251961802884
ACH-000022,0.259022794627
ACH-000025,0.355140302112
ACH-000028,0.161457932837
ACH-000030,0.11826940030099999
ACH-000035,0.243190936845
ACH-000036,-0.020041624004500002
ACH-000037,0.325171182016
ACH-000039,0.07418727435
ACH-000040,0.278730469105
ACH-000041,0.128361388334
ACH-000042,0.367550363548
ACH-000045,0.23615341882500002
ACH-000047,0.229747523195
ACH-000052,-0.0139863972052
ACH-000053,0.12586867160499998
ACH-000054,0.21138602336800003
ACH-000055,0.17160694832000004
ACH-000060,0.33828277096500003
ACH-000067,0.16437885806299998
ACH-000070,0.279338200055
ACH-000075,0.10075182551
ACH-000078,0.292280292373
ACH-000082,0.20294238569000003
ACH-000085,0.031069182266700003
ACH-000086,0.265906993704
ACH-000087,-0.0011265888946099998
ACH-000092,0.147914019308
ACH-000095,0.061730787933
ACH-000097,0.07582282507999999
ACH-000098,0.240184177231
ACH-000099,0.243036937815
ACH-000108,0.508647735189
ACH-000113,0.253813877119
ACH-000115,-0.0601988407013
ACH-000116,-0.0024313657314899997
ACH-000118,0.388005316859
ACH-000120,0.199106794287
ACH-000123,0.237997545176
ACH-000127,0.209166953947
ACH-000128,0.102583365187
ACH-000132,0.09574634370200001
ACH-000133,-0.0146854599069
ACH-000137,0.0403079305774
ACH-000138,0.331785045461
ACH-000142,0.13232632011499998
ACH-000143,0.193430753219
ACH-000146,0.218192167812
ACH-000148,0.18899617257399998
ACH-000150,0.0765537986549
ACH-000152,0.18466100612599998
ACH-000153,-0.000273320095434
ACH-000159,0.166013224318
ACH-000160,0.263583208828
ACH-000163,0.193663173059
ACH-000167,0.19775518455200003
ACH-000168,0.299313627097
ACH-000169,0.23998248530000002
ACH-000178,0.244666339096
ACH-000182,0.14484514852299998
ACH-000183,0.2937945368
ACH-000188,0.19045043182799998
ACH-000189,-0.311288935163
ACH-000190,0.26896991083099997
ACH-000198,0.31640982062899997
ACH-000204,0.161574543255
ACH-000206,0.0611542685738
ACH-000207,0.279635776112
ACH-000211,0.180747322393
ACH-000215,0.11048180117900001
ACH-000221,-0.00600069529008
ACH-000222,0.592061352765
ACH-000223,0.27598075724
ACH-000226,-0.00204448816467
ACH-000227,0.617917861874
ACH-000228,-0.126589052423
ACH-000231,0.27588457932599997
ACH-000232,0.122288205475
ACH-000233,0.269825493819
ACH-000234,0.24051139107900002
ACH-000235,0.272858555932
ACH-000237,0.261243988286
ACH-000238,0.492278920238
ACH-000243,0.262355255413
ACH-000244,-0.043460431448499995
ACH-000246,0.176665481339
ACH-000248,0.14737919778
ACH-000250,0.24377359364700002
ACH-000251,0.33381148175500003
ACH-000253,0.15018077663499999
ACH-000255,0.0574578432204
ACH-000256,-0.0999580209973
ACH-000257,0.20204401720400003
ACH-000258,0.395745278472
ACH-000259,0.205508015563
ACH-000260,0.0947581548291
ACH-000261,0.22083031770300002
ACH-000262,0.22992822311099997
ACH-000263,0.304575434689
ACH-000264,0.18455793658199998
ACH-000265,0.37247773992600003
ACH-000266,0.222295133496
ACH-000272,0.212220021745
ACH-000273,0.25901248495900003
ACH-000274,0.16335612411699998
ACH-000277,0.0758769288498
ACH-000278,0.09004577070280001
ACH-000279,0.360759665131
ACH-000280,-0.0327965928543
ACH-000281,0.47157693745800006
ACH-000288,0.317428816116
ACH-000291,-0.135495990492
ACH-000293,-0.0420865618136
ACH-000294,0.241699282744
ACH-000295,0.29159701184500003
ACH-000296,0.375255118853
ACH-000302,0.171506807567
ACH-000304,0.08257413616239999
ACH-000307,0.266806247234
ACH-000308,0.251974257797
ACH-000310,0.0427569926491
ACH-000311,0.312002463088
ACH-000312,0.394405426441
ACH-000315,0.089512660124
ACH-000316,0.263822570709
ACH-000317,0.40154318938600003
ACH-000318,0.168898023728
ACH-000319,0.144266840135
ACH-000320,0.6619989732
ACH-000322,0.349223057791
ACH-000323,0.285570282632
ACH-000324,0.144765207209
ACH-000329,0.157361913011
ACH-000330,0.221347235236
ACH-000331,0.155455525748
ACH-000332,0.309140266247
ACH-000334,0.349427879964
ACH-000335,0.0419821543445
ACH-000336,-0.00385270725859
ACH-000337,-0.113962240351
ACH-000339,0.196823721179
ACH-000341,-0.0795764818213
ACH-000348,0.221966906256
ACH-000350,0.16607354979800001
ACH-000352,0.28878550711999995
ACH-000356,0.013531575873499999
ACH-000361,0.217290137401
ACH-000362,0.277506094053
ACH-000363,0.0826230705023
ACH-000364,0.14809367784000002
ACH-000365,0.335978826508
ACH-000366,0.12444312960100001
ACH-000368,0.045581169813400005
ACH-000374,0.375349465712
ACH-000375,0.19964516279
ACH-000376,0.19127822683499998
ACH-000381,0.112551950363
ACH-000383,0.0944276162061
ACH-000387,0.382970587539
ACH-000389,0.11862835066400002
ACH-000390,0.271163208772
ACH-000393,0.35681549886200004
ACH-000395,0.220288570046
ACH-000397,0.0520568852061
ACH-000401,0.0721433146428
ACH-000402,0.22369297599800003
ACH-000403,0.11420897269300001
ACH-000404,0.06416063043909999
ACH-000406,0.282520405729
ACH-000407,0.116824579795
ACH-000408,-0.38669862961499996
ACH-000410,0.116998286194
ACH-000411,0.141610478491
ACH-000414,0.109533757827
ACH-000415,0.08172889062319999
ACH-000416,0.24994757637899997
ACH-000420,-0.07456607088339999
ACH-000421,0.18485144287500002
ACH-000424,0.184157969025
ACH-000425,0.290300495818
ACH-000426,0.28023044216299997
ACH-000427,-0.115567072392
ACH-000433,0.34146125384000003
ACH-000436,-0.005174560245770001
ACH-000444,0.257908127931
ACH-000445,0.0820199250481
ACH-000448,0.240303422493
ACH-000450,0.226064097698
ACH-000452,0.21769667890099997
ACH-000454,-0.232363242956
ACH-000458,0.237189232422
ACH-000459,0.0395521936482
ACH-000460,0.18587251847800002
ACH-000461,0.0934858702378
ACH-000463,0.0228287031709
ACH-000464,0.363630473773
ACH-000466,-0.0799204528315
ACH-000467,0.181525290722
ACH-000468,0.21626513976199999
ACH-000469,0.26564345231
ACH-000470,0.19810736623300002
ACH-000471,0.112097482844
ACH-000472,0.1767262276
ACH-000473,0.09724252123390001
ACH-000475,0.115231965107
ACH-000476,0.0809104894347
ACH-000477,0.08765861774039999
ACH-000480,0.224304081833
ACH-000481,-0.0171167525254
ACH-000483,-0.127008718148
ACH-000484,0.13189732837
ACH-000485,0.038043350141099996
ACH-000486,0.024544502680700003
ACH-000487,0.314083939162
ACH-000488,0.0366489253879
ACH-000490,0.143591780364
ACH-000491,0.259385753787
ACH-000495,0.161037923764
ACH-000496,0.123604258729
ACH-000499,-0.0774495561925
ACH-000500,0.0628665261531
ACH-000502,0.15621919956900002
ACH-000503,0.135422380309
ACH-000505,0.17806149441100003
ACH-000507,0.257914519237
ACH-000510,-0.0585103841845
ACH-000511,0.14772324634
ACH-000512,0.0638285765479
ACH-000516,0.0768303959547
ACH-000517,0.207901937269
ACH-000518,0.24849972187199998
ACH-000520,0.15889567701500001
ACH-000521,0.487680248312
ACH-000522,0.26687477220600003
ACH-000524,-0.0867945560578
ACH-000527,0.117582609524
ACH-000528,0.16848709121199998
ACH-000537,0.192823965361
ACH-000541,0.29394859178300003
ACH-000542,0.150529783631
