,ZBTB16 (7704)
ACH-000004,-0.149769163757
ACH-000007,0.309384672195
ACH-000009,0.10454246666000001
ACH-000011,0.250185766543
ACH-000012,0.10445656945699999
ACH-000013,0.08880233208010001
ACH-000014,0.06840728568690001
ACH-000015,0.162330603889
ACH-000017,0.25357530869399997
ACH-000018,0.0106109134864
ACH-000019,0.137272182076
ACH-000021,0.239022686577
ACH-000022,0.122743733346
ACH-000025,0.33839791115199996
ACH-000028,0.151148021462
ACH-000030,0.19912701384599998
ACH-000035,0.16588034193
ACH-000036,0.21516665548099997
ACH-000037,0.0949541360236
ACH-000039,0.190705569223
ACH-000040,0.009909821753969998
ACH-000041,-0.024096837558400003
ACH-000042,0.0627528023465
ACH-000045,0.581540440785
ACH-000047,0.173234055777
ACH-000052,0.344447777598
ACH-000053,0.214065339573
ACH-000054,0.1082298644
ACH-000055,0.39305450845299994
ACH-000060,-0.0167267113888
ACH-000067,0.386510475461
ACH-000070,0.23676743597600003
ACH-000075,0.45316821836599996
ACH-000078,0.046756873813800004
ACH-000082,0.18642656914
ACH-000085,0.020276666795000002
ACH-000086,0.0920790033161
ACH-000087,0.153405038741
ACH-000092,0.16391496361
ACH-000095,0.157295354281
ACH-000097,0.136003393744
ACH-000098,0.232855256853
ACH-000099,0.133953622434
ACH-000108,-0.04333744031219999
ACH-000113,0.00874329630451
ACH-000115,0.021348377122599998
ACH-000116,0.12220556624000002
ACH-000118,0.223159854375
ACH-000120,0.126955177757
ACH-000123,0.202261992701
ACH-000127,0.143185397862
ACH-000128,0.12215719913100001
ACH-000132,0.20530216741
ACH-000133,0.0640262769057
ACH-000137,0.179062102248
ACH-000138,0.14781534116800002
ACH-000142,0.149356271239
ACH-000143,-0.0106761828122
ACH-000146,0.09137394671389999
ACH-000148,0.310071476631
ACH-000150,-0.129061322577
ACH-000152,0.137832228444
ACH-000153,0.505943480713
ACH-000159,0.184602579828
ACH-000160,0.74874965771
ACH-000163,0.22318122020300002
ACH-000167,1.0810435901200002
ACH-000168,0.143854760572
ACH-000169,0.0761438325384
ACH-000178,0.218000711686
ACH-000182,0.0662092033213
ACH-000183,0.11770919264699999
ACH-000188,0.1723910357
ACH-000189,0.12104033376399999
ACH-000190,0.6924640698360001
ACH-000198,0.19146273028000002
ACH-000204,0.230314657489
ACH-000206,-0.0665218225317
ACH-000207,0.393637108346
ACH-000211,0.0987945276564
ACH-000215,0.101093931604
ACH-000221,0.08598541703260001
ACH-000222,0.17014823111400001
ACH-000223,0.322745592051
ACH-000226,0.203299205607
ACH-000227,0.250966960952
ACH-000228,-0.126254233937
ACH-000231,0.0877237707876
ACH-000232,0.20033368910399998
ACH-000233,0.15825226432
ACH-000234,0.052841479887800004
ACH-000235,0.14544727152
ACH-000237,0.19108296342599998
ACH-000238,0.154569982686
ACH-000243,0.0936664026641
ACH-000244,0.236247717073
ACH-000246,0.144075754551
ACH-000248,0.09807793417999999
ACH-000250,0.183128564298
ACH-000251,0.15862495704399998
ACH-000253,0.320134279978
ACH-000255,0.105930176746
ACH-000256,-0.0111022723056
ACH-000257,0.0663909089781
ACH-000258,0.07285814122169999
ACH-000259,0.0120019162855
ACH-000260,0.15716786970000002
ACH-000261,0.34452486508599994
ACH-000262,0.013196332811799999
ACH-000263,0.171722601698
ACH-000264,0.261955600011
ACH-000265,0.120315903884
ACH-000266,0.10069302040200001
ACH-000272,0.08704988701439999
ACH-000273,0.0913940482187
ACH-000274,0.09979625266270001
ACH-000277,0.0650993181122
ACH-000278,0.177214573304
ACH-000279,-0.033693421197500004
ACH-000280,-0.182341092472
ACH-000281,-0.0826548977157
ACH-000288,0.315592207433
ACH-000291,0.149748735419
ACH-000293,0.284542415138
ACH-000294,0.15708303957
ACH-000295,0.251599404161
ACH-000296,0.250252605045
ACH-000302,0.239810881622
ACH-000304,0.275134677497
ACH-000307,0.17681140440999998
ACH-000308,0.115407917566
ACH-000310,0.0837732716114
ACH-000311,0.05265413380580001
ACH-000312,0.0955008270407
ACH-000315,0.213265707925
ACH-000316,0.12745434829000002
ACH-000317,0.0947696348038
ACH-000318,0.153894402228
ACH-000319,0.274572768995
ACH-000320,0.098447272861
ACH-000322,0.270405794521
ACH-000323,0.179229338979
ACH-000324,0.08784590843210001
ACH-000329,0.31761985095199996
ACH-000330,0.279506952227
ACH-000331,0.24788807758499998
ACH-000332,0.0935286497776
ACH-000334,0.666184851835
ACH-000335,0.121119917017
ACH-000336,-0.260663621758
ACH-000337,0.073378043012
ACH-000339,0.299013590459
ACH-000341,0.322160949598
ACH-000348,0.20938446830600002
ACH-000350,0.213591352879
ACH-000352,0.167598786613
ACH-000356,0.0635950982322
ACH-000361,0.0092262619674
ACH-000362,0.071377016305
ACH-000363,0.130268346437
ACH-000364,0.0760731896282
ACH-000365,0.301364143708
ACH-000366,-0.0063558891538000005
ACH-000368,0.20591942566500002
ACH-000374,-0.0018603437832099999
ACH-000375,0.292442947951
ACH-000376,0.172971774549
ACH-000381,0.267537870073
ACH-000383,0.272783645537
ACH-000387,0.0145045415976
ACH-000389,0.273715276915
ACH-000390,0.224811031305
ACH-000393,0.17017293146899998
ACH-000395,0.123080682645
ACH-000397,0.13684281184
ACH-000401,-0.279150725958
ACH-000402,0.0727436260228
ACH-000403,0.171382457356
ACH-000404,-0.16819662196199997
ACH-000406,0.0834698301205
ACH-000407,-0.0562904093442
ACH-000408,0.075839134636
ACH-000410,0.133527033794
ACH-000411,0.22135889044799997
ACH-000414,0.188390750918
ACH-000415,0.105104610866
ACH-000416,0.194560335556
ACH-000420,0.039251580017699995
ACH-000421,0.252764611019
ACH-000424,0.325343319106
ACH-000425,0.0793603278366
ACH-000426,-0.06718574886590001
ACH-000427,0.166785349247
ACH-000433,0.140182456566
ACH-000436,0.152544764825
ACH-000444,0.21430114458799998
ACH-000445,0.35298083774300004
ACH-000448,0.12579770190700001
ACH-000450,0.190825061587
ACH-000452,0.138173742094
ACH-000454,0.33716726503600003
ACH-000458,0.343647053992
ACH-000459,0.134475321083
ACH-000460,0.153996958244
ACH-000461,-0.107659444912
ACH-000463,0.10702388551400001
ACH-000464,-0.101042053564
ACH-000466,0.11760000289999999
ACH-000467,0.235660163091
ACH-000468,0.22822128676999998
ACH-000469,0.0690089026598
ACH-000470,0.252467759213
ACH-000471,0.25928099327799997
ACH-000472,0.166642529668
ACH-000473,0.18562222224
ACH-000475,0.09161915066239999
ACH-000476,0.263160013222
ACH-000477,0.461549457707
ACH-000480,0.27800330289299996
ACH-000481,0.144891194311
ACH-000483,0.39933375244
ACH-000484,0.0851710487045
ACH-000485,0.03478190832480001
ACH-000486,0.16377480941
ACH-000487,-0.153235690233
ACH-000488,0.22561010002300003
ACH-000490,0.269977325885
ACH-000491,0.20821017519499999
ACH-000495,-0.132795608276
ACH-000496,0.15879617246799999
ACH-000499,0.031347770493099995
ACH-000500,-0.52930628281
ACH-000502,0.137566016996
ACH-000503,0.223334867828
ACH-000505,0.159972113987
ACH-000507,0.114807300195
ACH-000510,0.0808295181476
ACH-000511,0.28837089873599997
ACH-000512,0.0351837497205
ACH-000516,0.258790690232
ACH-000517,0.193981419747
ACH-000518,-0.118003124857
ACH-000520,0.191535697191
ACH-000521,0.11465882727499999
ACH-000522,0.18885572791900002
ACH-000524,0.190256058136
ACH-000527,0.112908693765
ACH-000528,0.143678436405
ACH-000537,-0.0196496848118
ACH-000541,0.0960735647835
ACH-000542,0.157666694496
ACH-000544,0.139174441565
ACH-000545,0.301144997365
ACH-000547,0.0702129023016
ACH-000548,0.22746964015
ACH-000549,0.16843288125199998
ACH-000550,-0.0276925416523
ACH-000552,0.058351228842199995
ACH-000556,0.150815297605
ACH-000557,0.0074035156516
ACH-000570,0.0717469852328
