,ZCCHC17 (51538)
ACH-000004,0.060916786118099996
ACH-000007,-0.307701507327
ACH-000009,-0.36993046984899997
ACH-000011,-0.34215675778000004
ACH-000012,-0.341948932809
ACH-000013,-0.311761746915
ACH-000014,-0.0860023657024
ACH-000015,-0.127479024843
ACH-000017,-0.28301891852
ACH-000018,-0.22037572128000002
ACH-000019,-0.20818791365400002
ACH-000021,-0.261550575437
ACH-000022,-0.138127311819
ACH-000025,-0.292742254357
ACH-000028,-0.259711952431
ACH-000030,-0.224192859419
ACH-000035,-0.5378690579640001
ACH-000036,-0.184793489722
ACH-000037,-0.35676665767300003
ACH-000039,-0.271535116131
ACH-000040,-0.263220028856
ACH-000041,-0.267785725426
ACH-000042,-0.198684944512
ACH-000045,-0.25483619292599996
ACH-000047,-0.27250409360800004
ACH-000052,-0.316821457342
ACH-000053,-0.20390397516699998
ACH-000054,-0.333366147265
ACH-000055,-0.255033645319
ACH-000060,-0.27804879551999995
ACH-000067,-0.299895498363
ACH-000070,-0.276779680676
ACH-000075,-0.19736882929900001
ACH-000078,-0.285653169491
ACH-000082,-0.335363633566
ACH-000085,-0.417586271264
ACH-000086,-0.394139227745
ACH-000087,-0.5774302637250001
ACH-000092,-0.393914709495
ACH-000095,-0.372475736356
ACH-000097,-0.381508096678
ACH-000098,-0.255978013395
ACH-000099,-0.23190643377599998
ACH-000108,-0.320576755212
ACH-000113,-0.24132454440099999
ACH-000115,-0.35673050779
ACH-000116,-0.230845668969
ACH-000118,-0.283602964326
ACH-000120,-0.266414320874
ACH-000123,-0.253665978255
ACH-000127,-0.283338551604
ACH-000128,-0.0823993845306
ACH-000132,-0.291339371043
ACH-000133,-0.372321451219
ACH-000137,-0.418952552141
ACH-000138,-0.234085863119
ACH-000142,-0.129610718211
ACH-000143,-0.139449043543
ACH-000146,-0.23344377356499998
ACH-000148,-0.192870316659
ACH-000150,-0.43539431140900003
ACH-000152,-0.37897530540700003
ACH-000153,-0.34140142812799995
ACH-000159,-0.319126331633
ACH-000160,-0.206738677297
ACH-000163,-0.102750164627
ACH-000167,-0.35422326302900004
ACH-000168,-0.204932411787
ACH-000169,-0.320197689089
ACH-000178,-0.357235246727
ACH-000182,-0.299493249546
ACH-000183,-0.22008573334800002
ACH-000188,-0.469836408858
ACH-000189,-0.249649788796
ACH-000190,-0.33720399474
ACH-000198,-0.293346560937
ACH-000204,-0.41568676130500004
ACH-000206,-0.35571831761600003
ACH-000207,-0.280996891496
ACH-000211,-0.161929117099
ACH-000215,-0.429313760311
ACH-000221,-0.379007099625
ACH-000222,-0.23377184498000003
ACH-000223,-0.485764643466
ACH-000226,-0.192126073703
ACH-000227,-0.480427998302
ACH-000228,-0.294157399338
ACH-000231,-0.25710289913400003
ACH-000232,-0.21615432084800001
ACH-000233,-0.221884005922
ACH-000234,-0.332666424497
ACH-000235,-0.193050913705
ACH-000237,-0.518390880368
ACH-000238,-0.448382285487
