,DepMap_ID
22399,ACH-000065
22400,ACH-000065
22401,ACH-000065
22402,ACH-000065
22403,ACH-000065
90168,ACH-000294
124669,ACH-000388
237439,ACH-000654
238288,ACH-000656
264126,ACH-000703
272628,ACH-000720
284388,ACH-000743
323257,ACH-000786
323258,ACH-000786
323259,ACH-000786
323260,ACH-000786
323261,ACH-000786
323262,ACH-000786
323263,ACH-000786
323264,ACH-000786
323265,ACH-000786
323266,ACH-000786
323267,ACH-000786
323268,ACH-000786
323269,ACH-000786
323270,ACH-000786
323271,ACH-000786
429996,ACH-000883
459279,ACH-000909
460614,ACH-000910
463686,ACH-000912
543630,ACH-000948
554656,ACH-000952
556906,ACH-000953
565340,ACH-000955
578365,ACH-000959
620720,ACH-000971
660883,ACH-000981
683471,ACH-000985
721667,ACH-000990
760357,ACH-000992
760358,ACH-000992
760359,ACH-000992
760360,ACH-000992
760361,ACH-000992
760362,ACH-000992
760363,ACH-000992
760364,ACH-000992
760365,ACH-000992
760366,ACH-000992
760367,ACH-000992
760368,ACH-000992
760369,ACH-000992
760370,ACH-000992
760371,ACH-000992
760372,ACH-000992
760373,ACH-000992
760374,ACH-000992
760375,ACH-000992
760376,ACH-000992
1035831,ACH-001556
1053523,ACH-001638
1062922,ACH-001674
1101447,ACH-002121
1141159,ACH-002220
1154029,ACH-002238
1162019,ACH-002254
1196922,ACH-002309
