,ACTL7B (10880)
ACH-000004,-0.13287044113079816
ACH-000005,0.05256385060894746
ACH-000007,-0.022436879569428067
ACH-000009,-0.014609154458249897
ACH-000011,0.22057860021850875
ACH-000012,-0.14733114086949614
ACH-000013,0.05861164566471067
ACH-000014,0.04011455765080975
ACH-000015,0.030953580801292062
ACH-000017,0.00675842885318559
ACH-000018,0.008450502553807545
ACH-000019,-0.03609525974064177
ACH-000021,-0.03171882081163533
ACH-000022,-0.038555578910724066
ACH-000025,-0.09801457436067476
ACH-000028,0.2358930971047601
ACH-000030,-0.07782804099438187
ACH-000035,-0.20914760964620446
ACH-000036,-0.03848226490061099
ACH-000037,0.15446145237460765
ACH-000039,-0.4181678332811203
ACH-000040,-0.3245598199382427
ACH-000041,-0.2619796280817637
ACH-000042,-0.08926192419041601
ACH-000045,0.18037166543392585
ACH-000047,-0.005255711951252803
ACH-000052,-0.5952088489205141
ACH-000053,-0.021008393863630515
ACH-000054,0.0989142632981366
ACH-000055,-0.02705055859312949
ACH-000060,-0.02768375118355569
ACH-000067,0.0986069321736863
ACH-000070,-0.14052619494680169
ACH-000075,0.0021885485877427067
ACH-000078,0.06954349509320422
ACH-000082,0.01197198129232478
ACH-000085,0.40953388136627294
ACH-000086,-0.04062673597243872
ACH-000087,0.1031506890927271
ACH-000092,-0.07459357184877191
ACH-000095,0.006397444516589083
ACH-000097,0.02962562967448382
ACH-000098,0.04192807707393322
ACH-000099,-0.07779625906995308
ACH-000108,-0.03768395893904558
ACH-000113,-0.11057610103273886
ACH-000116,0.07530651341083425
ACH-000118,-0.08594649299556634
ACH-000120,-0.19355354149914464
ACH-000123,-0.006755319300827485
ACH-000127,-0.05253226896972185
ACH-000128,0.04347356891742761
ACH-000132,-0.01089522483013622
ACH-000133,-0.20371006171576436
ACH-000137,-0.1020811456098988
ACH-000138,-0.08008217023220346
ACH-000142,-0.041675904923878314
ACH-000143,-0.1617680441519329
ACH-000146,0.025830464800512317
ACH-000148,-0.035629173348844315
ACH-000150,0.2144862417229931
ACH-000152,-0.18063824569446668
ACH-000153,-0.29551125912316484
ACH-000159,-0.105020453430651
ACH-000160,-0.14734444679775166
ACH-000163,-0.011622883616907182
ACH-000167,-0.0936170419306283
ACH-000168,0.06986649534947204
ACH-000169,-0.050337247800011635
ACH-000178,-0.1435143312075102
ACH-000183,0.05485783348220401
ACH-000188,-0.05059850899118617
ACH-000189,0.17926197983403694
ACH-000190,-0.3183687516992106
ACH-000198,-0.046802046469630966
ACH-000203,-0.0772137653500558
ACH-000204,-0.3736949467523749
ACH-000206,0.07226492278019507
ACH-000207,-0.12737817208641827
ACH-000208,0.04620432474138501
ACH-000210,-0.5159006783607979
ACH-000211,-0.06801515142044873
ACH-000215,-0.12104129393872898
ACH-000221,-0.03967445822132744
ACH-000222,0.03924292317485748
ACH-000223,0.04013048953121663
ACH-000226,-0.28420348376971066
ACH-000227,0.04326116574355896
ACH-000228,-0.16808664956394698
ACH-000231,-0.023531183030100437
ACH-000232,-0.06295161355799865
ACH-000233,0.02576932349338153
ACH-000234,0.03247763485433749
ACH-000235,-0.11474978566471936
ACH-000237,0.02982602559827123
ACH-000238,-0.06812160454631133
