,DepMap_ID
5716,ACH-000017
33957,ACH-000094
37652,ACH-000108
37653,ACH-000108
41615,ACH-000124
43831,ACH-000132
46209,ACH-000142
58250,ACH-000186
58251,ACH-000186
58252,ACH-000186
99849,ACH-000312
114328,ACH-000350
122205,ACH-000371
132691,ACH-000397
149920,ACH-000441
204023,ACH-000570
214493,ACH-000593
218595,ACH-000602
234735,ACH-000636
238800,ACH-000643
251720,ACH-000667
262834,ACH-000688
263992,ACH-000691
269321,ACH-000699
278075,ACH-000716
283049,ACH-000725
283050,ACH-000725
296867,ACH-000750
296868,ACH-000750
296869,ACH-000750
298024,ACH-000752
311003,ACH-000773
319169,ACH-000783
319943,ACH-000784
346595,ACH-000786
380440,ACH-000816
380441,ACH-000816
387612,ACH-000825
408630,ACH-000852
422317,ACH-000868
460893,ACH-000900
500256,ACH-000925
525536,ACH-000937
525537,ACH-000937
570252,ACH-000953
582106,ACH-000956
655857,ACH-000977
671578,ACH-000980
676343,ACH-000981
676344,ACH-000981
700089,ACH-000985
700090,ACH-000985
715021,ACH-000987
741669,ACH-000990
741670,ACH-000990
741671,ACH-000990
741672,ACH-000990
837448,ACH-000994
846394,ACH-000995
846395,ACH-000995
878196,ACH-000998
900619,ACH-000999
917897,ACH-001063
927263,ACH-001081
941383,ACH-001127
941384,ACH-001127
943637,ACH-001131
955020,ACH-001184
956602,ACH-001190
958331,ACH-001197
958332,ACH-001197
979800,ACH-001333
981315,ACH-001336
988319,ACH-001345
1003288,ACH-001377
1003289,ACH-001377
1006595,ACH-001390
1025272,ACH-001497
1040344,ACH-001536
1049046,ACH-001550
1049047,ACH-001550
1098101,ACH-001958
1105781,ACH-002089
1112386,ACH-002105
1115211,ACH-002118
1120365,ACH-002141
1120366,ACH-002141
1155553,ACH-002217
1183692,ACH-002256
1183693,ACH-002256
1183694,ACH-002256
1188581,ACH-002263
1214974,ACH-002309
1226903,ACH-002349
1232492,ACH-002377
1241125,ACH-002396
