,DepMap_ID
46998,ACH-000145
79755,ACH-000253
113956,ACH-000350
179933,ACH-000515
279980,ACH-000720
297545,ACH-000752
376495,ACH-000812
436791,ACH-000881
458566,ACH-000899
500769,ACH-000926
559852,ACH-000950
571088,ACH-000954
579856,ACH-000956
585762,ACH-000958
595279,ACH-000961
598868,ACH-000962
636054,ACH-000972
640327,ACH-000973
651707,ACH-000977
688337,ACH-000984
694672,ACH-000985
881308,ACH-000999
881309,ACH-000999
913133,ACH-001039
947563,ACH-001145
958483,ACH-001199
991373,ACH-001355
1027310,ACH-001517
1044484,ACH-001550
1065262,ACH-001610
1065263,ACH-001610
1088858,ACH-001736
1129246,ACH-002162
1167427,ACH-002237
1177649,ACH-002256
