,ANKIB1 (54467)
ACH-000004,0.1175763637915322
ACH-000005,-0.1921195876517711
ACH-000007,-0.17959776458711227
ACH-000009,-0.011009173783571502
ACH-000011,-0.10515844818861823
ACH-000012,-0.07043653921396746
ACH-000013,-0.03747024619712496
ACH-000014,-0.035741573680268535
ACH-000015,0.0232918962945098
ACH-000017,-0.1166006153948676
ACH-000018,-0.2209205447125212
ACH-000019,-0.1146026558931046
ACH-000021,-0.21885378202586367
ACH-000022,-0.08993597691880595
ACH-000025,-0.06712023289182824
ACH-000028,-0.060663049612528774
ACH-000030,-0.05413274637996071
ACH-000035,-0.1634954282169896
ACH-000036,-0.3153726435922028
ACH-000037,0.027301114888945127
ACH-000039,-0.2766744814149097
ACH-000040,-0.09929802477113038
ACH-000041,0.04824902539328047
ACH-000042,-0.047249461376660515
ACH-000045,-0.08788235675141537
ACH-000047,0.001539010914293728
ACH-000052,-0.039719169938057804
ACH-000053,-0.043956310478738735
ACH-000054,-0.1692314273266471
ACH-000055,0.0119030371473014
ACH-000060,-0.1999126667446435
ACH-000067,-0.057350839365899825
ACH-000070,-0.09399762753366624
ACH-000075,0.06565264198847512
ACH-000078,0.018234394890428083
ACH-000082,-0.10426841660365108
ACH-000085,-0.12858347315820284
ACH-000086,-0.02511269251037257
ACH-000087,0.198794232509064
ACH-000092,-0.019020401899974487
ACH-000095,-0.04629930355087542
ACH-000097,-0.049415768716959886
ACH-000098,-0.09866423972307363
ACH-000099,-0.025766120057989703
ACH-000108,0.036274130700593016
ACH-000113,-0.06798972278227353
ACH-000116,-0.08777295851890451
ACH-000118,0.004664085699394251
ACH-000120,0.08998499068049305
ACH-000123,-0.02753186752028834
ACH-000127,-0.061449009377473364
ACH-000128,-0.10618347008019227
ACH-000132,-0.13447048746938342
ACH-000133,0.0687233813604178
ACH-000137,-0.029247618290500887
ACH-000138,-0.10678163711398576
ACH-000142,-0.2752292300390662
ACH-000143,-0.12419567497301096
ACH-000146,-0.023516258638588538
ACH-000148,-0.09441100612549233
ACH-000150,0.05107964361304843
ACH-000152,-0.13672906298101345
ACH-000153,0.08559865635360771
ACH-000159,-0.10311408816888017
ACH-000160,-0.0726791076283243
ACH-000163,0.042640023373981886
ACH-000167,-0.1311295880283449
ACH-000168,-0.3045915679901768
ACH-000169,-0.2306590750375765
ACH-000178,-0.09687804947725667
ACH-000183,0.1913525961372077
ACH-000188,-0.04755644662872338
ACH-000189,-0.030921522755132862
ACH-000190,-0.012726885762683332
ACH-000198,-0.07482803506538249
ACH-000203,0.24410431964655416
ACH-000204,0.22083822767311045
ACH-000206,0.03870464094115522
ACH-000207,-0.0057433577168246866
ACH-000208,-0.008825938123607675
ACH-000210,0.17761199823987922
ACH-000211,-0.07489934660332599
ACH-000215,-0.103292478355709
ACH-000221,-0.2142944253044634
ACH-000222,-0.018582867315142887
ACH-000223,0.03357903535887997
ACH-000226,-0.014429475579571062
ACH-000227,0.0633474027102886
ACH-000228,0.027295893829033212
ACH-000231,-0.07782541409863608
ACH-000232,-0.09863948900909028
ACH-000233,0.1209007566051983
ACH-000234,0.007289127808227693
ACH-000235,-0.039542033805482685
ACH-000237,-0.008397398311342546
ACH-000238,-0.14375712110793845
ACH-000242,-0.1250843478527304
ACH-000243,-0.03873499726710386
ACH-000244,-0.22990348519736364
ACH-000246,-0.09732071889831892
ACH-000248,-0.0014549880873066885
ACH-000250,-0.16267693122342414
ACH-000251,-0.2473631170545775
