,ANKRD34B (340120)
ACH-000004,-0.10522189830964557
ACH-000005,-0.03511005700793987
ACH-000007,0.04436886550932409
ACH-000009,-0.09117246220632523
ACH-000011,-0.07112084530191555
ACH-000012,-0.04572912088714565
ACH-000013,-0.04988621053643445
ACH-000014,-0.08442457322057685
ACH-000015,-0.12242035101887865
ACH-000017,-0.049128792515055066
ACH-000018,-0.16399338262731358
ACH-000019,-0.07559486366750715
ACH-000021,-0.1361059441486048
ACH-000022,-0.034038798547557286
ACH-000025,-0.06462768665871241
ACH-000028,0.011588779026535044
ACH-000030,-0.061739809025788815
ACH-000035,0.002259393891230056
ACH-000036,-0.011904543323206914
ACH-000037,-0.12363452499301238
ACH-000039,-0.08552891026154456
ACH-000040,-0.037170479453242616
ACH-000041,-0.11770640912133873
ACH-000042,-0.11325215007657208
ACH-000045,-0.03288028159689769
ACH-000047,-0.06657327692994781
ACH-000052,-0.11922104893466112
ACH-000053,-0.02384790474835353
ACH-000054,-0.10480186333250584
ACH-000055,0.07755471440876882
ACH-000060,-0.06533824967157152
ACH-000067,-0.10142474823255657
ACH-000070,-0.01778677515299924
ACH-000075,-0.206591841873454
ACH-000078,-0.0577962885594192
ACH-000082,-0.14115503875177146
ACH-000085,-0.13893473273376986
ACH-000086,-0.1068398703323286
ACH-000087,-0.2254036319150133
ACH-000092,-0.05585348502871339
ACH-000095,-0.0768194411158834
ACH-000097,-0.03873624705932326
ACH-000098,-0.23371330164096274
ACH-000099,-0.04014182326603896
ACH-000108,-0.0419314742098987
ACH-000113,-0.07895750380600823
ACH-000116,-0.1168626656592985
ACH-000118,-0.05611155524766127
ACH-000120,-0.02753344149064446
ACH-000123,-0.09365754175468334
ACH-000127,-0.036525458336280285
ACH-000128,-0.04868742495902247
ACH-000132,-0.1669608750389207
ACH-000133,-0.0723884566869747
ACH-000137,-0.03772566641596424
ACH-000138,-0.023518472312403626
ACH-000142,-0.016518074510501853
ACH-000143,-0.0427095754587522
ACH-000146,-0.08772197466121953
ACH-000148,-0.0515915388982329
ACH-000150,-0.0094737762521031
ACH-000152,0.010726482202423823
ACH-000153,-0.08803240967439321
ACH-000159,-0.086115604698777
ACH-000160,-0.1062400784695214
ACH-000163,-0.07032452974806001
ACH-000167,-0.1404770532204698
ACH-000168,-0.08769084863720758
ACH-000169,-0.16078898598560526
ACH-000178,-0.03297698046169347
ACH-000183,-0.03560164668740536
ACH-000188,-0.05928626329509142
ACH-000189,0.021849180886377717
ACH-000190,-0.02946234875274348
ACH-000198,-0.10725139076501004
ACH-000203,-0.048144113904543165
ACH-000204,0.11313317953983572
ACH-000206,-0.04070270302311232
ACH-000207,0.06551425968028536
ACH-000208,0.017289489972103708
ACH-000210,0.3089957234756869
ACH-000211,-0.07185513383544066
ACH-000215,-0.1235792614690039
ACH-000221,-0.07874877030134687
ACH-000222,-0.07903704947376962
ACH-000223,-0.028346442643966168
ACH-000226,-0.09267540247438888
ACH-000227,-0.12384069830485132
ACH-000228,-0.05387214213225546
ACH-000231,-0.0861719523301641
ACH-000232,-0.12883711782609386
ACH-000233,0.01760802702058446
ACH-000234,-0.09161112947410838
ACH-000235,-0.11038665597323764
ACH-000237,-0.02072924543125964
ACH-000238,-0.15378636256414674
ACH-000242,0.22118387614722435
ACH-000243,-0.0285475096903434
ACH-000244,0.02223266621087542
ACH-000246,-0.12484874515002398
ACH-000248,-0.055183228755307234
ACH-000250,-0.07775667699491468
ACH-000251,0.08921518084669271
ACH-000252,0.17768552424344952
ACH-000253,-0.025672874493712004
ACH-000255,-0.055577753086906566
ACH-000256,-0.14196401002190973
ACH-000257,-0.16584553182198852
ACH-000258,-0.09945424600288216
ACH-000259,-0.10965941969371552
ACH-000260,-0.0967202587205046
ACH-000261,-0.0328140144397513
ACH-000262,-0.21955976499779986
ACH-000263,-0.02328792653215574
ACH-000264,-0.033436095852959764
ACH-000265,-0.13001184116553058
ACH-000266,-0.09131167523727084
ACH-000272,-0.07997646946157473
ACH-000274,-0.19072628425503965
ACH-000277,-0.10036472544748247
ACH-000278,-0.05727162616155908
ACH-000279,-0.12437490573148292
ACH-000280,0.005198720231910745
ACH-000281,-0.057948681140640015
ACH-000288,-0.047829396105282834
ACH-000291,-0.0701885441640563
ACH-000293,-0.11202884408444072
ACH-000294,-0.036181610991394664
ACH-000295,0.0211809470021694
ACH-000296,0.01484910631070667
ACH-000302,-0.0702491017452803
ACH-000304,0.14377707805817128
ACH-000307,-0.01744740912594131
ACH-000308,-0.09814418507630122
ACH-000310,-0.13698680202823407
ACH-000311,0.042792638003444204
ACH-000312,-0.008732876814735526
ACH-000315,-0.08993000161397617
ACH-000316,-0.031304154437637434
ACH-000317,-0.08990531329978241
ACH-000318,0.016986677404982636
ACH-000319,-0.04121341336769933
ACH-000320,0.012318273767720605
ACH-000322,0.05490501634823091
ACH-000323,-0.09282430686898367
ACH-000324,-0.030906969033716206
ACH-000329,-0.0473613716385274
ACH-000330,-0.1161001038707016
ACH-000331,-0.1966256749941379
ACH-000332,-0.05186247025080168
ACH-000334,0.03680595071564231
ACH-000335,-0.0774607549856888
ACH-000336,-0.17212935288627312
ACH-000337,0.015474927371996062
ACH-000338,-0.19479853548917145
ACH-000339,-0.002205515621960645
ACH-000341,-0.2719651092447534
ACH-000348,-0.12832409337425307
ACH-000350,-0.2084809359509928
ACH-000352,0.017284646004958396
ACH-000356,-0.25735310556246305
ACH-000361,-0.13903559641924604
ACH-000362,-0.06307815945851701
ACH-000363,-0.11653365716690517
ACH-000364,0.029203653846730925
ACH-000365,-0.042510287471388235
ACH-000366,-0.07290508186566902
ACH-000368,-0.13413225171270612
ACH-000374,-0.1506293127167247
ACH-000375,-0.1918093187685096
ACH-000376,-0.15484303931765805
ACH-000381,-0.04141075447515289
ACH-000383,-0.05118350827783803
ACH-000387,-0.135192655856158
ACH-000389,-0.054818105023585605
ACH-000390,-0.057098164325583865
ACH-000393,-0.06972125885109029
ACH-000395,0.1015664310168976
ACH-000396,-0.2599123966888316
ACH-000397,0.04960217066763736
ACH-000401,-0.2026349853553281
ACH-000402,-0.0738044910572076
ACH-000403,-0.07812471672444357
ACH-000404,-0.14030729154255478
ACH-000406,-0.06718833927709078
ACH-000407,-0.07856253150302409
ACH-000408,0.00716394038307848
ACH-000410,-0.14260318593341095
ACH-000411,-0.04761778753366912
ACH-000414,-0.03338047509393096
ACH-000415,-0.07851108106553417
ACH-000416,-0.02396723919742836
ACH-000420,-0.10358974115992434
ACH-000421,-0.018111555212061804
ACH-000424,-0.11429083277940845
ACH-000425,-0.15070096433613606
ACH-000426,-0.3015048189716409
ACH-000427,-0.14179842692670586
ACH-000433,-0.08796309648464365
ACH-000435,-0.09270652345205686
ACH-000436,-0.05004364282577384
ACH-000444,-0.1158361902799642
ACH-000445,0.07426483860357408
ACH-000448,-0.08588669073672033
ACH-000450,-0.289719701014849
ACH-000452,-0.028570580203656538
ACH-000454,-0.07297363393446192
ACH-000458,-0.06819282238641021
ACH-000459,-0.06727272480854023
ACH-000460,-0.04816303472013017
ACH-000461,-0.014837128309198274
ACH-000463,-0.15194819085828315
ACH-000464,-0.031929009583186285
ACH-000466,-0.24596070645626386
ACH-000467,0.011823132553755751
ACH-000468,0.016724905612526892
ACH-000469,-0.047464319859260536
ACH-000470,-0.1281806245586833
ACH-000471,-0.09350820842855227
ACH-000472,-0.08889682619101398
ACH-000473,-0.05668120792348126
ACH-000475,-0.07210697982703446
ACH-000476,-0.1947529232242952
ACH-000477,-0.10923990220694534
ACH-000479,-0.2699857889757565
ACH-000480,-0.14769097107081886
ACH-000481,-0.12580235063818926
ACH-000483,-0.15418608404366416
ACH-000484,-0.012911900107670187
ACH-000485,-0.11553260411167188
ACH-000486,-0.018489568765580843
ACH-000487,-0.04315786896713408
ACH-000488,-0.09017386502931536
ACH-000490,-0.025250389401626973
ACH-000491,-0.14279388072045054
ACH-000495,0.06274066137982066
ACH-000496,-0.03478869041702888
ACH-000499,-0.0011832714102665589
ACH-000500,-0.2471357836160131
ACH-000502,0.025323248086268763
ACH-000503,-0.0707636253728247
ACH-000505,-0.17541080343625118
ACH-000507,-0.028831518483475906
ACH-000510,-0.08841754998456396
ACH-000511,-0.03294891330248895
ACH-000512,0.166831752030467
ACH-000516,-0.047762687559461545
ACH-000517,-0.07167677580319154
ACH-000518,-0.14580088633468885
ACH-000520,-0.1123592406186652
ACH-000521,-0.11399693137219885
ACH-000522,-0.12148898201238842
ACH-000524,-0.06061609305143044
ACH-000527,-0.02060581147251113
ACH-000528,-0.06663045976309226
ACH-000537,-0.014652933999774338
ACH-000541,0.1771974119121105
ACH-000542,-0.039348227848829985
ACH-000544,-0.09660681665065564
ACH-000545,-0.02404300259417406
ACH-000547,0.02605609311641988
ACH-000548,0.016718070807638218
ACH-000549,-0.0720616114673185
ACH-000550,-0.1627154495568723
ACH-000552,-0.0398004930791118
ACH-000556,-0.06803919075001327
ACH-000557,-0.03933289080075132
ACH-000569,-0.043310615198617335
ACH-000570,-0.06281956812000866
ACH-000571,0.009568679959747474
ACH-000573,-0.00041083457047337823
ACH-000576,-0.04976173141248854
ACH-000579,0.01818346473982556
ACH-000580,-0.07771961071035126
ACH-000584,-0.025081829853493595
ACH-000585,-0.047155653739873626
ACH-000588,0.01978065643990041
ACH-000589,-0.07153189458754404
ACH-000591,0.08200703488416411
ACH-000593,-0.15089172349837812
ACH-000600,-0.0994596082766584
ACH-000601,-0.019443027611553827
ACH-000605,-0.018108082101664803
ACH-000606,-0.22158590158596286
ACH-000608,-0.08674921658018914
ACH-000614,-0.012588145026964377
ACH-000616,0.013609948967072648
ACH-000618,-0.04635683154127335
ACH-000619,-0.067659991665263
ACH-000620,-0.03371213645436365
ACH-000621,-0.01597776158432267
ACH-000622,-0.13822596733936518
ACH-000623,-0.09789276536014324
ACH-000624,-0.05682453474186192
ACH-000627,-0.09732186959005053
ACH-000630,-0.08422841709057327
ACH-000631,0.055808265092719
ACH-000632,-0.09839126452433652
ACH-000633,-0.008482919573229143
ACH-000637,0.03979165324168776
ACH-000638,-0.11335730090934455
ACH-000646,-0.16243577808380014
ACH-000647,-0.04381383627263663
ACH-000648,0.05669558643887181
ACH-000649,-0.07167279023159759
ACH-000651,-0.11392265526784268
