,BAG2 (9532)
ACH-000004,-0.2305555581188337
ACH-000005,-0.2359912524487457
ACH-000007,-0.1659777797647528
ACH-000009,-0.24464132460703886
ACH-000011,-0.18568893465406786
ACH-000012,-0.14369449430259565
ACH-000013,-0.09079157468196324
ACH-000014,-0.4970723370726886
ACH-000015,-0.09936847289585196
ACH-000017,-0.2542578580380378
ACH-000018,-0.2906663667765184
ACH-000019,-0.08524771620724256
ACH-000021,-0.20699274569697576
ACH-000022,-0.06615691465285589
ACH-000025,-0.29728338619037337
ACH-000028,-0.2662671327538447
ACH-000030,-0.1318602522991224
ACH-000035,-0.2751072310422748
ACH-000036,-0.2421627258017572
ACH-000037,-0.11743367421459627
ACH-000039,-0.2411701397078289
ACH-000040,-0.11537195016290815
ACH-000041,-0.015003887962772104
ACH-000042,-0.1528764482141643
ACH-000045,-0.0251607249121093
ACH-000047,-0.19845632683759587
ACH-000052,-0.24534061891772965
ACH-000053,-0.09273511351059964
ACH-000054,-0.30279937131206536
ACH-000055,-0.2747029596717647
ACH-000060,-0.25773135048647106
ACH-000067,-0.4687605331297688
ACH-000070,-0.2929168598085118
ACH-000075,-0.0541510442347153
ACH-000078,-0.19323049176687596
ACH-000082,-0.32955202050082105
ACH-000085,-0.09083627194895824
ACH-000086,-0.22882515702760556
ACH-000087,-0.13011337779630336
ACH-000092,-0.20248043666732146
ACH-000095,-0.19107103591053892
ACH-000097,-0.3236824514836848
ACH-000098,-0.18817799186316447
ACH-000099,-0.2599940107814974
ACH-000108,-0.11206793195419612
ACH-000113,-0.22960516908105266
ACH-000116,-0.1228614616069913
ACH-000118,-0.19815183539400735
ACH-000120,-0.2235554482302479
ACH-000123,-0.1268383301480881
ACH-000127,-0.1818249618002377
ACH-000128,-0.3594316108968943
ACH-000132,-0.212876505096749
ACH-000133,-0.17297734283074406
ACH-000137,-0.27292721980464635
ACH-000138,-0.1834019246520907
ACH-000142,-0.21292052127479846
ACH-000143,-0.07484618769770231
ACH-000146,-0.17379561244183925
ACH-000148,-0.21666143673900756
ACH-000150,-0.24435086598099134
ACH-000152,-0.25608813475944303
ACH-000153,-0.15918148933513576
ACH-000159,-0.2615572623844811
ACH-000160,-0.08811797569970753
ACH-000163,-0.1977354404478682
ACH-000167,0.0361277887539154
ACH-000168,0.01781479871070944
ACH-000169,-0.20186882331447287
ACH-000178,-0.0826658292657468
ACH-000183,-0.17079694479175697
ACH-000188,-0.17881645130150264
ACH-000189,-0.01749682894027831
ACH-000190,-0.162236748391249
ACH-000198,-0.1940978704221291
ACH-000203,-0.03695975025343079
ACH-000204,-0.26162793595468364
ACH-000206,-0.31116035908531336
ACH-000207,-0.2938718774681799
ACH-000208,-0.2419024732449924
ACH-000210,-0.4763794098505058
ACH-000211,-0.2740473138057391
ACH-000215,-0.26522932294565266
ACH-000221,-0.00993430279245999
ACH-000222,-0.3197712310582516
ACH-000223,-0.31337443901962264
ACH-000226,-0.17466508320553187
ACH-000227,-0.4079068241963779
ACH-000228,-0.20988690472488125
ACH-000231,-0.28317999976198865
ACH-000232,-0.2683200741839689
ACH-000233,-0.17296864979958354
ACH-000234,-0.3466397445311467
ACH-000235,-0.2474134738664072
ACH-000237,-0.17919243235124704
ACH-000238,-0.12800521680239346
ACH-000242,-0.7365041043191023
ACH-000243,-0.2441053200291382
ACH-000244,-0.15121634837455405
ACH-000246,-0.1714093090357487
ACH-000248,-0.24459634219565515
ACH-000250,-0.20010959352506247
ACH-000251,-0.3947706621060897
ACH-000252,-0.19034440524724655
ACH-000253,-0.15555260544852267
ACH-000255,-0.32562923218600004
ACH-000256,-0.2523675461777325
ACH-000257,-0.17782815843314018
ACH-000258,-0.15249954024684825
ACH-000259,-0.1867821210599408
ACH-000260,-0.2046223622576212
ACH-000261,-0.2504252773631499
ACH-000262,-0.32336661063937594
ACH-000263,0.19813656571176072
ACH-000264,-0.2715036928723741
ACH-000265,-0.3017648073686605
ACH-000266,-0.19315076642227166
ACH-000272,-0.2946325628084681
ACH-000274,-0.25713000211328463
ACH-000277,-0.08733405254915666
ACH-000278,-0.14746420572482535
ACH-000279,0.01041691683147491
ACH-000280,-0.01617951023443556
ACH-000281,0.0560615081445436
ACH-000288,-0.23856889201568035
ACH-000291,-0.18017384735698244
ACH-000293,-0.1260300729154316
ACH-000294,-0.03755390382939034
ACH-000295,-0.22268945893802175
ACH-000296,-0.21399953135141025
ACH-000302,-0.16296894669009845
ACH-000304,-0.13834599713779558
ACH-000307,-0.18831708245999654
ACH-000308,-0.2392492482181431
ACH-000310,-0.21835946459176755
ACH-000311,-0.4078108824078172
ACH-000312,-0.24487428810183826
ACH-000315,0.008664107745654837
ACH-000316,-0.13948049451907288
ACH-000317,-0.1929908188588375
ACH-000318,-0.14391794105313624
ACH-000319,-0.033110195731556866
ACH-000320,-0.4028346872138048
ACH-000322,-0.1973867840508185
ACH-000323,-0.18424751011369
ACH-000324,-0.0424345180664077
ACH-000329,-0.2356168843078545
ACH-000330,-0.3112735170655333
ACH-000331,-0.27652120654434903
ACH-000332,-0.2974751654263957
ACH-000334,-0.23155228844435066
ACH-000335,-0.22145373133954835
ACH-000336,-0.03686914539954342
ACH-000337,-0.2739025682990908
ACH-000338,-0.6350910999721306
ACH-000339,-0.03018529044389391
ACH-000341,-0.1255461109365589
ACH-000348,-0.182332715455163
ACH-000350,-0.07236371684523292
ACH-000352,-0.14721090475901666
ACH-000356,-0.17516800843364802
ACH-000361,-0.06688048760915774
ACH-000362,-0.2632680621246977
ACH-000363,-0.07651180386090703
ACH-000364,-0.267765751068385
ACH-000365,-0.22343598786569532
ACH-000366,-0.11927690356700585
ACH-000368,-0.02822834230851686
ACH-000374,-0.24216786408435995
ACH-000375,-0.3388658476518485
ACH-000376,-0.10843675589738934
ACH-000381,-0.04566260910651187
ACH-000383,-0.16404189356911794
ACH-000387,-0.2658129727646844
ACH-000389,-0.457174493583201
ACH-000390,-0.15501446936213142
ACH-000393,-0.3552549725656988
ACH-000395,-0.02288993692055406
ACH-000396,-0.5080623526484797
