,C3orf67 (200844)
ACH-000004,0.19040833222790526
ACH-000005,0.15951030199880548
ACH-000007,0.2707829431382077
ACH-000009,0.13678653564281984
ACH-000011,0.2805507554078757
ACH-000012,0.057361531152931224
ACH-000013,0.20027165625048735
ACH-000014,0.0821022120591832
ACH-000015,0.1814947365944528
ACH-000017,0.11039408327802884
ACH-000018,0.02085784284662141
ACH-000019,0.34050974955770985
ACH-000021,0.10336676189270716
ACH-000022,-0.024792324047330217
ACH-000025,0.24996074557871026
ACH-000028,0.20577397433707004
ACH-000030,0.10602212661068518
ACH-000035,0.18328727844521034
ACH-000036,0.15192994693357112
ACH-000037,0.17128863333472175
ACH-000039,0.09069875697196822
ACH-000040,0.15880237666446326
ACH-000041,0.19101967735108225
ACH-000042,0.06525629708796207
ACH-000045,0.2711674076024046
ACH-000047,0.2322959208358117
ACH-000052,0.2036860212081825
ACH-000053,0.11677911625812515
ACH-000054,0.17216040590719633
ACH-000055,0.10662151911226636
ACH-000060,0.19715465639293125
ACH-000067,0.1475187337078324
ACH-000070,0.22539169910081305
ACH-000075,0.21780876398983412
ACH-000078,0.28903672730211244
ACH-000082,0.16626660916236893
ACH-000085,0.1497065393471372
ACH-000086,0.13656368698750349
ACH-000087,0.2133265402586358
ACH-000092,0.13142117138746182
ACH-000095,0.17600477392087974
ACH-000097,0.184082703310692
ACH-000098,0.1873093653098652
ACH-000099,0.20699485314249447
ACH-000108,0.09820113982181926
ACH-000113,0.14294435159977134
ACH-000116,0.10008551813269298
ACH-000118,0.13758330625539525
ACH-000120,0.27965406673881016
ACH-000123,0.14149492600659905
ACH-000127,0.24765386288551766
ACH-000128,-0.019637253995097952
ACH-000132,0.034845880294200465
ACH-000133,0.17403140645132165
ACH-000137,0.4012113710352845
ACH-000138,0.022174903734858968
ACH-000142,0.020682203249849047
ACH-000143,0.3135729883782085
ACH-000146,0.17935878092786728
ACH-000148,0.2360757921154793
ACH-000150,0.17717906947063503
ACH-000152,0.16906074352380232
ACH-000153,0.2170155731738224
ACH-000159,0.20422611966165585
ACH-000160,0.06971194811470187
ACH-000163,0.2693928499376774
ACH-000167,-0.3177971088947448
ACH-000168,0.06553394394425965
ACH-000169,0.06106267954227474
ACH-000178,0.2280698576018521
ACH-000183,0.184542383874954
ACH-000188,0.2965209240495411
ACH-000189,0.2710407009562426
ACH-000190,0.4377941045291703
ACH-000198,0.3070417092183318
ACH-000203,0.6641387475997267
ACH-000204,0.4525755417497195
ACH-000206,0.2390223343779296
ACH-000207,0.0640465055751438
ACH-000208,0.14759534036966518
ACH-000210,0.3128407444799915
ACH-000211,0.2126711926226198
ACH-000215,0.13069892942376307
ACH-000221,0.19386476429251687
ACH-000222,0.19534335763590072
ACH-000223,0.10282165285352676
ACH-000226,0.15168832888911513
ACH-000227,0.1042829647294798
ACH-000228,0.0694049308644037
ACH-000231,0.35037519413150536
ACH-000232,0.2633897145751945
ACH-000233,0.22361347424296565
ACH-000234,0.1915603494543712
ACH-000235,0.1569168338157728
ACH-000237,0.21172637064153166
ACH-000238,0.05779624751727878
ACH-000242,0.2838747827184244
ACH-000243,0.13594343722935862
ACH-000244,0.2373689361732204
ACH-000246,0.09855742157141073
ACH-000248,-0.0893775602281401
ACH-000250,0.05762350929149367
ACH-000251,0.18416071190962116
ACH-000252,0.2501435212277909
