,DepMap_ID
1551,ACH-000007
17970,ACH-000051
31297,ACH-000082
36961,ACH-000106
37743,ACH-000109
49500,ACH-000155
83833,ACH-000265
97894,ACH-000308
119855,ACH-000365
125935,ACH-000381
133873,ACH-000401
145383,ACH-000430
147085,ACH-000434
155260,ACH-000454
158205,ACH-000462
162414,ACH-000472
169433,ACH-000489
180878,ACH-000517
190952,ACH-000544
204964,ACH-000573
208799,ACH-000582
251284,ACH-000667
261429,ACH-000685
270526,ACH-000702
283240,ACH-000726
301984,ACH-000759
380693,ACH-000817
386440,ACH-000824
394212,ACH-000835
406014,ACH-000849
414148,ACH-000860
436821,ACH-000881
448677,ACH-000890
451939,ACH-000893
467716,ACH-000908
565856,ACH-000952
598981,ACH-000962
631924,ACH-000971
636164,ACH-000972
665062,ACH-000979
688537,ACH-000984
745276,ACH-000991
848405,ACH-000996
848406,ACH-000996
848407,ACH-000996
848408,ACH-000996
860211,ACH-000997
860212,ACH-000997
860213,ACH-000997
870711,ACH-000998
882033,ACH-000999
921516,ACH-001081
944184,ACH-001134
947689,ACH-001145
981785,ACH-001339
1004591,ACH-001382
1017798,ACH-001430
1019185,ACH-001443
1027470,ACH-001517
1057025,ACH-001566
1057026,ACH-001566
1060709,ACH-001569
1113805,ACH-002112
1114845,ACH-002117
1116060,ACH-002121
1147422,ACH-002196
1151528,ACH-002207
1157144,ACH-002222
1162791,ACH-002226
1200886,ACH-002287
1210437,ACH-002309
1210438,ACH-002309
1210439,ACH-002309
