,DepMap_ID
23417,ACH-000065
23418,ACH-000065
23419,ACH-000065
23420,ACH-000065
31501,ACH-000083
59891,ACH-000192
67627,ACH-000217
87663,ACH-000277
108598,ACH-000335
147293,ACH-000434
149372,ACH-000440
174868,ACH-000504
250896,ACH-000666
261573,ACH-000685
273312,ACH-000706
316385,ACH-000780
333970,ACH-000786
333971,ACH-000786
333972,ACH-000786
333973,ACH-000786
333974,ACH-000786
358585,ACH-000789
426956,ACH-000872
431956,ACH-000876
470093,ACH-000909
485104,ACH-000918
492805,ACH-000921
504459,ACH-000928
555498,ACH-000948
600026,ACH-000962
621526,ACH-000968
660154,ACH-000978
712160,ACH-000987
736132,ACH-000990
748247,ACH-000991
779204,ACH-000992
779205,ACH-000992
779206,ACH-000992
779207,ACH-000992
824154,ACH-000993
842735,ACH-000995
852271,ACH-000996
852272,ACH-000996
874011,ACH-000998
890014,ACH-000999
890015,ACH-000999
890016,ACH-000999
911223,ACH-001030
914507,ACH-001049
935228,ACH-001119
948844,ACH-001145
994558,ACH-001363
1001677,ACH-001376
1023039,ACH-001489
1056260,ACH-001563
1059673,ACH-001568
1099333,ACH-002040
1123716,ACH-002149
1132528,ACH-002166
1132529,ACH-002166
1180393,ACH-002256
1212467,ACH-002309
1212468,ACH-002309
1212469,ACH-002309
1226439,ACH-002348
