,DepMap_ID
8472,ACH-000024
17870,ACH-000050
110333,ACH-000339
134549,ACH-000402
153349,ACH-000449
187001,ACH-000532
200482,ACH-000562
249830,ACH-000664
251731,ACH-000667
270409,ACH-000701
384310,ACH-000821
408660,ACH-000852
437687,ACH-000881
444913,ACH-000886
521251,ACH-000936
534320,ACH-000940
534321,ACH-000940
582128,ACH-000956
615333,ACH-000966
650259,ACH-000975
663170,ACH-000978
668185,ACH-000979
683046,ACH-000982
729518,ACH-000989
837558,ACH-000994
846460,ACH-000995
846461,ACH-000995
856964,ACH-000996
856965,ACH-000996
856966,ACH-000996
867939,ACH-000997
900906,ACH-000999
907448,ACH-001002
988403,ACH-001345
1003299,ACH-001377
1069496,ACH-001610
1079654,ACH-001650
1111981,ACH-002103
1166242,ACH-002233
1170805,ACH-002238
