,CDC37 (11140)
ACH-000004,-0.8358103442983745
ACH-000005,-0.5789042413248854
ACH-000007,-0.978465035214974
ACH-000009,-0.9012895464819553
ACH-000011,-0.6593800113303626
ACH-000012,-0.7473386215656714
ACH-000013,-0.9035318502888602
ACH-000014,-0.8164707277762248
ACH-000015,-0.9634251726377554
ACH-000017,-0.9689121039770928
ACH-000018,-0.7733658543757873
ACH-000019,-0.9479300001217932
ACH-000021,-0.966293435235098
ACH-000022,-1.0007849265922713
ACH-000025,-0.9273220944682209
ACH-000028,-0.70822885428718
ACH-000030,-1.0649700002998366
ACH-000035,-0.8032827011975566
ACH-000036,-0.7594349909568291
ACH-000037,-0.3213619333262686
ACH-000039,-1.0320512581714696
ACH-000040,-0.8180775654502257
ACH-000041,-1.0469759590090777
ACH-000042,-0.7662973037169073
ACH-000045,-0.7591475423253674
ACH-000047,-0.9550326728296546
ACH-000052,-0.6056771076369072
ACH-000053,-0.9034749264146896
ACH-000054,-0.7405505574825582
ACH-000055,-0.9614497334557812
ACH-000060,-0.903462276296934
ACH-000067,-1.113831022774856
ACH-000070,-0.7412286045878341
ACH-000075,-1.1506348277788545
ACH-000078,-0.6819452193774362
ACH-000082,-0.9704180181798082
ACH-000085,-1.1162085484240176
ACH-000086,-0.9675910315808632
ACH-000087,-0.9442561067655124
ACH-000092,-0.6976717365446543
ACH-000095,-0.7750485163251664
ACH-000097,-0.8319601901921562
ACH-000098,-0.8748156091767795
ACH-000099,-0.8078882836499814
ACH-000108,-1.0274205158543184
ACH-000113,-0.7873682112316869
ACH-000116,-0.8250792695578483
ACH-000118,-0.7448523345247124
ACH-000120,-1.0061051020524647
ACH-000123,-0.8780899274612636
ACH-000127,-0.6478589223407198
ACH-000128,-0.8841957485684206
ACH-000132,-0.7109557610837282
ACH-000133,-0.8273146329106496
ACH-000137,-0.915854481138946
ACH-000138,-0.9085850433394722
ACH-000142,-0.7690476389644687
ACH-000143,-0.7765642870478835
ACH-000146,-1.0022724551531328
ACH-000148,-0.8631461130196524
ACH-000150,-0.8916587995517821
ACH-000152,-0.6036985534601828
ACH-000153,-0.6523996172659813
ACH-000159,-0.8311188366707606
ACH-000160,-0.9088123025387688
ACH-000163,-0.7896538507002006
ACH-000167,-1.3653167593874296
ACH-000168,-0.9525569756672536
ACH-000169,-0.8844681049768977
ACH-000178,-0.8887572671887936
ACH-000183,-0.8124311037822609
ACH-000188,-0.8652796921180054
ACH-000189,-0.7714245478676599
ACH-000190,-0.8973105706878025
ACH-000198,-0.7241898935835125
ACH-000203,-0.6375703453871339
ACH-000204,-0.7511719070597324
ACH-000206,-0.9117927309707116
ACH-000207,-0.9281652331075908
ACH-000208,-0.4773421373364501
ACH-000210,-0.5313392190835521
ACH-000211,-0.8034381004014092
ACH-000215,-0.7902778385410105
ACH-000221,-1.241260152695698
ACH-000222,-0.9236789736492677
ACH-000223,-0.9368166368160484
ACH-000226,-0.6934451213139751
ACH-000227,-0.5866328279145203
ACH-000228,-1.070963596465802
ACH-000231,-0.8785922753455914
ACH-000232,-0.8177255248378187
ACH-000233,-0.9556887308623668
ACH-000234,-0.9244039432298008
ACH-000235,-0.9320085500834134
ACH-000237,-0.9571514196493652
ACH-000238,-0.835362034194237
ACH-000242,-0.7359421500021287
ACH-000243,-0.833015669649876
ACH-000244,-0.8115777316042131
ACH-000246,-0.7445688208416382
ACH-000248,-0.9708870383296734
ACH-000250,-0.9209239478153084
ACH-000251,-1.1131327422110295
ACH-000252,-0.7705992558777464
ACH-000253,-0.7575884253067598
ACH-000255,-0.8711869073546172
ACH-000256,-0.9761970290106354
ACH-000257,-0.7748446948547153
ACH-000258,-0.8024709615660164
ACH-000259,-0.9167019378613512
ACH-000260,-1.0343104327083137
ACH-000261,-0.5878645319312571
ACH-000262,-0.8317537902513112
ACH-000263,-1.1531504977841
ACH-000264,-0.9432653709313163
ACH-000265,-0.8305673845452444
ACH-000266,-0.9095650944437118
ACH-000272,-0.843248385242324
ACH-000274,-0.957118975765912
ACH-000277,-1.0323775517256115
ACH-000278,-0.7610674621134669
ACH-000279,-0.9458449243434864
ACH-000280,-1.0151821532309668
ACH-000281,-0.7487629338925824
ACH-000288,-0.8786921855009686
ACH-000291,-0.9460012466120126
ACH-000293,-0.8922818663128141
ACH-000294,-0.7368449266924924
ACH-000295,-0.6676529063762848
ACH-000296,-1.0933893572440077
ACH-000302,-1.097319144651227
ACH-000304,-0.8577701950715808
ACH-000307,-0.9282702752719834
ACH-000308,-0.7988192843487976
ACH-000310,-0.9561074173116252
ACH-000311,-0.9035992242195208
ACH-000312,-0.8899390321928714
ACH-000315,-1.1641273268295678
ACH-000316,-0.8325291367856955
ACH-000317,-0.8576255721561584
ACH-000318,-1.0132360254456392
ACH-000319,-0.9582680219761368
ACH-000320,-0.6764607416810682
ACH-000322,-0.8115803413901175
ACH-000323,-0.7534420102937821
ACH-000324,-0.924553900220756
ACH-000329,-0.9135397208131716
ACH-000330,-1.0487643087734737
ACH-000331,-0.9160543181151134
ACH-000332,-0.8727021384911113
ACH-000334,-0.7857240858025714
ACH-000335,-0.6356443284174597
ACH-000336,-0.8342137314158706
ACH-000337,-0.9524477519630976
ACH-000338,-1.4602732473611575
ACH-000339,-0.9516649830784488
ACH-000341,-1.1190158738124885
ACH-000348,-0.9475318403572244
ACH-000350,-1.0363878819180028
ACH-000352,-0.8123735837586007
ACH-000356,-0.7794700917377144
ACH-000361,-0.6674724994391327
ACH-000362,-0.7813390408906865
ACH-000363,-0.7619663442717887
ACH-000364,-1.0660707270590242
ACH-000365,-0.9557375619976702
ACH-000366,-1.0316569292017184
ACH-000368,-0.9111565890676506
ACH-000374,-0.9057689735858554
ACH-000375,-0.997076300169132
ACH-000376,-0.5424738750810927
ACH-000381,-0.9307646118849381
ACH-000383,-0.8202153941684494
ACH-000387,-0.8363641141106846
ACH-000389,-0.7048611806104348
ACH-000390,-1.1403449006858684
ACH-000393,-0.7564145211723541
ACH-000395,-0.7716821495022009
ACH-000396,-0.5928711843625748
ACH-000397,-0.7266997348900687
ACH-000401,-1.1773471939132665
ACH-000402,-0.604381823037739
ACH-000403,-0.8748102237462686
ACH-000404,-0.4655688984918511
ACH-000406,-1.0621721280433558
ACH-000407,-0.5574626522453242
ACH-000408,-0.8302165683190665
ACH-000410,-0.887894868327636
ACH-000411,-0.7607012136902334
ACH-000414,-0.9003032988926482
ACH-000415,-1.0387144291264585
ACH-000416,-0.9136890852988974
ACH-000420,-0.9081723371300056
ACH-000421,-0.9025998872972344
ACH-000424,-0.6838669870555356
ACH-000425,-0.3741839510976194
ACH-000426,-1.0789017435898578
ACH-000427,-1.2153713587305648
ACH-000433,-0.8826121109116785
ACH-000435,-0.9888434424480926
ACH-000436,-0.5250996846383557
ACH-000444,-0.7042099950450921
ACH-000445,-0.8662097169150855
ACH-000448,-0.9145886752662128
ACH-000450,-0.974810471929022
ACH-000452,-0.9450416430037606
ACH-000454,-0.8410038207980757
ACH-000458,-1.0915195253691206
ACH-000459,-1.1549855731158991
ACH-000460,-0.9098701706197264
ACH-000461,-1.0304803596975576
ACH-000463,-0.9881500023331559
ACH-000464,-0.7818715287112533
ACH-000466,-1.0413492098026695
ACH-000467,-0.8397044942855643
ACH-000468,-0.9103411549632264
ACH-000469,-0.8801860557535052
ACH-000470,-0.929329857345038
ACH-000471,-0.9483392451107776
ACH-000472,-0.8529975104846044
ACH-000473,-1.0658962598431077
ACH-000475,-1.029056081029038
ACH-000476,-0.8908549523003687
ACH-000477,-0.7930883690140821
ACH-000479,-0.7509118695489458
ACH-000480,-1.1012096536416045
ACH-000481,-1.0055009809981812
ACH-000483,-0.6670052547172676
ACH-000484,-0.6364237349419792
ACH-000485,-0.8445382629193218
ACH-000486,-0.7766186891222204
ACH-000487,-0.8613229582231969
ACH-000488,-0.9424281519172236
ACH-000490,-0.7368825251281736
ACH-000491,-0.965916210879198
ACH-000495,-0.9528560952529364
ACH-000496,-0.8004059564275608
ACH-000499,-1.067170276456867
ACH-000500,-1.5252581964696368
ACH-000502,-0.9563266388040578
ACH-000503,-0.9870036899229008
ACH-000505,-0.8412705970811007
ACH-000507,-0.8705294482947622
ACH-000510,-0.6891698069684785
ACH-000511,-0.7693985188617096
ACH-000512,-0.8250388781516789
ACH-000516,-0.832873787036202
ACH-000517,-0.861089809944668
ACH-000518,-1.1753532381237268
ACH-000520,-0.7959554525061654
ACH-000521,-0.8899106311584145
ACH-000522,-0.910587709838338
ACH-000524,-0.7597615390586465
ACH-000527,-0.6900120435022478
ACH-000528,-0.9090452517668556
ACH-000537,-1.0637212750795906
ACH-000541,-0.6683100280517538
ACH-000542,-0.6558701152609211
ACH-000544,-0.8676969124797425
ACH-000545,-0.9310760499008408
ACH-000547,-0.9113206435832532
ACH-000548,-0.7288966243750725
ACH-000549,-0.9933747831659768
ACH-000550,-0.7996406339071723
ACH-000552,-1.009092334292922
ACH-000556,-0.8611181269124729
ACH-000557,-0.9968516078701312
ACH-000569,-0.7544796880459641
ACH-000570,-0.7509560299496255
ACH-000571,-1.0356517375055785
ACH-000573,-0.912317840547484
ACH-000576,-0.7476273572564305
ACH-000579,-1.0339911639638972
ACH-000580,-0.8183502006720428
ACH-000584,-0.8395439648279999
ACH-000585,-0.927969697433454
ACH-000588,-0.8256295120852095
ACH-000589,-0.979730300262708
ACH-000591,-0.5808705599832192
ACH-000593,-0.7584249762067761
ACH-000600,-0.8398551359204152
ACH-000601,-0.7814772820212124
ACH-000605,-0.9833283211590936
ACH-000606,-0.8123306462651322
ACH-000608,-0.8059283041412134
ACH-000614,-0.8371759776036634
ACH-000616,-0.8810135320248718
ACH-000618,-0.8709299486600584
ACH-000619,-0.9526487725968944
ACH-000620,-0.6126327626693898
ACH-000621,-0.7256891263741649
ACH-000622,-1.106446026148875
ACH-000623,-1.0087165591831138
ACH-000624,-0.9564887929017382
ACH-000627,-0.8896599310599507
ACH-000630,-0.8280616421352824
ACH-000631,-0.553945402980948
ACH-000632,-0.9649303969649144
ACH-000633,-0.8759561274997537
ACH-000637,-0.8126851941776699
ACH-000638,-0.8920995629264051
ACH-000646,-0.8633644919625373
ACH-000647,-0.9804105916597526
ACH-000648,-0.744317196153711
ACH-000649,-0.6695531629552546
ACH-000651,-0.7966564335812143
ACH-000652,-0.7453709239674622
ACH-000653,-0.9033299266802706
ACH-000657,-0.8677953184203506
ACH-000658,-0.7370433667563969
ACH-000661,-1.0680639793908
ACH-000662,-1.0012716714077456
ACH-000663,-0.9079316234655688
ACH-000665,-1.016952103317463
ACH-000671,-0.7298032381497043
ACH-000672,-1.2064649992338454
ACH-000673,-0.80072386814954
ACH-000676,-0.8200095302599842
ACH-000677,-0.7190060316893141
ACH-000681,-0.7715784209951854
ACH-000683,-0.8698523381750283
ACH-000684,-0.9125223868043204
ACH-000688,-0.642698951296023
ACH-000693,-1.0693193820653148
ACH-000694,-0.9284229616837869
ACH-000695,-0.6097361985174713
ACH-000696,-0.9894647957996794
ACH-000697,-0.7350104018424838
ACH-000699,-0.9910861837315844
ACH-000701,-1.1002083830665723
ACH-000706,-0.856161616561428
ACH-000711,-0.917042488625819
ACH-000713,-0.8104657637803597
ACH-000714,-0.7218659533525996
ACH-000718,-1.0972093279866766
ACH-000720,-0.9469967290838056
ACH-000721,-0.9624928444587306
ACH-000724,-1.0219164571153465
ACH-000725,-1.219232969132762
ACH-000732,-1.0616646606991549
ACH-000734,-0.9812188239843226
ACH-000735,-0.7756131693112471
ACH-000736,-0.9956561714096328
ACH-000738,-0.8251544160553655
ACH-000746,-0.8514697206095899
ACH-000747,-1.0109043100550834
ACH-000748,-0.8499920457596959
ACH-000753,-0.6819755040717955
ACH-000756,-0.8852793006512608
ACH-000757,-0.7670051242317271
ACH-000758,-0.8526462064035524
ACH-000760,-0.6732237871142264
ACH-000762,-0.8845519506987654
ACH-000763,-0.7809582649259529
ACH-000764,-0.9242264930052831
ACH-000765,-0.8753027145830766
ACH-000766,-0.8744903557917372
ACH-000767,-1.0705412807311352
ACH-000768,-0.7080682128714129
ACH-000769,-0.8967939877426584
ACH-000770,-0.7769375962104068
ACH-000771,-0.7558252671042098
ACH-000773,-0.8619519765445768
ACH-000776,-0.7090340038279294
ACH-000777,-0.8020010897796358
ACH-000778,-1.197043288438589
ACH-000781,-1.0555464238172938
ACH-000782,-0.8393004345602222
ACH-000783,-0.9051765300898924
ACH-000784,-1.0463706849302126
ACH-000785,-1.0541032884058847
ACH-000787,-0.8135917879817828
ACH-000788,-1.1032704368210398
ACH-000791,-0.8245455407699396
ACH-000792,-0.8185599643503305
ACH-000794,-0.9426714516672136
ACH-000796,-0.7952605850395488
ACH-000798,-1.042482926322583
ACH-000799,-0.9001483899552037
ACH-000800,-0.9571582198204938
ACH-000802,-1.0788855630609226
ACH-000804,-1.103356000660501
ACH-000805,-0.7780708909425255
ACH-000809,-0.968113236701062
ACH-000810,-0.7327557819469134
ACH-000811,-0.7517568054333148
ACH-000817,-0.9127040500314806
ACH-000819,-0.8565340016580947
ACH-000820,-0.5061798461327338
ACH-000821,-0.8241314079481441
ACH-000822,-0.6709497258727221
ACH-000823,-0.8149973746076413
ACH-000824,-0.9801301804685749
ACH-000827,-0.9871907654720232
ACH-000829,-0.7962566063977587
ACH-000831,-0.6762694196729836
ACH-000832,-0.8342099242837575
ACH-000833,-0.8613691838862239
ACH-000834,-0.9944698591169702
ACH-000835,-0.7030597642311658
ACH-000836,-0.8828283829668717
ACH-000837,-0.914029376821918
ACH-000838,-1.0206414903136105
ACH-000839,-0.6947218743027774
ACH-000840,-1.0575216607868376
ACH-000841,-0.8771111852426077
ACH-000843,-1.0298217008830153
ACH-000846,-1.1506132719646591
ACH-000847,-0.9027190412353424
ACH-000848,-0.9216204322179942
ACH-000849,-0.7239012447558509
ACH-000851,-0.9038706538167374
ACH-000855,-1.0421355413974325
ACH-000856,-0.9262746561114914
ACH-000858,-0.8742802373917975
ACH-000859,-0.7836082020600308
ACH-000861,-0.9053312780660259
ACH-000862,-0.8958546249569693
ACH-000865,-0.9545915417207876
ACH-000866,-0.8462767199703546
ACH-000867,-0.9492728327335485
ACH-000869,-0.5359236243161486
ACH-000872,-1.0050536949999755
ACH-000873,-0.736172203102777
ACH-000876,-1.0731477876875335
ACH-000878,-0.667694712439992
ACH-000880,-0.8991603991237934
ACH-000881,-0.8311666946842252
ACH-000882,-1.0008452587098553
ACH-000884,-0.6802343253197427
ACH-000885,-0.8672854846008791
ACH-000887,-0.9476236969096292
ACH-000889,-0.8564008406637926
ACH-000896,-1.1267885969392089
ACH-000898,-1.0334221873704086
ACH-000900,-0.8413745632763601
ACH-000901,-1.0739867464543522
ACH-000905,-0.9243569215467076
ACH-000906,-0.9550253112517998
ACH-000907,-0.7690928915332704
ACH-000910,-0.9509456899153846
ACH-000911,-0.9340198200069512
ACH-000912,-0.8283419877156559
ACH-000913,-0.7473655536819774
ACH-000915,-0.7552086243735882
ACH-000916,-0.9844574029138704
ACH-000917,-0.7436491491763781
ACH-000920,-0.8860706264764128
ACH-000921,-0.7871648094330437
ACH-000924,-0.815945729729
ACH-000926,-0.7625609757271002
ACH-000928,-0.6810357205851444
ACH-000929,-0.8823084214504336
ACH-000932,-0.8324557833742855
ACH-000935,-0.8608590166593291
ACH-000936,-1.0815426920105415
ACH-000937,-0.8331493940117786
ACH-000938,-0.8751703360898335
ACH-000939,-1.035125964441719
ACH-000941,-0.930467060575806
ACH-000943,-1.0378215490169762
ACH-000946,-0.8912838198809803
ACH-000947,-0.8772204340446816
ACH-000948,-0.9874465312926124
ACH-000950,-0.8138919192937857
ACH-000953,-0.7906284112393079
ACH-000954,-0.4971460683729806
ACH-000957,-1.017278781250982
ACH-000958,-0.8073911848708235
ACH-000960,-1.0853897617346848
ACH-000963,-0.8162038358665817
ACH-000968,-0.8274015207809094
ACH-000969,-0.9201951988373624
ACH-000972,-0.5494214259256753
ACH-000973,-0.9112389074167454
ACH-000974,-0.7926903781408141
ACH-000978,-0.8354655077475903
ACH-000984,-0.8826393394432085
ACH-000986,-1.013178139844665
ACH-000988,-1.0231123016096073
ACH-000993,-0.9777829523399282
ACH-000994,-0.9472861858417324
ACH-000996,-0.6367103384226644
ACH-001001,-0.7013572846426476
ACH-001020,-0.7391664687679408
ACH-001028,-0.8723602004998104
ACH-001031,-0.9470881419623248
ACH-001038,-1.060576364807709
ACH-001048,-0.7520534153953615
ACH-001050,-0.6910330435680628
ACH-001053,-0.82353666085097
ACH-001054,-0.8288903247069893
ACH-001061,-0.9470885849220186
ACH-001067,-0.8010898255220005
ACH-001075,-0.8711904930462233
ACH-001096,-0.7473125434835519
ACH-001111,-1.284696432730963
ACH-001119,-1.0321363719929182
ACH-001128,-0.8650117199486702
ACH-001134,-0.9182825500058144
ACH-001151,-0.9024068529505684
ACH-001163,-0.8819014188165428
ACH-001164,-1.076160076743114
ACH-001183,-0.7938543410970853
ACH-001192,-0.9865193163834196
ACH-001193,-1.0376172298739226
ACH-001196,-0.7878195050640466
ACH-001197,-1.122436239929251
ACH-001205,-0.5698958666556365
ACH-001211,-0.6983867902000187
ACH-001212,-1.0318098522336772
ACH-001228,-0.9540234131107156
ACH-001232,-0.8165087471335006
ACH-001239,-0.9126938823829488
ACH-001270,-0.9267658923024946
ACH-001274,-0.7134617923784301
ACH-001275,-0.8348723701793127
ACH-001277,-0.7602131705957446
ACH-001278,-1.1191722851731207
ACH-001280,-0.8084981422228921
ACH-001283,-0.9322109942878192
ACH-001289,-0.8261651134875142
ACH-001300,-0.7191510463131886
ACH-001301,-0.7112596652706777
ACH-001302,-0.847961555792582
ACH-001306,-0.8650882293616194
ACH-001318,-0.9641668965257476
ACH-001322,-1.3250200697623555
ACH-001328,-0.9262796941958362
ACH-001332,-0.9824306201044606
ACH-001336,-0.8337645983079959
ACH-001346,-0.922593077412346
ACH-001353,-0.8984881778048612
ACH-001354,-0.8884468624536231
ACH-001367,-0.950490287379302
ACH-001368,-0.9962298068347728
ACH-001374,-0.8506326797157628
ACH-001377,-0.8602484721752455
ACH-001380,-0.8724453678374827
ACH-001391,-0.9110334483180824
ACH-001408,-1.0339586977544404
ACH-001430,-0.8123676449214718
ACH-001431,-1.093718233407222
ACH-001450,-0.6894585680783558
ACH-001496,-1.0852803214490878
ACH-001500,-1.0178956742625551
ACH-001523,-0.7715066729163724
ACH-001532,-0.9070684030809516
ACH-001550,-1.0430061921663027
ACH-001552,-0.8065733526093374
ACH-001554,-0.8859162104756297
ACH-001654,-0.8186411070953185
ACH-001735,-0.9718711233724072
ACH-001736,-0.8964281935306799
ACH-001737,-1.2653862824359168
ACH-001740,-0.8047115311494996
ACH-001745,-1.0479370530853278
ACH-001765,-0.9895282086553482
