,DepMap_ID
34599,ACH-000096
119076,ACH-000362
138030,ACH-000411
140780,ACH-000418
200075,ACH-000561
231825,ACH-000630
233481,ACH-000633
311613,ACH-000774
351745,ACH-000786
351746,ACH-000786
351747,ACH-000786
351748,ACH-000786
351749,ACH-000786
351750,ACH-000786
482968,ACH-000916
570766,ACH-000953
677172,ACH-000981
813858,ACH-000992
813859,ACH-000992
813860,ACH-000992
813861,ACH-000992
813862,ACH-000992
869493,ACH-000997
904669,ACH-000999
904670,ACH-000999
942242,ACH-001127
1058287,ACH-001566
1080335,ACH-001650
1090859,ACH-001737
1103766,ACH-002059
1161685,ACH-002222
1171413,ACH-002238
