,CENPT (80152)
ACH-000004,-0.8246318669853705
ACH-000005,-0.8158677508721198
ACH-000007,-0.6463651790983335
ACH-000009,-0.5204753375175025
ACH-000011,-0.8189041935651551
ACH-000012,-0.6558598478993171
ACH-000013,-0.7569599117238219
ACH-000014,-0.661128622694568
ACH-000015,-0.4537754805154542
ACH-000017,-0.6904495926738761
ACH-000018,-0.4706154454131687
ACH-000019,-0.6543419728926575
ACH-000021,-0.5737888454434618
ACH-000022,-0.6763035610627304
ACH-000025,-0.6120068961762375
ACH-000028,-0.4548132577092252
ACH-000030,-1.0401784232414792
ACH-000035,-0.5194048389370389
ACH-000036,-0.5504417224218976
ACH-000037,-0.9814346918658321
ACH-000039,-0.9130804219544004
ACH-000040,-0.716507588907992
ACH-000041,-0.4963687315542816
ACH-000042,-0.8213607105799269
ACH-000045,-0.6374291888672692
ACH-000047,-0.8750599798659137
ACH-000052,-0.7357517434000374
ACH-000053,-0.7392538025492874
ACH-000054,-0.5225967908424067
ACH-000055,-0.8030394413267079
ACH-000060,-0.9074609424287122
ACH-000067,-0.7362475249443556
ACH-000070,-0.4408070982686727
ACH-000075,-0.7732964950967757
ACH-000078,-0.8219659663162806
ACH-000082,-0.7406735098852703
ACH-000085,-0.8491653614280431
ACH-000086,-0.5879170520700272
ACH-000087,-0.6909211388534827
ACH-000092,-0.5802031297346599
ACH-000095,-0.5920358642033745
ACH-000097,-0.4157669070236609
ACH-000098,-0.655433111319398
ACH-000099,-0.8268828479455363
ACH-000108,-0.6901653223443746
ACH-000113,-0.6066832470608078
ACH-000116,-0.710397342071574
ACH-000118,-0.6858221536264536
ACH-000120,-0.5842239363734362
ACH-000123,-0.5341772916136428
ACH-000127,-0.5572534732697585
ACH-000128,-0.7490318400996844
ACH-000132,-0.7032566638287473
ACH-000133,-0.8239890839906124
ACH-000137,-0.7027693006176627
ACH-000138,-0.5286917187920892
ACH-000142,-0.7394089756334619
ACH-000143,-0.7287364682122918
ACH-000146,-0.62503175504864
ACH-000148,-0.684150178350821
ACH-000150,-0.31825142270709056
ACH-000152,-0.6993365394351462
ACH-000153,-0.6507201662541613
ACH-000159,-0.43053989194661785
ACH-000160,-0.7709277341302517
ACH-000163,-0.6444656848245033
ACH-000167,-0.9351408929183598
ACH-000168,-0.6910331716351922
ACH-000169,-0.6308928816020384
ACH-000178,-0.5627296059147109
ACH-000183,-0.6421574495137808
ACH-000188,-0.7553015680152925
ACH-000189,-0.4965916294331556
ACH-000190,-0.6244238122271696
ACH-000198,-0.7928271621520679
ACH-000203,-0.5763503322029055
ACH-000204,-0.37527364247897904
ACH-000206,-0.8757502471390346
ACH-000207,-0.6248608202376283
ACH-000208,-0.7415052237210242
ACH-000210,-0.6293916838108151
ACH-000211,-0.7485945855010946
ACH-000215,-0.684507643847958
ACH-000221,-0.8958083288444773
ACH-000222,-0.6369603182423872
ACH-000223,-0.5138998421096995
ACH-000226,-0.6045038424713776
ACH-000227,-0.7486089895227841
ACH-000228,-0.6377832958396281
ACH-000231,-0.6336289905240049
ACH-000232,-0.5436505400454797
ACH-000233,-0.7363641234946124
ACH-000234,-0.9713398442868196
ACH-000235,-0.8351932183389097
ACH-000237,-0.7730143674783402
ACH-000238,-0.7459429658276333
ACH-000242,-0.7618520075767014
ACH-000243,-0.6858252452618341
ACH-000244,-0.7819378720117686
ACH-000246,-0.6637046424668689
ACH-000248,-0.8139302192098354
ACH-000250,-0.5720486545396255
ACH-000251,-0.6490930872080303
ACH-000252,-0.7623139843788812
ACH-000253,-0.5710531564771416
ACH-000255,-0.5871150478826467
ACH-000256,-0.7851786605692113
ACH-000257,-0.916122880977956
ACH-000258,-0.8131909994636478
ACH-000259,-0.7000175332246558
ACH-000260,-0.8404966724170468
ACH-000261,-0.5109722305129093
ACH-000262,-0.7702733346332472
ACH-000263,-0.737801288641008
ACH-000264,-0.8041650955112442
ACH-000265,-0.5931587388823518
ACH-000266,-0.9192889441943524
ACH-000272,-0.4743399173113519
ACH-000274,-1.0571800244635945
ACH-000277,-0.7638704626662314
ACH-000278,-0.8282159869639356
ACH-000279,-0.5262078507926156
ACH-000280,-0.7192498621335721
ACH-000281,-1.2048794979647928
ACH-000288,-0.6385729453857222
ACH-000291,-0.7531682117383682
ACH-000293,-0.7708580480894456
ACH-000294,-0.434753750931662
ACH-000295,-0.4254498697446014
ACH-000296,-0.5988956247623831
ACH-000302,-0.8726678423741906
ACH-000304,-0.4638820272268563
ACH-000307,-0.4918832748831705
ACH-000308,-0.8047661358218798
ACH-000310,-0.7597194567218154
ACH-000311,-0.8645119964561813
ACH-000312,-0.7647392363672132
