,CHRAC1 (54108)
ACH-000004,-0.2488936626575381
ACH-000005,0.04908051690715835
ACH-000007,-0.0792347983892429
ACH-000009,-0.15081635656601156
ACH-000011,-0.06750535429386048
ACH-000012,-0.01161478878857007
ACH-000013,-0.13826366561137493
ACH-000014,-0.11242078067286483
ACH-000015,-0.06266481794539527
ACH-000017,0.16156958662529114
ACH-000018,0.1212389125274522
ACH-000019,-0.1854036476077096
ACH-000021,-0.07036524666513612
ACH-000022,-0.2205592909267593
ACH-000025,0.02595442482575148
ACH-000028,-0.2861442251949378
ACH-000030,-0.04592115023904535
ACH-000035,0.005891844809033658
ACH-000036,-0.05415656769619751
ACH-000037,-0.20049670251491628
ACH-000039,-0.08234194869048678
ACH-000040,-0.10346035992521864
ACH-000041,-0.32258676910520223
ACH-000042,-0.05953445055176097
ACH-000045,0.10215914066486584
ACH-000047,-0.038856159849470884
ACH-000052,0.07322649704220408
ACH-000053,-0.2433212428429666
ACH-000054,-0.20197436403918373
ACH-000055,0.04459101503153237
ACH-000060,-0.26326439132579066
ACH-000067,-0.011612210168405121
ACH-000070,-0.13169734667558705
ACH-000075,-0.035418037027517425
ACH-000078,-0.2516701549122092
ACH-000082,-0.07895552496414825
ACH-000085,-0.051589696966955145
ACH-000086,-0.16363776776607009
ACH-000087,-0.006893428988934239
ACH-000092,-0.04973642695470745
ACH-000095,-0.1170209396991728
ACH-000097,-0.31787905133900074
ACH-000098,-0.06432742712190175
ACH-000099,-0.22257536650232548
ACH-000108,-0.037634678231739854
ACH-000113,0.15253771914065334
ACH-000116,-0.16649825247086314
ACH-000118,0.04510171297888707
ACH-000120,-0.279977998283737
ACH-000123,0.02782755323499364
ACH-000127,-0.12607590578945946
ACH-000128,-0.0961132659373203
ACH-000132,-0.020297441052955348
ACH-000133,-0.022426997916679608
ACH-000137,0.033245550662864984
ACH-000138,-0.11449474215373492
ACH-000142,-0.2155547376149745
ACH-000143,0.23977846893978624
ACH-000146,-0.12350316035964115
ACH-000148,-0.19258263483385404
ACH-000150,-0.5476333434415943
ACH-000152,-0.18039573092362046
ACH-000153,-0.1523466303900043
ACH-000159,-0.2209163601247038
ACH-000160,0.22602810852861235
ACH-000163,0.03297953541658197
ACH-000167,0.2720709025270594
ACH-000168,-0.17850772131816595
ACH-000169,0.10501417497986004
ACH-000178,-0.2248402682743737
ACH-000183,-0.16046988346667987
ACH-000188,-0.1620258526111659
ACH-000189,-0.1677824244314653
ACH-000190,0.12422332162898675
ACH-000198,-0.12298888204439765
ACH-000203,-0.04647579471345365
ACH-000204,0.0614282609672465
ACH-000206,0.048259833093900605
ACH-000207,-0.04874899629278039
ACH-000208,0.0152586096043622
ACH-000210,-0.0288996555348034
ACH-000211,-0.09688695686912256
ACH-000215,-0.11503017620106508
ACH-000221,-0.047356267420199286
ACH-000222,-0.3662633171855785
ACH-000223,-0.08236547182450472
ACH-000226,-0.15998607642889098
ACH-000227,-0.05289782039772911
ACH-000228,0.07553337725506244
ACH-000231,-0.2152062827110628
ACH-000232,-0.12781136740170485
ACH-000233,-0.21021873074224912
ACH-000234,-0.2688254566077564
ACH-000235,-0.2573907928124411
ACH-000237,-0.07131540931598791
ACH-000238,-0.1311275297009759
ACH-000242,-0.3522831179494184
ACH-000243,-0.0994165120523271
ACH-000244,-0.16653276242561352
ACH-000246,-0.1812782773142663
ACH-000248,-0.027290106589844636
ACH-000250,-0.22989121269725502
ACH-000251,0.07543859032726173
ACH-000252,0.030969591832179618
ACH-000253,-0.0899571948104351
ACH-000255,-0.1809695020052812
ACH-000256,-0.20288564244548515
ACH-000257,-0.44831422392886666
ACH-000258,-0.2211412738224281
ACH-000259,-0.04051837987509497
ACH-000260,-0.2384159527736306
ACH-000261,-0.19006815927237766
ACH-000262,-0.18800328949851486
ACH-000263,-0.4924375475988783
ACH-000264,-0.2025229459217733
ACH-000265,-0.21745981464470002
ACH-000266,0.01398907697175024
ACH-000272,-0.2827590882678888
ACH-000274,-0.14021281146772688
ACH-000277,-0.4967065863870505
ACH-000278,-0.004623607226002956
ACH-000279,-0.3133176080842796
ACH-000280,-0.2337551497288461
ACH-000281,-0.08648497425681331
ACH-000288,-0.11366864606919365
ACH-000291,-0.3097456455432684
ACH-000293,0.042887793327070566
ACH-000294,-0.06814060917891314
ACH-000295,0.12489224783968175
ACH-000296,0.008247187079972032
ACH-000302,-0.05589731822903495
ACH-000304,-0.009721277073060744
ACH-000307,-0.07534475966411583
ACH-000308,-0.17847220102977873
ACH-000310,-0.09015200934803333
ACH-000311,0.13330001072715314
ACH-000312,-0.1376347010080303
ACH-000315,-0.3093527504418697
ACH-000316,-0.030980639094277368
ACH-000317,-0.23900224313890034
ACH-000318,-0.2182792061181535
ACH-000319,-0.0013829980587992856
ACH-000320,-0.34263763953300075
ACH-000322,0.0738177464222307
ACH-000323,-0.07093286285307182
ACH-000324,-0.13469488224548062
ACH-000329,-0.1917679493609554
ACH-000330,-0.12382169782663476
ACH-000331,-0.05501118916865047
ACH-000332,-0.2760907023992969
ACH-000334,-0.03153090068030614
ACH-000335,-0.2479272082325751
ACH-000336,-0.08415478855776534
ACH-000337,-0.12529378293131574
ACH-000338,0.222855250590147
ACH-000339,-0.016363456349821708
ACH-000341,-0.10274209989024033
ACH-000348,-0.10237940205843386
ACH-000350,-0.20671858187296369
ACH-000352,-0.15850921012449887
ACH-000356,-0.11702406099282815
ACH-000361,-0.25269755501530483
ACH-000362,-0.4948037071429109
ACH-000363,-0.09938256999802753
ACH-000364,-0.12100109434723508
ACH-000365,0.0215109401269082
ACH-000366,-0.06138931417387231
ACH-000368,-0.055121897293535865
ACH-000374,-0.15506670049873242
ACH-000375,-0.17645757214772612
ACH-000376,-0.062193233139949934
ACH-000381,-0.0659181363143027
ACH-000383,-0.258058970548403
ACH-000387,-0.01275932815223412
ACH-000389,-0.3250982044768886
ACH-000390,-0.18375289132240488
ACH-000393,-0.10291893499108462
ACH-000395,-0.1271938271275889
ACH-000396,-0.3424107225477095
ACH-000397,-0.09675415623068463
ACH-000401,-0.3933926747181817
ACH-000402,0.023341843207218608
ACH-000403,-0.1010481812712386
ACH-000404,0.03093390629165927
ACH-000406,0.023421100519634773
ACH-000407,-0.13641379593412722
ACH-000408,-0.19011847954992908
ACH-000410,-0.3093069041430272
ACH-000411,-0.29899580142555704
ACH-000414,-0.436940481885933
ACH-000415,-0.07787043572243849
ACH-000416,0.0018264678447452386
ACH-000420,-0.18546068210879668
ACH-000421,-0.19202177443615964
ACH-000424,0.0572244223859984
ACH-000425,-0.21036494383800905
ACH-000426,-0.16589533395711908
ACH-000427,-0.0893183547739398
ACH-000433,-0.18911291356986987
ACH-000435,-0.20052206847560214
ACH-000436,-0.1439731457698456
ACH-000444,-0.2268020872676481
ACH-000445,-0.1027416704222106
ACH-000448,-0.17602888231478325
ACH-000450,-0.19224876245018888
ACH-000452,-0.028879315938372518
ACH-000454,0.15186851977613033
ACH-000458,0.003653726183484786
ACH-000459,-0.09031275695070104
ACH-000460,-0.07556109212944725
ACH-000461,-0.0525153079200572
ACH-000463,-0.11475997222786775
ACH-000464,-0.2078346984188654
ACH-000466,-0.0766809603972127
ACH-000467,0.040155842822344065
ACH-000468,-0.05477150571288735
ACH-000469,0.015579819168257604
ACH-000470,-0.2617013833331
ACH-000471,-0.360913336566674
ACH-000472,-0.06277371648550502
ACH-000473,-0.13519155719477086
ACH-000475,-0.10752365324143898
ACH-000476,0.04036987297855207
ACH-000477,-0.122574517610511
ACH-000479,-0.1925942623792241
ACH-000480,0.1213687460748601
ACH-000481,-0.1820594081224309
ACH-000483,-0.03954581454774113
ACH-000484,-0.3418709993866614
ACH-000485,-0.3099156853036008
ACH-000486,-0.2017838903235718
ACH-000487,-0.2095076664336544
ACH-000488,-0.03693034579463955
ACH-000490,-0.1101060235779916
ACH-000491,-0.2976679575956521
ACH-000495,-0.3774423836129413
ACH-000496,-0.2012489956150076
ACH-000499,-0.16102655442135372
ACH-000500,-0.08570479411615486
ACH-000502,-0.1543199557751777
ACH-000503,-0.4240661278627956
ACH-000505,-0.07577175401078473
ACH-000507,-0.02601089893022573
ACH-000510,-0.10767747885100218
ACH-000511,-0.14086361815116138
ACH-000512,0.28042214159095336
ACH-000516,-0.2563843554983244
ACH-000517,-0.16595649039318666
ACH-000518,-0.15968848424267348
ACH-000520,-0.3381943538567247
ACH-000521,-0.043260789200143104
ACH-000522,-0.14243712195971234
ACH-000524,-0.15146841418678095
ACH-000527,-0.1540982190769664
ACH-000528,-0.1547556343428385
ACH-000537,-0.05871132592668736
ACH-000541,-0.2187373160415658
ACH-000542,-0.23188422347223284
ACH-000544,0.023551043291405446
ACH-000545,-0.006266143660046851
ACH-000547,0.17930652412748174
ACH-000548,-0.33436188909076503
ACH-000549,0.013773778286859828
ACH-000550,-0.0795750389972226
ACH-000552,-0.2427141760235141
ACH-000556,0.03159913384460501
ACH-000557,-0.19884306292665416
ACH-000569,-0.5054554395924041
ACH-000570,-0.1426464208340594
ACH-000571,-0.059603250373634814
ACH-000573,-0.14275295095820892
ACH-000576,0.0804792916611951
ACH-000579,-0.08505200205741695
