,DepMap_ID
20939,ACH-000062
41389,ACH-000123
44551,ACH-000135
48261,ACH-000149
74286,ACH-000236
74287,ACH-000236
155208,ACH-000453
211384,ACH-000586
301212,ACH-000757
303557,ACH-000761
351612,ACH-000786
351613,ACH-000786
351614,ACH-000786
351615,ACH-000786
351616,ACH-000786
351617,ACH-000786
351618,ACH-000786
351619,ACH-000786
351620,ACH-000786
351621,ACH-000786
351622,ACH-000786
351623,ACH-000786
421954,ACH-000867
421955,ACH-000867
428865,ACH-000873
453031,ACH-000893
498465,ACH-000924
511356,ACH-000930
519599,ACH-000935
539865,ACH-000942
554193,ACH-000947
559585,ACH-000949
562635,ACH-000950
575676,ACH-000954
579471,ACH-000955
589091,ACH-000958
592210,ACH-000959
631379,ACH-000970
631380,ACH-000970
642957,ACH-000973
656770,ACH-000977
664162,ACH-000978
701458,ACH-000985
716291,ACH-000987
716292,ACH-000987
753356,ACH-000991
813452,ACH-000992
813453,ACH-000992
813454,ACH-000992
813455,ACH-000992
838816,ACH-000994
928706,ACH-001081
965949,ACH-001228
1007884,ACH-001398
1008619,ACH-001400
1049999,ACH-001550
1053308,ACH-001552
1084905,ACH-001703
1107033,ACH-002094
1111513,ACH-002101
1111788,ACH-002102
1112866,ACH-002107
1140344,ACH-002177
1161667,ACH-002222
1193976,ACH-002272
1203459,ACH-002287
1203460,ACH-002287
1216004,ACH-002309
1228639,ACH-002358
