,DepMap_ID
67632,ACH-000217
77902,ACH-000248
80855,ACH-000256
135708,ACH-000406
142437,ACH-000423
207608,ACH-000579
218920,ACH-000603
221597,ACH-000608
251477,ACH-000667
285432,ACH-000729
365188,ACH-000798
370901,ACH-000805
397834,ACH-000840
425481,ACH-000871
429482,ACH-000874
440020,ACH-000883
452360,ACH-000893
497394,ACH-000924
497395,ACH-000924
504503,ACH-000928
504504,ACH-000928
523546,ACH-000937
523547,ACH-000937
533119,ACH-000940
550113,ACH-000946
552935,ACH-000947
558349,ACH-000949
563972,ACH-000951
563973,ACH-000951
577599,ACH-000955
587052,ACH-000958
590637,ACH-000959
593475,ACH-000960
617922,ACH-000967
625024,ACH-000969
629308,ACH-000970
637568,ACH-000972
641377,ACH-000973
666594,ACH-000979
690682,ACH-000984
726540,ACH-000989
736479,ACH-000990
736480,ACH-000990
833410,ACH-000994
833411,ACH-000994
833412,ACH-000994
852439,ACH-000996
863707,ACH-000997
890596,ACH-000999
890597,ACH-000999
959641,ACH-001199
977047,ACH-001331
998595,ACH-001369
998596,ACH-001369
1002526,ACH-001377
1029327,ACH-001517
1033692,ACH-001521
1042958,ACH-001546
1091643,ACH-001738
1102739,ACH-002059
1124225,ACH-002151
1136485,ACH-002171
1177060,ACH-002254
1218285,ACH-002314
