,CMBL (134147)
ACH-000004,0.0869761828897546
ACH-000005,0.3164990543574461
ACH-000007,0.14625884431889447
ACH-000009,0.03646848119763807
ACH-000011,0.1508580319514791
ACH-000012,0.009853083968501009
ACH-000013,0.14429249370077302
ACH-000014,-0.13005712978135375
ACH-000015,0.025123739199546368
ACH-000017,0.06263300271389566
ACH-000018,0.012931311935963379
ACH-000019,0.0939298508462569
ACH-000021,0.08642960106626177
ACH-000022,-0.17575761218153754
ACH-000025,0.13274769648627832
ACH-000028,0.0408469702599418
ACH-000030,0.12714778849738154
ACH-000035,0.05838942718620064
ACH-000036,0.0037686764719062314
ACH-000037,0.06675371021970354
ACH-000039,0.06333302643985453
ACH-000040,0.0309699584940162
ACH-000041,0.16915309206239468
ACH-000042,0.009557551881825206
ACH-000045,0.009173156725093171
ACH-000047,0.1546295805112898
ACH-000052,-0.14343321703839818
ACH-000053,0.11420966773874645
ACH-000054,0.022073726967997736
ACH-000055,0.03700303479171338
ACH-000060,0.08658868042603342
ACH-000067,-0.16118052819532327
ACH-000070,0.11329494750056228
ACH-000075,0.08539733375753189
ACH-000078,0.05211857769919586
ACH-000082,0.11048696731538457
ACH-000085,0.04060652001106183
ACH-000086,0.30519728864502765
ACH-000087,0.126721635102491
ACH-000092,-0.010985748943869387
ACH-000095,-0.07764731263434614
ACH-000097,0.039981173055024764
ACH-000098,0.014006961212423943
ACH-000099,0.024706422515131343
ACH-000108,0.026930634020491274
ACH-000113,-0.10277175745195848
ACH-000116,0.027953202016996626
ACH-000118,0.058077242675780676
ACH-000120,-0.0539918258158553
ACH-000123,0.007575719329568475
ACH-000127,-0.055743212298046525
ACH-000128,0.047444087618523284
ACH-000132,0.006915810535896826
ACH-000133,0.14430204189850102
ACH-000137,0.1131002486884814
ACH-000138,-0.07443326739267088
ACH-000142,0.07202451885831057
ACH-000143,0.12027463118321373
ACH-000146,0.034163065591380534
ACH-000148,0.051624004687796536
ACH-000150,0.04834274412028087
ACH-000152,0.06948184278205725
ACH-000153,-0.07387137370224968
ACH-000159,0.051588321872570016
ACH-000160,0.06150324977699358
ACH-000163,0.03157804219183775
ACH-000167,0.4939797439803385
ACH-000168,-0.15227646684381738
ACH-000169,0.06715222979973666
ACH-000178,0.034253164826934336
ACH-000183,0.10130407961885604
ACH-000188,0.18103056216320376
ACH-000189,0.001637414088830322
ACH-000190,0.10869789398130417
ACH-000198,0.1316933860110372
ACH-000203,0.09387065660692773
ACH-000204,0.0233432973135156
ACH-000206,-0.0597649294487646
ACH-000207,0.11022806300089982
ACH-000208,0.09053881677458063
ACH-000210,0.22041419324466596
ACH-000211,0.06411811099837438
ACH-000215,0.014402070133873138
ACH-000221,0.0875231105242911
ACH-000222,0.11203014638787166
ACH-000223,-0.046470375839169784
ACH-000226,0.22002013983160748
ACH-000227,-0.009509407108313106
ACH-000228,0.12835285721757944
ACH-000231,0.03466951114990878
ACH-000232,-0.1719980011489609
ACH-000233,-0.13557089323430088
ACH-000234,0.03435075562739652
ACH-000235,0.03825989241515013
ACH-000237,0.0163432768575917
ACH-000238,-0.08255486350472788
ACH-000242,-0.16269348418396992
ACH-000243,0.07529106052947986
ACH-000244,-0.04217878811713659
ACH-000246,-0.0219802294497295
ACH-000248,0.13852980533893933
ACH-000250,0.11399843002571207
ACH-000251,0.35234989748237433
