,DBN1 (1627)
ACH-000004,0.058883367151389664
ACH-000005,-0.3521150538674261
ACH-000007,0.16491507233489902
ACH-000009,0.06230540755896336
ACH-000011,0.3012800672168072
ACH-000012,-0.0952274253512308
ACH-000013,-0.029621965347351682
ACH-000014,-0.10037583800295764
ACH-000015,0.059362288593179914
ACH-000017,0.14116193774175687
ACH-000018,-0.01087708167892944
ACH-000019,-0.04428723700189385
ACH-000021,-0.028978412534069964
ACH-000022,-0.1568369550695734
ACH-000025,0.18430591877458133
ACH-000028,0.14128616424113138
ACH-000030,0.04798866524818734
ACH-000035,0.014129307976092588
ACH-000036,0.09184107762437774
ACH-000037,0.058230674451544874
ACH-000039,-0.1132216279738602
ACH-000040,0.024139284305168263
ACH-000041,0.2113769716134678
ACH-000042,-0.1813236007093481
ACH-000045,0.2051146891560177
ACH-000047,-0.2365031466987343
ACH-000052,-0.05849239212746354
ACH-000053,-0.01972533317626168
ACH-000054,-0.051256642777916986
ACH-000055,-0.07408829245378408
ACH-000060,-0.06717008041534465
ACH-000067,0.1766780499824245
ACH-000070,0.1006937188099898
ACH-000075,0.06744158623500007
ACH-000078,0.21127934730283154
ACH-000082,-0.056453435091906715
ACH-000085,-0.06294862700082281
ACH-000086,0.027544588363582274
ACH-000087,0.0300666568609475
ACH-000092,-0.054457700046356916
ACH-000095,-0.06757330250886827
ACH-000097,0.11318513105237947
ACH-000098,-0.03101985016974197
ACH-000099,0.07959755786736933
ACH-000108,-0.018151347475680268
ACH-000113,0.1028597211499514
ACH-000116,0.10061133702230064
ACH-000118,0.12725193643207608
ACH-000120,-0.06343114897975607
ACH-000123,-0.08430152624629315
ACH-000127,-0.051669737302551706
ACH-000128,-0.09609146445127116
ACH-000132,0.0742130299313216
ACH-000133,0.09138821856977217
ACH-000137,0.1944556949496412
ACH-000138,0.09510807593598013
ACH-000142,-0.07614962099562728
ACH-000143,-0.08199742408020552
ACH-000146,0.004359574857728914
ACH-000148,0.01811397975081924
ACH-000150,-0.24130124714589016
ACH-000152,-0.13553076881539702
ACH-000153,0.02932036056674888
ACH-000159,-0.06019852601126969
ACH-000160,0.0877659704947592
ACH-000163,-0.010773463556236821
ACH-000167,0.018310918344663158
ACH-000168,-0.02177629673020083
ACH-000169,-0.029470439783940768
ACH-000178,-0.04136769130370673
ACH-000183,-0.06448141399472856
ACH-000188,0.020097303566448253
ACH-000189,0.00801460212135589
ACH-000190,0.11692862905040853
ACH-000198,-0.1234610527554246
ACH-000203,-0.7302935039789937
ACH-000204,0.1467800940395855
ACH-000206,-0.10618404844525037
ACH-000207,0.13338106639383224
ACH-000208,0.05147277295473273
ACH-000210,0.20941701957150333
ACH-000211,-0.0013932418426721815
ACH-000215,0.13485045528660689
ACH-000221,0.06402699480169764
ACH-000222,-0.040716548799515015
