,EIF4G2 (1982)
ACH-000004,-1.0232577685785371
ACH-000005,-0.7219488193389959
ACH-000007,-0.6993054264406212
ACH-000009,-0.6779211775350749
ACH-000011,-0.576247869229376
ACH-000012,-0.7808959664752502
ACH-000013,-0.7009967819161824
ACH-000014,-0.9189063992981148
ACH-000015,-0.7947789097559854
ACH-000017,-1.0170894468576708
ACH-000018,-0.603143860310087
ACH-000019,-0.5390365441490672
ACH-000021,-0.6934858688216429
ACH-000022,-0.6517425792577952
ACH-000025,-0.7663126177371512
ACH-000028,-0.5642819410794043
ACH-000030,-0.50719298622017
ACH-000035,-0.8966939465833488
ACH-000036,0.018450988036854545
ACH-000037,-0.9276228108096228
ACH-000039,-0.7284377331469515
ACH-000040,-0.17352524470183134
ACH-000041,-0.8082116932338085
ACH-000042,-0.3662208333849423
ACH-000045,-0.5844242884233847
ACH-000047,-0.8050713989332254
ACH-000052,-0.7800736462060671
ACH-000053,-0.5797989256751096
ACH-000054,-0.5234815208012602
ACH-000055,-0.8011058905175987
ACH-000060,-0.1143724267790481
ACH-000067,-0.6823574055895886
ACH-000070,-0.6291435680174083
ACH-000075,-0.5908676263954705
ACH-000078,-0.6654048246747033
ACH-000082,-0.8824412996809579
ACH-000085,-0.7441410595703891
ACH-000086,-0.369303284960134
ACH-000087,-0.8383281132736136
ACH-000092,-0.5766416163729611
ACH-000095,-0.5706679735490561
ACH-000097,-0.7607395663344634
ACH-000098,-0.43036856691567305
ACH-000099,-1.0413435147337513
ACH-000108,-0.4505646497388162
ACH-000113,-0.4862539333573895
ACH-000116,-1.0176438198649254
ACH-000118,-0.5303450657349331
ACH-000120,-0.9576146252046988
ACH-000123,-0.5836779251196801
ACH-000127,-0.5186302645701428
ACH-000128,-0.4749529290155038
ACH-000132,-0.8919551735835595
ACH-000133,-0.7384336672008924
ACH-000137,-0.744065474161325
ACH-000138,-0.6691944248039629
ACH-000142,-0.7194076513822892
ACH-000143,-0.7389031778243963
ACH-000146,-0.5137455735772812
ACH-000148,-0.4736564310234835
ACH-000150,-0.38868375048376985
ACH-000152,-0.27707957216073903
ACH-000153,-0.6562885854044679
ACH-000159,-0.6448645541938852
ACH-000160,-0.5809354115406957
ACH-000163,-0.03046754108049785
ACH-000167,-0.875110893859853
ACH-000168,-0.5011828137391124
ACH-000169,-0.9101587285479016
ACH-000178,-0.7281133136796846
ACH-000183,-0.656179120461438
ACH-000188,-0.5752237889231852
ACH-000189,-0.21157391896625286
ACH-000190,-0.8537409961911663
ACH-000198,-0.9004738828692223
ACH-000203,-0.3093150174668771
ACH-000204,-0.5513346808337835
ACH-000206,-0.5574877991416204
ACH-000207,-0.8799376027758521
ACH-000208,-0.5699903370452502
ACH-000210,-0.41141438652802303
ACH-000211,-0.8668041143703547
ACH-000215,-0.6104673604889204
ACH-000221,-0.9356282773003674
ACH-000222,-0.3219144406817299
ACH-000223,-0.7392975467846943
ACH-000226,-0.5404388752123044
ACH-000227,-0.7346660639780063
ACH-000228,-0.3111367502947121
ACH-000231,-0.4711029062842122
ACH-000232,-0.38591721382137095
ACH-000233,-0.8986730515120187
ACH-000234,-0.7719285422902499
ACH-000235,-0.2456124953009199
ACH-000237,-0.40403719828617946
ACH-000238,-0.660661096665765
ACH-000242,-0.5209870790858898
ACH-000243,-0.6999442341134021
ACH-000244,-0.6261778752912044
ACH-000246,-0.6391030385509779
ACH-000248,-0.6889749878467463
ACH-000250,-0.3897907467422342
ACH-000251,-0.8381590414675181
ACH-000252,-0.6866845515760847
ACH-000253,-0.6627222460405785
ACH-000255,-0.5804377204114279
ACH-000256,-0.9919253753358941
ACH-000257,-0.4229779663442062
ACH-000258,-0.7004009761082352
ACH-000259,-0.8524484364235011
ACH-000260,-1.0060191202669286
ACH-000261,-0.784666396911598
ACH-000262,-0.6400168247285372
ACH-000263,-0.8567006755857455
ACH-000264,-0.8309588711782216
ACH-000265,-0.4811545703179234
ACH-000266,-0.5910199794654131
ACH-000272,-0.6406295132776484
ACH-000274,-0.6591057985850947
ACH-000277,-0.8084493225730147
ACH-000278,-0.5728062556325693
ACH-000279,-0.6919559943731739
ACH-000280,-0.4194463149695839
ACH-000281,-0.5822791590557103
ACH-000288,-0.4010902405505759
ACH-000291,-0.9325531368688798
ACH-000293,-0.9039463522888732
ACH-000294,-0.7531714107650542
ACH-000295,-0.9936317611556622
ACH-000296,-0.7161043565864986
ACH-000302,-0.7534570715286876
ACH-000304,-0.9274472576794052
ACH-000307,-0.6252151619074447
ACH-000308,-0.8874279895742514
ACH-000310,-0.6638425888638378
ACH-000311,-0.6153697672571825
ACH-000312,-0.5677458129568212
ACH-000315,-0.6607823917503703
ACH-000316,-0.768842204788505
ACH-000317,-0.7145996261044105
ACH-000318,-0.5557735247670554
ACH-000319,-0.39220994993380304
ACH-000320,-0.46096922571006105
ACH-000322,-0.4693691582341923
ACH-000323,-0.904020457372697
ACH-000324,-0.8990413565837398
ACH-000329,-0.5662830474877771
ACH-000330,-0.9385019865432278
ACH-000331,-0.6225176184915899
ACH-000332,-0.44771771757246337
ACH-000334,-0.8623876018077229
ACH-000335,-0.6830795361636067
ACH-000336,-0.7685286764149992
ACH-000337,-0.6135085307439847
ACH-000338,-0.2856478663048382
ACH-000339,-0.7306689595578496
ACH-000341,-0.4285649660895212
ACH-000348,-0.896740406274733
ACH-000350,-0.4856427529434714
ACH-000352,-0.7087163409196153
ACH-000356,-0.5863074273082365
ACH-000361,-0.4336163607234895
ACH-000362,-0.992253867187975
ACH-000363,-1.0452195987466992
ACH-000364,-0.7499274614353822
ACH-000365,-0.6739290737631113
ACH-000366,-0.5147276866918004
ACH-000368,-0.7404328782944969
ACH-000374,-1.0204103091084908
ACH-000375,-0.7515228382443045
ACH-000376,-0.7291099449610579
ACH-000381,-0.1907471194692365
ACH-000383,-0.6697850976236261
ACH-000387,-0.997907099882224
ACH-000389,-0.7317573907705527
ACH-000390,-0.5167060919279651
ACH-000393,-1.120549619985436
ACH-000395,-0.3311450002746439
ACH-000396,-0.8097718222345616
ACH-000397,-0.6281603597185433
ACH-000401,-0.4341985464259897
ACH-000402,-0.5815861306264658
ACH-000403,-0.5422635000255086
ACH-000404,-0.6128766943682182
ACH-000406,-0.903112909445477
ACH-000407,-0.9878366885904292
ACH-000408,-0.4087561267504978
ACH-000410,-0.7358674850318877
ACH-000411,-0.5807971294658516
ACH-000414,-0.6410760988075667
ACH-000415,-0.6190499677651172
ACH-000416,-0.8483268667545899
ACH-000420,-0.4392075970626946
ACH-000421,-0.7742097312506554
ACH-000424,-0.7215213017721742
ACH-000425,-0.9646448889088216
ACH-000426,-0.7029589247254909
ACH-000427,-0.8722732370161936
ACH-000433,-0.5219775013890564
ACH-000435,-0.6572194019185493
ACH-000436,-0.7485715975392889
ACH-000444,-0.7137313915664613
ACH-000445,-0.7550660366549095
ACH-000448,-0.5778709311567584
ACH-000450,-0.6254751537293256
ACH-000452,-0.5698565027295209
ACH-000454,-0.4840056374452136
ACH-000458,-0.7333552759332991
ACH-000459,-0.7702565290828091
ACH-000460,-0.6555578753171318
ACH-000461,-0.5385930196058903
ACH-000463,-0.7633267269937042
ACH-000464,-0.02527066320597808
ACH-000466,-0.4161962959180625
ACH-000467,-0.6765949099557627
ACH-000468,-0.6052477341169169
ACH-000469,-0.8305366015531382
ACH-000470,-1.0513177791157844
ACH-000471,-0.7702187182228116
ACH-000472,-0.6386491293715865
ACH-000473,-0.8008978749427518
ACH-000475,-0.6114790439492908
ACH-000476,-0.973714507597614
ACH-000477,-0.6038866155984268
ACH-000479,-0.5139841764564951
ACH-000480,-0.8058962272138593
ACH-000481,-0.4605073692268009
ACH-000483,-0.7611332579173736
ACH-000484,-0.6901940871434006
ACH-000485,-0.8270619963070605
ACH-000486,-0.7252852374911063
ACH-000487,-0.9063839963506304
ACH-000488,-0.4268456479879877
ACH-000490,-0.4190417476341466
ACH-000491,-0.7715115419323495
ACH-000495,-0.7169265227674869
ACH-000496,-0.8009443949436469
ACH-000499,-0.6542932691804276
ACH-000500,-0.616848089872167
ACH-000502,-0.6360900240106396
ACH-000503,-0.5395526211765881
ACH-000505,-0.6135520839440081
ACH-000507,-0.5723748141674196
ACH-000510,-0.56802322089198
ACH-000511,-0.579460758828273
ACH-000512,-0.3763375722602997
ACH-000516,-0.5172478353400102
ACH-000517,-0.5458357928861759
ACH-000518,-0.4451541801770487
ACH-000520,-0.6795133136987186
ACH-000521,-0.5989389425892074
ACH-000522,-0.6245171434875741
ACH-000524,-0.5052522173333757
ACH-000527,-0.6633888973212743
ACH-000528,-0.5128639605230164
ACH-000537,-0.91550217823439
ACH-000541,-0.58221836666561
ACH-000542,-0.7082400069816901
ACH-000544,-0.8873660325442091
ACH-000545,-0.7600386000817704
ACH-000547,-0.7831288442739177
ACH-000548,-0.49066484795300996
ACH-000549,-0.5530922619708105
ACH-000550,-0.7327204292688491
ACH-000552,-0.650251428970394
ACH-000556,-0.4578096285617948
ACH-000557,-0.8455445091542763
ACH-000569,-0.2667635430249793
ACH-000570,-0.6389001503697656
ACH-000571,-0.954689943334992
ACH-000573,-0.8073075513685997
ACH-000576,-0.7876916561267671
ACH-000579,-0.6848353168928017
ACH-000580,-0.9247353246174692
ACH-000584,-0.6016171828416205
ACH-000585,-0.6613781130796152
ACH-000588,-0.8286021452348832
ACH-000589,-0.8625031020840396
