,DepMap_ID
31254,ACH-000081
95397,ACH-000300
140752,ACH-000418
251756,ACH-000667
279417,ACH-000718
400944,ACH-000843
419698,ACH-000865
455779,ACH-000896
498221,ACH-000924
516513,ACH-000933
519456,ACH-000935
525848,ACH-000937
585149,ACH-000957
594675,ACH-000960
646776,ACH-000974
646777,ACH-000974
650388,ACH-000975
693475,ACH-000984
707992,ACH-000986
707993,ACH-000986
707994,ACH-000986
722596,ACH-000988
868363,ACH-000997
911417,ACH-001030
927735,ACH-001081
973031,ACH-001306
1004039,ACH-001378
1005292,ACH-001385
1017732,ACH-001418
1031759,ACH-001517
1037288,ACH-001526
1049399,ACH-001550
1115956,ACH-002120
1203120,ACH-002287
1215289,ACH-002309
1234199,ACH-002386
