,DepMap_ID
6604,ACH-000019
20882,ACH-000062
89788,ACH-000283
102740,ACH-000317
103139,ACH-000318
131902,ACH-000395
144736,ACH-000428
168701,ACH-000487
169254,ACH-000488
188926,ACH-000537
191926,ACH-000545
236197,ACH-000638
272241,ACH-000704
273577,ACH-000706
284202,ACH-000727
307976,ACH-000768
318441,ACH-000782
385046,ACH-000822
390639,ACH-000829
392445,ACH-000831
403003,ACH-000845
429983,ACH-000874
432355,ACH-000876
432356,ACH-000876
464484,ACH-000904
470635,ACH-000909
493607,ACH-000921
498078,ACH-000924
501784,ACH-000926
534217,ACH-000940
559203,ACH-000949
562052,ACH-000950
567330,ACH-000952
601318,ACH-000962
622602,ACH-000968
626778,ACH-000969
630723,ACH-000970
650149,ACH-000975
699951,ACH-000985
699952,ACH-000985
699953,ACH-000985
714881,ACH-000987
729289,ACH-000989
741416,ACH-000990
751596,ACH-000991
751597,ACH-000991
751598,ACH-000991
827010,ACH-000993
827011,ACH-000993
837321,ACH-000994
846312,ACH-000995
846313,ACH-000995
856486,ACH-000996
867613,ACH-000997
867614,ACH-000997
877942,ACH-000998
900151,ACH-000999
900152,ACH-000999
900153,ACH-000999
913766,ACH-001041
918983,ACH-001064
927036,ACH-001081
930797,ACH-001090
950321,ACH-001145
974671,ACH-001318
979757,ACH-001333
993803,ACH-001362
999833,ACH-001369
1004273,ACH-001379
1026423,ACH-001498
1040326,ACH-001536
1048917,ACH-001550
1048918,ACH-001550
1048919,ACH-001550
1069347,ACH-001610
1071116,ACH-001611
1071437,ACH-001617
1082305,ACH-001656
1088483,ACH-001735
1108696,ACH-002097
1214847,ACH-002309
1218038,ACH-002313
1224326,ACH-002341
1224327,ACH-002341
1226265,ACH-002347
1230279,ACH-002365
1234600,ACH-002387
1237756,ACH-002394
