,DepMap_ID
103030,ACH-000318
112077,ACH-000345
169066,ACH-000488
296003,ACH-000749
312756,ACH-000776
398770,ACH-000841
449383,ACH-000890
459102,ACH-000899
474746,ACH-000912
561182,ACH-000950
596967,ACH-000961
633768,ACH-000971
641590,ACH-000973
666920,ACH-000979
705283,ACH-000986
727127,ACH-000989
853279,ACH-000996
892627,ACH-000999
892628,ACH-000999
983229,ACH-001344
991156,ACH-001354
1009822,ACH-001402
1015053,ACH-001414
1017263,ACH-001417
1113191,ACH-002109
1159472,ACH-002222
1164941,ACH-002232
1173764,ACH-002245
1195482,ACH-002275
