,FOXD2 (2306)
ACH-000004,-0.19250544162591973
ACH-000005,-0.8621075206252691
ACH-000007,-0.10949213594592508
ACH-000009,-0.1675687104270518
ACH-000011,-0.17145280144861544
ACH-000012,-0.18504154200490527
ACH-000013,-0.030634328384948395
ACH-000014,-0.2511807631005276
ACH-000015,-0.02101580825103864
ACH-000017,-0.16871911379700186
ACH-000018,-0.05279357752097191
ACH-000019,-0.12086812043742053
ACH-000021,-0.0176850459169346
ACH-000022,-0.16969468567028473
ACH-000025,-0.05733535503274771
ACH-000028,-0.07861200024641797
ACH-000030,-0.15146538384840974
ACH-000035,-0.1275082955922575
ACH-000036,-0.1151337005463154
ACH-000037,-0.0850819256239401
ACH-000039,-0.06524420024978836
ACH-000040,0.02285294179720853
ACH-000041,-0.08050827980913262
ACH-000042,-0.047906247214263634
ACH-000045,-0.13824620436480833
ACH-000047,-0.10906843845863336
ACH-000052,-0.09490963329927876
ACH-000053,-0.1373110066379944
ACH-000054,-0.11426392545798315
ACH-000055,0.00994003618808053
ACH-000060,-0.21730982986601252
ACH-000067,-0.1905752710565578
ACH-000070,-0.04403255451868629
ACH-000075,0.04233849227280994
ACH-000078,-0.0361954507494307
ACH-000082,-0.040408999032997266
ACH-000085,-0.06703830659311273
ACH-000086,-0.03814071161161521
ACH-000087,-0.060271165337076826
ACH-000092,-0.2010375082361701
ACH-000095,-0.055850066245165364
ACH-000097,-0.05074827098340417
ACH-000098,-0.1187834322522157
ACH-000099,-0.127775934203513
ACH-000108,0.02120569470627817
ACH-000113,-0.1855437511694508
ACH-000116,-0.057763797278938815
ACH-000118,-0.1027678512054002
ACH-000120,-0.09383559403587112
ACH-000123,-0.11298103831769073
ACH-000127,-0.14759968500756326
ACH-000128,-0.02904039946730108
ACH-000132,-0.07259004745622387
ACH-000133,-0.017390080169193956
ACH-000137,-0.1983051595508722
ACH-000138,-0.0451479767484533
ACH-000142,-0.0849451597951006
ACH-000143,0.007361265582706755
ACH-000146,-0.17519427448022698
ACH-000148,-0.2346050719266293
ACH-000150,-0.13050885858452882
