,GGT7 (2686)
ACH-000004,-0.4458156176216196
ACH-000005,-0.3890074194996934
ACH-000007,-0.1131426526448267
ACH-000009,-0.09546192277159214
ACH-000011,-0.12861975240458673
ACH-000012,0.01536614874397149
ACH-000013,0.004321055222893179
ACH-000014,-0.06521038100004413
ACH-000015,0.025095124339771232
ACH-000017,-0.15914826247216635
ACH-000018,-0.29967128816907
ACH-000019,0.06895106090951468
ACH-000021,-0.012801392603479398
ACH-000022,-0.10004772645203087
ACH-000025,-0.1182960148251747
ACH-000028,-0.030174037167641294
ACH-000030,-0.19672076944009206
ACH-000035,-0.22839825709929776
ACH-000036,-0.12967865502953882
ACH-000037,-0.06593190851547454
ACH-000039,0.06934096578684201
ACH-000040,0.07193884547787739
ACH-000041,0.13331177841588854
ACH-000042,0.013667404440459026
ACH-000045,0.09925457481837834
ACH-000047,-0.14696611219110914
ACH-000052,-0.05375438838732026
ACH-000053,-0.07427320543216273
ACH-000054,-0.013508415827221915
ACH-000055,-0.15225159220632853
ACH-000060,0.08281772521219934
ACH-000067,-0.03294061007189337
ACH-000070,-0.3299128175381
ACH-000075,0.0042977647202722905
ACH-000078,-0.1482962588163672
ACH-000082,-0.022769841257078538
ACH-000085,-0.30498963016158515
ACH-000086,-0.053418279481723466
ACH-000087,-0.13190306156624193
ACH-000092,-0.16315784904017286
ACH-000095,-0.037609758655146194
ACH-000097,0.026863210990715525
ACH-000098,-0.009157431004098635
ACH-000099,-0.15987102516779125
ACH-000108,-0.1085729169515196
ACH-000113,0.0078081123134038435
ACH-000116,-0.1280696117435108
ACH-000118,-0.09224976662244584
ACH-000120,0.01871056877960188
ACH-000123,-0.15484409192695606
ACH-000127,0.03749062886538234
ACH-000128,-0.12357716983966308
ACH-000132,0.18066176619581506
ACH-000133,-0.1463952044893908
ACH-000137,0.0381530506158025
ACH-000138,-0.05458178675252279
ACH-000142,-0.1347367963530073
ACH-000143,-0.097219022376334
ACH-000146,-0.0854373773068283
ACH-000148,-0.14186911487375942
ACH-000150,-0.10351114267058427
ACH-000152,-0.05204686910167969
ACH-000153,0.06648550019287054
ACH-000159,-0.032004075356604836
ACH-000160,0.019745572807606096
ACH-000163,-0.14300611695421955
ACH-000167,-0.06367322967014735
ACH-000168,-0.20959044724772594
ACH-000169,-0.25774013521651395
ACH-000178,-0.023252777323434826
ACH-000183,-0.03761636075106744
ACH-000188,0.0012958211361883175
ACH-000189,-0.000407187398704828
ACH-000190,-0.08173355860649824
ACH-000198,-0.02980484271110156
ACH-000203,-0.10828083811299656
ACH-000204,0.09666919145511473
ACH-000206,-0.2679166160318901
ACH-000207,-0.13502589034846793
ACH-000208,0.33967173236107684
ACH-000210,-0.08595783958938721
ACH-000211,-0.09369824101714017
ACH-000215,-0.09871214627324663
ACH-000221,-0.003243729891106363
ACH-000222,0.051633708739667
ACH-000223,-0.03421185455636492
ACH-000226,-0.10950337677408316
ACH-000227,-0.0878309495310257
ACH-000228,-0.052694105620714776
ACH-000231,-0.13099321295776284
ACH-000232,-0.02884607599941267
ACH-000233,0.0933190128482033
ACH-000234,-0.13853298237872988
ACH-000235,-0.12112851233075422
ACH-000237,0.03609193286995645
ACH-000238,-0.17755655505284465
ACH-000242,-0.3062385022567655
ACH-000243,-0.06060083174618911
ACH-000244,0.19331715902024627
ACH-000246,-0.09683232753542786
ACH-000248,-0.06318445311707874
ACH-000250,-0.1266760390619178
ACH-000251,-0.09142265750845796
ACH-000252,-0.07246965978039795
ACH-000253,-0.0590057900258957
ACH-000255,-0.14710954349259905
ACH-000256,-0.08039229964450616
ACH-000257,-0.20857820822031006
ACH-000258,-0.024084534560511118
ACH-000259,-0.043415554306386016
ACH-000260,-0.1433060826735046
ACH-000261,-0.057387017739938526
ACH-000262,-0.1092873772961459
ACH-000263,-0.07493105558358025
ACH-000264,-0.024051855814665443
ACH-000265,0.02079226228897841
ACH-000266,0.028275446977047283
ACH-000272,-0.1926348921008244
ACH-000274,-0.08624531974207171
ACH-000277,-0.5024933173246919
ACH-000278,-0.055539420952840535
ACH-000279,0.08270369483444343
ACH-000280,-0.06937070002926661
ACH-000281,-0.0958622215834657
ACH-000288,0.000832698763078059
ACH-000291,-0.2558426531278871
ACH-000293,-0.08074678506009901
ACH-000294,-0.2560848542597825
ACH-000295,0.1034581342896682
ACH-000296,-0.2972060053446409
ACH-000302,-0.06257439704087579
ACH-000304,-0.0458641323002935
ACH-000307,-0.09442970380695792
ACH-000308,-0.0430878611658758
ACH-000310,-0.054770615894137765
ACH-000311,-0.003920632595797171
ACH-000312,-0.1413352240696441
ACH-000315,-0.4604954557396646
ACH-000316,-0.0258923154420209
ACH-000317,-0.030172442749935195
ACH-000318,0.16607524784793926
ACH-000319,0.13442116832054218
ACH-000320,-0.07122043951721993
ACH-000322,0.01426314826453339
ACH-000323,0.02477676498723481
ACH-000324,-0.13578984043009748
ACH-000329,-0.05642405331394041
ACH-000330,-0.1420119201916072
ACH-000331,-0.11438882653347285
ACH-000332,0.010492837297596749
ACH-000334,-0.17291960012339302
ACH-000335,-0.2641872457675838
ACH-000336,0.060080524175018475
ACH-000337,0.01175847773729843
ACH-000338,-0.3544408002469726
ACH-000339,-0.07486610233435671
ACH-000341,-0.15996690027455282
ACH-000348,-0.12295009984043535
ACH-000350,-0.19274199711381407
ACH-000352,-0.09469358945188924
ACH-000356,0.11670025589124128
ACH-000361,-0.21750745817095488
ACH-000362,-0.04248189716613457
ACH-000363,0.0007347980568526274
ACH-000364,0.1754510956385701
ACH-000365,-0.03544447097715154
ACH-000366,-0.09836087436770652
ACH-000368,-0.16238812359132626
ACH-000374,0.031153376084922912
ACH-000375,-0.18468919362834246
ACH-000376,-0.14465747499676992
ACH-000381,-0.02976297250921871
ACH-000383,-0.018739730275604383
ACH-000387,-0.06027553164906047
ACH-000389,0.1431712899960051
ACH-000390,0.03674770824463326
ACH-000393,0.04017370744547862
ACH-000395,-0.3475707284161436
ACH-000396,-0.13372391208485912
ACH-000397,-0.012975275611524372
ACH-000401,-0.05597179713409281
ACH-000402,0.03645018608926366
ACH-000403,-0.16884915041879656
