,GLIS1 (148979)
ACH-000004,0.2912244300330915
ACH-000005,-0.005819360788223886
ACH-000007,0.13048811188357493
ACH-000009,-0.035701596600818265
ACH-000011,0.11246810032266984
ACH-000012,0.011638888350096402
ACH-000013,-0.016450157093494868
ACH-000014,0.010624519981711322
ACH-000015,0.0431184236501596
ACH-000017,-0.13096704033286174
ACH-000018,-0.015629523697556602
ACH-000019,-0.01626950173212146
ACH-000021,-0.032950363845509464
ACH-000022,-0.09740958533746773
ACH-000025,-0.06431820153114606
ACH-000028,0.0041779447141903755
ACH-000030,0.007578180276225395
ACH-000035,-0.08334024035803105
ACH-000036,-0.13157022763269996
ACH-000037,0.15457500217559694
ACH-000039,-0.06307576048554912
ACH-000040,0.09500425004687288
ACH-000041,0.05160893416715361
ACH-000042,0.1015172014335071
ACH-000045,0.053438678561832216
ACH-000047,-0.1268226882764832
ACH-000052,-0.1945217923787443
ACH-000053,-0.014118917856048059
ACH-000054,-0.07494698946696565
ACH-000055,-0.08676522425952611
ACH-000060,-0.18831807616949514
ACH-000067,-0.05725412136069045
ACH-000070,-0.01976229468696415
ACH-000075,-0.1247039880239181
ACH-000078,0.00137153378671959
ACH-000082,0.025911266691491446
ACH-000085,0.022222300915162342
ACH-000086,-0.039782292323603065
ACH-000087,-0.14060259331268354
ACH-000092,-0.06436851961754736
ACH-000095,0.035054024558947315
ACH-000097,0.034535959189614086
ACH-000098,0.2624880305627692
ACH-000099,-0.049014374891134666
ACH-000108,0.1047506214652384
ACH-000113,0.13243795604427436
ACH-000116,0.09768805651512852
ACH-000118,0.06798539240174882
ACH-000120,-0.10838846103186398
ACH-000123,0.048885828752827605
ACH-000127,0.04243167683470382
ACH-000128,-0.005462677144199139
ACH-000132,0.0253977716118668
ACH-000133,0.039451939098457074
ACH-000137,-0.09625764554199646
ACH-000138,-0.02569275856424469
ACH-000142,-0.09355785690928152
ACH-000143,0.10253141440254276
ACH-000146,-0.042389257851935896
ACH-000148,0.0847611354598677
ACH-000150,-0.10196541136955936
ACH-000152,0.2503222165622633
ACH-000153,0.1789037345272203
ACH-000159,0.11195784455295994
ACH-000160,-0.0851501457226254
ACH-000163,-0.0647437996136951
ACH-000167,0.2135113291690028
ACH-000168,-0.022973806882313208
ACH-000169,-0.0625045210865716
ACH-000178,-0.0636147337174676
ACH-000183,0.1124021807845906
ACH-000188,-0.002583166519929448
ACH-000189,-0.004502252383174372
ACH-000190,-0.15548592783787918
ACH-000198,-0.05104382378530665
