,IL11RA (3590)
ACH-000004,0.06393194610109358
ACH-000005,-0.016759824043905483
ACH-000007,-0.021976048500928384
ACH-000009,0.0022279167345157324
ACH-000011,-0.09951765538542363
ACH-000012,-0.1217135880605846
ACH-000013,0.018607867491435733
ACH-000014,-0.2950062002541539
ACH-000015,-0.11576454664142835
ACH-000017,-0.10044867601820544
ACH-000018,-0.07313875171394475
ACH-000019,-0.21824780653574105
ACH-000021,-0.05046452285770888
ACH-000022,0.0557210489101819
ACH-000025,0.026261488117572892
ACH-000028,-0.010828654587043785
ACH-000030,-0.05495478898544001
ACH-000035,-0.11745766132433096
ACH-000036,-0.1225339003494488
ACH-000037,-0.0054813592080489104
ACH-000039,0.11276987085652004
ACH-000040,-0.11954967187898265
ACH-000041,-0.07850742206404869
ACH-000042,-0.19500731100967875
ACH-000045,0.02618520804949872
ACH-000047,-0.1085961366352978
ACH-000052,-0.0718831271958207
ACH-000053,-0.01976906953562739
ACH-000054,0.07394362647276541
ACH-000055,0.014325243383683718
ACH-000060,-0.09755673637791444
ACH-000067,0.06470028959054723
ACH-000070,-0.13794911786176295
ACH-000075,-0.012132018546906428
ACH-000078,0.05011231195128352
ACH-000082,-0.16050328790470264
ACH-000085,-0.2528366929576985
ACH-000086,-0.033367802343595786
ACH-000087,-0.2579945480641468
ACH-000092,-0.13828618906795204
ACH-000095,-0.05213496742406889
ACH-000097,-0.08349862846634297
ACH-000098,-0.052826827709158516
ACH-000099,-0.0016158948899631608
ACH-000108,-0.048919807952410285
ACH-000113,-0.04242022214666726
ACH-000116,0.05172824978226727
ACH-000118,-0.12481354588525205
ACH-000120,0.2234386478351552
ACH-000123,-0.12199532171765196
ACH-000127,-0.004438144937217862
ACH-000128,0.015131906760912013
ACH-000132,0.032822450308647534
ACH-000133,-0.17400643506225152
ACH-000137,-0.0558887196325273
ACH-000138,-0.1555134974979963
ACH-000142,0.044765043558807664
ACH-000143,0.07214811859784802
ACH-000146,-0.04256713701168338
ACH-000148,-0.011949002957661407
ACH-000150,-0.14943777267435746
ACH-000152,-0.05743561021572406
ACH-000153,0.05235375558158485
ACH-000159,-0.04409780462011058
ACH-000160,-0.2768201123119492
ACH-000163,-0.08015561243574901
ACH-000167,0.08316692068251255
ACH-000168,0.17956036788016735
ACH-000169,-0.00561531673725674
ACH-000178,-0.031616446864116625
ACH-000183,0.1409282829954717
ACH-000188,-0.12783294200458914
ACH-000189,-0.0019463399586002125
ACH-000190,0.05354415041281566
ACH-000198,-0.04932384708725608
ACH-000203,0.11536148034418114
ACH-000204,0.1519743151561767
ACH-000206,0.054146375375008916
ACH-000207,-0.07264395189330705
ACH-000208,-0.00668140757482601
ACH-000210,-0.17315881683149684
ACH-000211,0.023689419392709403
ACH-000215,-0.15736999363957854
ACH-000221,-0.0493855801880157
ACH-000222,-0.3073222193772826
ACH-000223,-0.011422612830441877
ACH-000226,-0.07507765865301176
ACH-000227,0.0511409598913638
ACH-000228,-0.12825133202885522
ACH-000231,-0.04874135557009232
ACH-000232,-0.020894348467335174
ACH-000233,-0.0017876419365581802
ACH-000234,-0.12239718178285823
ACH-000235,-0.04758916164717535
ACH-000237,-0.095929672720788
ACH-000238,-0.2284219327571779
ACH-000242,0.1419373395253836
ACH-000243,-0.0032310292024089666
ACH-000244,-0.1715436824668123
ACH-000246,-0.04947042624588384
ACH-000248,0.09753179770832024
ACH-000250,0.021653159581121077
ACH-000251,0.20673052273233125
ACH-000252,0.03285356552800283
ACH-000253,-0.07047367855902154
ACH-000255,-0.0403701769825147
ACH-000256,0.09607675348788797
ACH-000257,-0.21826838003887766
ACH-000258,-0.050209932328928994
ACH-000259,-0.15069576485930006
ACH-000260,-0.06586592109273055
ACH-000261,-0.11614636141595587
ACH-000262,-0.06982734606630434
ACH-000263,0.07252914340413752
ACH-000264,-0.12481107120667867
ACH-000265,-0.1249470006406164
ACH-000266,-0.1140003932275334
ACH-000272,-0.024948673274289426
ACH-000274,-0.10177925285963772
ACH-000277,-0.0901385525100314
ACH-000278,-0.1911653392094186
ACH-000279,-0.18197257328235406
ACH-000280,-0.051855532734532334
ACH-000281,-0.03148406790718309
ACH-000288,0.04492160347686385
ACH-000291,0.055705237079371216
ACH-000293,-0.030002306593391325
ACH-000294,-0.0223528288824414
ACH-000295,-0.17106818873232116
ACH-000296,0.04421789496914892
ACH-000302,-0.08709334164524392
ACH-000304,-0.015166830600573347
ACH-000307,-0.2272069472857189
ACH-000308,-0.06426007997751851
ACH-000310,-0.1541469176353872
ACH-000311,-0.05552519531826145
ACH-000312,-0.04304342504341218
ACH-000315,-0.007049614650164642
