,IPPK (64768)
ACH-000004,-0.7300232286031485
ACH-000005,-0.7807394399157918
ACH-000007,-0.03188231992130649
ACH-000009,-0.19093011115140654
ACH-000011,-0.10816568441973007
ACH-000012,-0.3645111303660588
ACH-000013,-0.190478660906028
ACH-000014,-0.9137540982937516
ACH-000015,-0.2489067129840713
ACH-000017,-0.3068992488161804
ACH-000018,-0.5134242562612057
ACH-000019,-0.07325965395970624
ACH-000021,-0.4060974074309925
ACH-000022,-0.20515882849644085
ACH-000025,-0.14690161933889265
ACH-000028,-0.3708211590942228
ACH-000030,-0.2947080882441787
ACH-000035,-0.7979191764200884
ACH-000036,-0.10977495372744654
ACH-000037,-0.2259411168423129
ACH-000039,-0.3283771175535685
ACH-000040,-0.2945013485142875
ACH-000041,-0.3435116868585911
ACH-000042,-0.3583078408757027
ACH-000045,-0.31045800378572863
ACH-000047,-0.8239318754219337
ACH-000052,-0.3287084223933844
ACH-000053,-0.5346351983541029
ACH-000054,-0.3859659550990856
ACH-000055,-0.047676098564265766
ACH-000060,-0.2263031001839217
ACH-000067,-0.21238764624560585
ACH-000070,-0.3912577426019861
ACH-000075,-0.3139507960242651
ACH-000078,-0.33617979771294737
ACH-000082,-0.21505922962501986
ACH-000085,0.16101727042142072
ACH-000086,-0.11616995476257035
ACH-000087,-0.2895617803882839
ACH-000092,-0.3174171041315574
ACH-000095,-0.3002829723377083
ACH-000097,-0.5593822614459738
ACH-000098,-0.1981077687121614
ACH-000099,0.008180488628422397
ACH-000108,-0.7619019502621076
ACH-000113,-0.3470886398901443
ACH-000116,-0.034671172062093136
ACH-000118,-0.5580109406356758
ACH-000120,-0.12141431923062244
ACH-000123,-0.16694102199342992
ACH-000127,-0.24750012978359276
ACH-000128,-0.0765111926732494
ACH-000132,-0.5345498511380434
ACH-000133,-0.2350572636369669
ACH-000137,-0.18822975395421188
ACH-000138,-0.5774997912188796
ACH-000142,-0.21718019391005888
ACH-000143,-0.1804115603666469
ACH-000146,-1.1983683832835998
ACH-000148,-0.36569524334705855
ACH-000150,-0.023170245361161825
ACH-000152,-0.19387289570392272
ACH-000153,-0.09769237391751354
ACH-000159,-0.6716414591205788
ACH-000160,-0.31254477040212963
ACH-000163,-0.2936553637336249
ACH-000167,-0.3581099517560038
ACH-000168,0.0015667617298818913
ACH-000169,-0.2231116057658811
