,KDM2B (84678)
ACH-000004,-0.13533186334385233
ACH-000005,0.3367292034777449
ACH-000007,-0.16296749813823086
ACH-000009,-0.04603287970391634
ACH-000011,0.06256831149865498
ACH-000012,-0.0947760924795139
ACH-000013,-0.077887753990241
ACH-000014,0.06762280794068408
ACH-000015,-0.10844990139033847
ACH-000017,-0.06879433431951708
ACH-000018,-0.14237143909652494
ACH-000019,0.13678079541712426
ACH-000021,-0.07252351563154116
ACH-000022,-0.0221002113810951
ACH-000025,-0.2334683809194747
ACH-000028,0.05354679198254703
ACH-000030,-0.031952337968260726
ACH-000035,-0.11110673742279947
ACH-000036,0.22972450624206225
ACH-000037,-0.0780675639998484
ACH-000039,-0.20971315799666973
ACH-000040,-0.18390552314147454
ACH-000041,-0.004145344651377436
ACH-000042,-0.05429036957497757
ACH-000045,-0.07908488559692224
ACH-000047,0.15157392834270866
ACH-000052,0.05476547527065266
ACH-000053,-0.02687317378757361
ACH-000054,0.03939225439797585
ACH-000055,-0.2441784130707688
ACH-000060,-0.01626210763633015
ACH-000067,-0.19029919265768905
ACH-000070,-0.27497422078606576
ACH-000075,-0.20286506620576344
ACH-000078,-0.2760788085317707
ACH-000082,-0.10575359739581297
ACH-000085,-0.2882285731438156
ACH-000086,-0.08162953400789244
ACH-000087,-0.2154618078492388
ACH-000092,0.09086856898142297
ACH-000095,-0.16645477912452333
ACH-000097,0.03151639610379958
ACH-000098,-0.05820100251346165
ACH-000099,-0.05986556813525496
ACH-000108,-0.10858337429564872
ACH-000113,-0.07502347450628957
ACH-000116,-0.08272590904013546
ACH-000118,-0.04624919195012719
ACH-000120,-0.1933836133426219
ACH-000123,-0.04993052465189015
ACH-000127,-0.09522664137003588
ACH-000128,-0.09748450141771428
ACH-000132,-0.1214794008601994
ACH-000133,-0.095347177568469
ACH-000137,-0.20873789701883685
ACH-000138,0.0019372196241828532
ACH-000142,-0.11450280116145613
ACH-000143,-0.4125789722308269
ACH-000146,-0.06324114725091982
ACH-000148,-0.0795003351088924
ACH-000150,-0.17159829396362222
ACH-000152,-0.14058859457089865
ACH-000153,-0.11065715822952688
ACH-000159,-0.00019533437751171711
ACH-000160,0.12375270494883417
ACH-000163,-0.0491334017371205
ACH-000167,0.4658163638199845
ACH-000168,0.02036730813159253
ACH-000169,-0.02569401519244433
ACH-000178,-0.002053655901138355
ACH-000183,-0.027088607289392632
ACH-000188,-0.0323311040439585
ACH-000189,0.05085324321377137
ACH-000190,0.10966569887717194
ACH-000198,-0.047760471433681895
ACH-000203,-0.2582646246887173
ACH-000204,0.1236841271846373
ACH-000206,0.16914493422827245
ACH-000207,-0.035159001010049165
ACH-000208,-0.1191945635749699
ACH-000210,-0.03029111050260353
ACH-000211,-0.028317383630165664
ACH-000215,-0.07440273096482185
ACH-000221,-0.035910496905608484
ACH-000222,0.1244195623512994
ACH-000223,-0.12930458966406996
ACH-000226,-0.09575284924993786
ACH-000227,-0.2289797254700299
ACH-000228,-0.029865192557747163
ACH-000231,0.029319638888864814
ACH-000232,-0.10433396716185124
ACH-000233,0.10935799336959108
ACH-000234,0.061001467559790024
ACH-000235,-0.01315029176029566
ACH-000237,-0.04774968794671787
ACH-000238,-0.024244894328246117
ACH-000242,-0.4638707160982093
ACH-000243,0.051371895146897065
ACH-000244,0.11433254988778505
ACH-000246,-0.10471886745365784
ACH-000248,-0.01247809784623524
ACH-000250,0.004444056376484201
ACH-000251,0.20510898228110616
ACH-000252,0.04314355838467505
ACH-000253,-0.03314406168376633
ACH-000255,-0.03641518566414461
ACH-000256,-0.10116922259119934
ACH-000257,-0.18481929893880325
ACH-000258,-0.014941416168107484
ACH-000259,-0.18284803992539692
ACH-000260,-0.07909457153020573
ACH-000261,0.010493588910124672
ACH-000262,0.21576518224117666
ACH-000263,-0.09653066146266263
ACH-000264,-0.02028581886947959
ACH-000265,0.01816929899626913
ACH-000266,-0.01884580077018497
ACH-000272,0.017864476673590982
ACH-000274,0.0731883651371533
ACH-000277,-0.2185481377123154
ACH-000278,-0.08458876011672818
ACH-000279,-0.07813017047819926
ACH-000280,0.05192261148650863
ACH-000281,-0.015435396344177272
ACH-000288,-0.11720990126088388
ACH-000291,-0.07998635028264976
ACH-000293,0.009006331905116795
ACH-000294,0.3033090553684291
ACH-000295,-0.06802037511463478
ACH-000296,-0.06652495776732778
ACH-000302,-0.03291959296298465
ACH-000304,0.025163776100447982
ACH-000307,-0.14245063638953082
ACH-000308,-0.04035938140921085
ACH-000310,-0.2096301181192328
ACH-000311,0.1930952323700596
ACH-000312,0.026746397667344008
ACH-000315,0.07501233671519136
ACH-000316,0.13660534374899694
ACH-000317,-0.04094500250013161
ACH-000318,0.002709678391329805
ACH-000319,0.022492857563615225
ACH-000320,0.20364464246041494
ACH-000322,-0.06670858692880997
ACH-000323,-0.13962796682475612
ACH-000324,-0.1371134880941036
ACH-000329,-0.06271455690958523
ACH-000330,-0.16010293413434992
ACH-000331,-0.06007586305461107
ACH-000332,0.05073840447009771
ACH-000334,-0.029890068036330913
ACH-000335,-0.03280637339874201
ACH-000336,-0.2968656498067527
ACH-000337,-0.2611466068366192
ACH-000338,-0.07580494204285873
ACH-000339,-0.027517556193589664
ACH-000341,-0.02471820092991007
ACH-000348,-0.06059168560233685
ACH-000350,-0.2764498792731086
ACH-000352,-0.11062222829081278
ACH-000356,0.007060754805552534
ACH-000361,0.3144871987619653
ACH-000362,-0.08384489427744662
ACH-000363,-0.07871036666682442
ACH-000364,0.08430964298703246
ACH-000365,-0.047761226299150375
ACH-000366,-0.03102304207265607
ACH-000368,-0.2253939508578685
ACH-000374,-0.12711156368653911
ACH-000375,-0.008052974337138367
ACH-000376,-0.07415508081623819
ACH-000381,-0.20201405106865228
ACH-000383,-0.012051619297998393
ACH-000387,-0.17250093505016478
ACH-000389,-0.15185881396344253
ACH-000390,-0.036699806423034165
ACH-000393,0.05760705424490211
ACH-000395,-0.27089139534770545
ACH-000396,0.21599683270696288
ACH-000397,-0.12298866279149948
ACH-000401,-0.047178007791517464
ACH-000402,-0.20084905209017687
ACH-000403,-0.06810155001173583
ACH-000404,-0.1993694259380398
ACH-000406,-0.09478381600207172
ACH-000407,-0.0508964239269538
ACH-000408,0.01978008141017485
ACH-000410,-0.0033787260491953764
ACH-000411,-0.09403176807856313
ACH-000414,-0.0978972360516157
ACH-000415,-0.08362412471441709
ACH-000416,-0.10998181967978868
ACH-000420,-0.007865895411801823
ACH-000421,0.005385029489905523
ACH-000424,0.15365489865601012
ACH-000425,-0.004005775554527877
ACH-000426,-0.06803643235335073
ACH-000427,-0.1060162653637192
ACH-000433,0.11567465775609552
ACH-000435,-0.106798480095467
ACH-000436,-0.12294148463591008
ACH-000444,-0.08529017284173157
ACH-000445,0.07105948008791252
ACH-000448,-0.07476453119440035
ACH-000450,0.09067380774432132
ACH-000452,-0.11536334359372985
ACH-000454,-0.14084110812436187
ACH-000458,0.04231106773520413
ACH-000459,0.06997734422994915
ACH-000460,-0.05207432777157182
ACH-000461,-0.06547323465205529
ACH-000463,-0.1835929995471183
ACH-000464,0.026434446445788545
ACH-000466,-0.09220538344363632
ACH-000467,0.0114178257897654
ACH-000468,-0.2272881948869711
ACH-000469,0.009257194467718192
ACH-000470,-0.16451174760079268
ACH-000471,-0.02008007630954789
ACH-000472,0.0034010003898433875
ACH-000473,0.04983362260603158
ACH-000475,-0.06826196873890711
ACH-000476,-0.0042393157997729055
ACH-000477,5.252607742889691e-06
ACH-000479,0.038778218786556407
ACH-000480,-0.1407041895916736
ACH-000481,-0.17787471083609685
ACH-000483,-0.07446036735473517
ACH-000484,-0.12660447182016554
ACH-000485,-0.2082920049510863
ACH-000486,-0.07151424573781319
ACH-000487,-0.03638560497409468
ACH-000488,-0.07492435375012288
ACH-000490,-0.060960877209523125
ACH-000491,0.13983896276676688
ACH-000495,-0.0815075775261361
ACH-000496,-0.08065882946464692
ACH-000499,0.07852778834140464
ACH-000500,-0.019222079537938374
ACH-000502,0.07350722628482381
ACH-000503,-0.07583978540203827
ACH-000505,-0.04429345061265776
ACH-000507,-0.002307606196458852
ACH-000510,-0.039729797652898656
ACH-000511,0.07947536132377286
ACH-000512,-0.2550053690448727
ACH-000516,-0.16188739085355794
ACH-000517,-0.0076442286898278375
ACH-000518,-0.033263258453919614
ACH-000520,-0.10278781212711408
ACH-000521,0.04797435312946775
ACH-000522,-0.11979171156418625
ACH-000524,-0.0895288920403957
ACH-000527,-0.0518524332764062
ACH-000528,-0.038444470152137436
ACH-000537,-0.0214699179709104
ACH-000541,-0.24059027116438556
ACH-000542,-0.02101960330331299
ACH-000544,0.03338112321725758
ACH-000545,0.027816244514580462
ACH-000547,-0.16750299238924546
ACH-000548,-0.0631269544390972
ACH-000549,0.025543850143283874
ACH-000550,0.038501867739505063
ACH-000552,0.030713549667298837
ACH-000556,-0.010251027968238334
ACH-000557,-0.060897106477468335
ACH-000569,-0.18120748218495586
ACH-000570,-0.052437296577567113
ACH-000571,-0.02901444184933405
ACH-000573,0.048124131960907514
ACH-000576,-0.0019048308310346989
ACH-000579,-0.08327277442164838
ACH-000580,-0.01645676118285906
ACH-000584,-0.023156672719072586
ACH-000585,-0.2102670289430116
ACH-000588,0.04331249596407497
ACH-000589,-0.012629555333811358
ACH-000591,0.07796772040795298
ACH-000593,-0.10973494716090552
ACH-000600,-0.12133146089253335
ACH-000601,0.030053128313590975
ACH-000605,-0.2825613159509402
ACH-000606,-0.04665739540401772
ACH-000608,-0.18845866307415607
ACH-000614,-0.15989422128639402
ACH-000616,-0.08447606472207887
ACH-000618,-0.10165285705162774
ACH-000619,-0.12219141982646398
ACH-000620,-0.14940635704995614
ACH-000621,-0.08752015672689517
ACH-000622,-0.05975385321112799
ACH-000623,-0.11844933013041893
ACH-000624,-0.0994952501090774
ACH-000627,-0.1574419043727063
ACH-000630,0.03855794132227698
ACH-000631,0.02686228758494452
ACH-000632,-0.01806337150092924
ACH-000633,-0.14276710510711174
ACH-000637,-0.062933772688178
ACH-000638,-0.08601737763868099
ACH-000646,0.042184441123080736
ACH-000647,-0.05852413731556536
ACH-000648,-0.061781396656589466
ACH-000649,-0.07125422156346442
ACH-000651,-0.12918559944715505
ACH-000652,0.020816081845532162
ACH-000653,-0.09192088197050466
ACH-000657,0.008387851811991016
ACH-000658,0.06163399806732856
ACH-000661,0.029297901531996
ACH-000662,-0.10099762256131288
ACH-000663,-0.07009013032857532
ACH-000665,-0.017376517790086816
ACH-000671,0.026985887118345316
ACH-000672,-0.16755364738022907
ACH-000673,-0.03993825717853277
ACH-000676,0.008317288037124655
ACH-000677,0.17015627354753102
ACH-000681,0.0010438686631854103
ACH-000683,-0.1491700755803691
ACH-000684,-0.04782686889878774
ACH-000688,0.03133663780506449
ACH-000693,-0.08371429021167236
ACH-000694,-0.02347678175984815
ACH-000695,-0.012960773983355342
ACH-000696,-0.017386158456159744
ACH-000697,-0.1187503220970266
ACH-000699,0.011945171603988327
ACH-000701,-0.005628977100569362
ACH-000706,0.16466963847236385
ACH-000711,-0.01520268038948376
ACH-000713,0.047290765140705064
ACH-000714,-0.212581633216448
ACH-000718,-0.032559883760297864
ACH-000720,0.005785923872288849
ACH-000721,-0.08862774866726228
ACH-000724,0.10625151617064567
ACH-000725,-0.13205300133859102
ACH-000732,0.02215228047582762
ACH-000734,-0.06529879715654978
ACH-000735,-0.13356783327576008
ACH-000736,0.010142472296250404
ACH-000738,-0.11319697731106496
ACH-000746,-0.10665009912255903
ACH-000747,0.02635268408710412
ACH-000748,0.0439573076193004
ACH-000753,-0.10729557214740068
ACH-000756,-0.10529103109316997
ACH-000757,0.10873407563474634
ACH-000758,0.09577332346953647
ACH-000760,-0.165074825773176
ACH-000762,-0.15802835829172548
ACH-000763,-0.1768559593590239
ACH-000764,-0.1872367652906917
ACH-000765,-0.1566142089399495
ACH-000766,0.001822769498555405
ACH-000767,-0.14671718681750182
ACH-000768,-0.09671647202143696
ACH-000769,-0.026720871929610736
ACH-000770,-0.1875859100883016
ACH-000771,-0.0927523413611547
ACH-000773,0.11010684146653996
ACH-000776,-0.12531068849024238
ACH-000777,-0.04683930708219743
ACH-000778,-0.08914539250217281
ACH-000781,0.09885464292456816
ACH-000782,-0.21905595187360324
ACH-000783,-0.03294976644000544
ACH-000784,-0.11930031612173732
ACH-000785,-0.16584995657830365
ACH-000787,-0.13675941666137387
ACH-000788,-0.09001152549523529
ACH-000791,0.07926634503482817
ACH-000792,-0.004899901370238464
ACH-000794,-0.104019631768981
ACH-000796,-0.09797024592307103
ACH-000798,-0.042389796200828514
ACH-000799,-0.30630672306515
ACH-000800,0.03137315898328001
ACH-000802,-0.016499545618894742
ACH-000804,-0.1567633933675391
ACH-000805,-0.021823190524878192
ACH-000809,-0.02425609335534529
ACH-000810,-0.14437019422778033
ACH-000811,0.027968720388212538
ACH-000817,-0.11710549029293825
ACH-000819,-0.21317633651462767
ACH-000820,0.1966409115193649
ACH-000821,0.04267428125947853
ACH-000822,0.09056191215559133
ACH-000823,-0.017542405586910743
ACH-000824,-0.04085983200533455
ACH-000827,-0.0009106041181516417
ACH-000829,-0.08553984305513522
ACH-000831,-0.05741127334233199
ACH-000832,-0.12761485068711656
ACH-000833,0.1395609964069407
ACH-000834,-0.029222597618749638
ACH-000835,-0.07852067882096632
ACH-000836,0.14043636751255725
ACH-000837,-0.022298377124368173
ACH-000838,-0.061897751105952026
ACH-000839,-0.05284498145546352
ACH-000840,-0.1273986821397684
ACH-000841,0.0017206107552534685
ACH-000843,0.05361481912351514
ACH-000846,-0.08189144862770965
ACH-000847,-0.08047759480019981
ACH-000848,-0.16558618239313186
ACH-000849,-0.17067578925578006
ACH-000851,-0.1801967150364874
ACH-000855,-0.03526973732037169
ACH-000856,-0.06615080711811999
ACH-000858,0.026373257522744425
ACH-000859,-0.2723049560879632
ACH-000861,0.004666614774822271
ACH-000862,-0.11268151907771895
ACH-000865,-0.0475395611645806
ACH-000866,0.020498031888368573
ACH-000867,-0.007593524693032323
ACH-000869,-0.2848935803693709
ACH-000872,-0.015107914956575472
ACH-000873,-0.13541781935222855
ACH-000876,0.008255860654783497
ACH-000878,-0.13027586845234398
ACH-000880,0.12913111008096112
ACH-000881,0.08020608940264734
ACH-000882,-0.08934724578648623
ACH-000884,-0.06796743999029403
ACH-000885,-0.15484436735679324
ACH-000887,-0.07886891912608321
ACH-000889,-0.004497368989515565
ACH-000896,-0.05990465924990816
ACH-000898,0.002654256466672054
ACH-000900,-0.2449323166070697
ACH-000901,-0.12993279049216985
ACH-000905,-0.06051796967575378
ACH-000906,-0.0916529722863827
ACH-000907,-0.14299841944362568
ACH-000910,-0.1796931789278214
ACH-000911,-0.02507236686359249
ACH-000912,-0.09111727845197484
ACH-000913,-0.07127327047756901
ACH-000915,-0.09880648000410927
ACH-000916,-0.2873387916309049
ACH-000917,-0.0382028110495942
ACH-000920,-0.12548393912420938
ACH-000921,-0.07924317323951581
ACH-000924,0.06824780266778435
ACH-000926,-0.022804514692692842
ACH-000928,-0.11308616875848054
ACH-000929,-0.050350235561581386
ACH-000932,-0.05554416024567937
ACH-000935,-0.3108541666904427
ACH-000936,-0.09090489700432934
ACH-000937,-0.04772448313192276
ACH-000938,-0.09719186750653903
ACH-000939,0.3007922461425614
ACH-000941,0.08864553394717417
ACH-000943,-0.07856592658055939
ACH-000946,0.030717598247509324
ACH-000947,-0.10641677240851992
ACH-000948,0.09132935957197068
ACH-000950,-0.2271354691242148
ACH-000953,-0.2535995719477421
ACH-000954,0.0559570489301304
ACH-000957,0.010804891233385407
ACH-000958,-0.16857623588612625
ACH-000960,0.016954107088451843
ACH-000963,-0.1480989574900924
ACH-000968,-0.2523179858444253
ACH-000969,-0.08298450510450522
ACH-000972,-0.1824322220662019
ACH-000973,-0.03726606814752408
ACH-000974,-0.03362541141649004
ACH-000978,-0.03575309874372665
ACH-000984,-0.12057224749426244
ACH-000986,-0.013188179406697005
ACH-000988,-0.03579522595627592
ACH-000993,-0.03776800786007194
ACH-000994,-0.12963314100803291
ACH-000996,-0.10622766610915227
ACH-001001,0.023883968629414096
ACH-001020,0.20330895681904554
ACH-001028,-0.1578451481084245
ACH-001031,-0.060532292196576236
ACH-001038,-0.12563953590791282
ACH-001048,-0.04839188157734518
ACH-001050,-0.045308767646279766
ACH-001053,-0.1044243140185359
ACH-001054,-0.12674867412547133
ACH-001061,0.01247419273995447
ACH-001067,-0.13704722567239327
ACH-001075,-0.11240994527105527
ACH-001096,-0.2644808842666831
ACH-001111,-0.02553577090686867
ACH-001119,-0.30257131181426056
ACH-001128,0.7219063074568072
ACH-001134,0.006492427365686272
ACH-001151,-0.056213596781304005
ACH-001163,-0.0024614873515640947
ACH-001164,-0.12372510587894962
ACH-001183,0.026778095759780685
ACH-001192,-0.243717161611893
ACH-001193,0.16696723185492873
ACH-001196,-0.032654941545103185
ACH-001197,-0.22048942807823813
ACH-001205,-0.0043260586275137005
ACH-001211,0.5027416303509862
ACH-001212,0.1540534853265245
ACH-001228,-0.10260145913814132
ACH-001232,-0.10689461559148812
ACH-001239,-0.047384023768644666
ACH-001270,0.03681369033747048
ACH-001274,0.013567928685607812
ACH-001275,-0.22446335526455885
ACH-001277,-0.06910391348952014
ACH-001278,-0.0274193756718848
ACH-001280,-0.11210980150629138
ACH-001283,0.03777502672022299
ACH-001289,0.055615204954768016
ACH-001300,-0.17269948644107772
ACH-001301,-0.2574403457412732
ACH-001302,0.3016782981867168
ACH-001306,0.05919667948422321
ACH-001318,-0.0392759606633778
ACH-001322,-0.15213609621041552
ACH-001328,-0.06574731551133328
ACH-001332,0.08208322158225104
ACH-001336,-0.0050548953395072324
ACH-001346,0.04441740186488456
ACH-001353,-0.12847881654735496
ACH-001354,-0.12217056903589013
ACH-001367,-0.08292035200839785
ACH-001368,-0.11903582345074352
ACH-001374,-0.6716629725595289
ACH-001377,-0.13612789452685653
ACH-001380,-0.0790740589788944
ACH-001391,-0.13538271307072833
ACH-001408,-0.0674377866870568
ACH-001430,-0.1690867059782071
ACH-001431,0.2147801897069209
ACH-001450,-0.05239503207593297
ACH-001496,0.09890737048479104
ACH-001500,0.11671761099258665
ACH-001523,-0.18238318663594885
ACH-001532,-0.15247050690450176
ACH-001550,0.14811333458393064
ACH-001552,-0.09080471501956468
ACH-001554,0.025726436255530227
ACH-001654,-0.09650727325566327
ACH-001735,-0.0361074401309924
ACH-001736,0.07411890741591852
ACH-001737,-0.04199103946502421
ACH-001740,-0.1390502478468311
ACH-001745,-0.11987580120308708
ACH-001765,-0.1361932739622178
