,DepMap_ID
15238,ACH-000038
37034,ACH-000106
51109,ACH-000159
60981,ACH-000196
91119,ACH-000288
106399,ACH-000328
119990,ACH-000365
129583,ACH-000390
219496,ACH-000604
242544,ACH-000651
242545,ACH-000651
247831,ACH-000661
264948,ACH-000693
286165,ACH-000730
286166,ACH-000730
370925,ACH-000805
394615,ACH-000835
399558,ACH-000842
399559,ACH-000842
422916,ACH-000869
452385,ACH-000893
470173,ACH-000909
489967,ACH-000920
499507,ACH-000925
507092,ACH-000929
541845,ACH-000943
569118,ACH-000953
583978,ACH-000957
600159,ACH-000962
613886,ACH-000966
633536,ACH-000971
660469,ACH-000978
833709,ACH-000994
891287,ACH-000999
944989,ACH-001136
949001,ACH-001145
1022648,ACH-001461
1064139,ACH-001605
1072193,ACH-001625
1091695,ACH-001738
1154214,ACH-002215
1159122,ACH-002222
1239787,ACH-002396
