,DepMap_ID
15223,ACH-000038
19955,ACH-000059
23000,ACH-000065
23001,ACH-000065
33843,ACH-000094
52676,ACH-000165
57168,ACH-000182
69667,ACH-000221
97994,ACH-000308
110138,ACH-000339
113702,ACH-000349
124765,ACH-000378
135672,ACH-000406
137419,ACH-000410
141582,ACH-000421
154040,ACH-000451
162533,ACH-000472
162534,ACH-000472
165944,ACH-000481
191577,ACH-000545
205577,ACH-000574
213280,ACH-000590
217341,ACH-000599
225112,ACH-000616
225113,ACH-000616
250218,ACH-000665
253136,ACH-000670
253137,ACH-000670
253138,ACH-000670
258198,ACH-000679
266331,ACH-000695
271499,ACH-000703
272538,ACH-000705
275704,ACH-000712
294883,ACH-000747
298877,ACH-000754
306351,ACH-000766
316328,ACH-000780
317290,ACH-000781
331420,ACH-000786
331421,ACH-000786
331422,ACH-000786
331423,ACH-000786
331424,ACH-000786
331425,ACH-000786
331426,ACH-000786
331427,ACH-000786
331428,ACH-000786
363027,ACH-000795
368371,ACH-000802
368372,ACH-000802
383112,ACH-000820
385591,ACH-000823
391162,ACH-000830
394478,ACH-000835
395671,ACH-000837
399470,ACH-000842
400387,ACH-000843
401553,ACH-000844
403491,ACH-000846
408085,ACH-000852
422786,ACH-000869
425355,ACH-000871
436011,ACH-000880
444376,ACH-000886
446117,ACH-000888
446118,ACH-000888
449129,ACH-000890
457561,ACH-000898
468151,ACH-000908
469995,ACH-000909
474434,ACH-000912
474435,ACH-000912
483558,ACH-000917
494610,ACH-000922
506846,ACH-000929
506847,ACH-000929
509535,ACH-000930
523082,ACH-000937
586705,ACH-000958
609802,ACH-000965
648648,ACH-000975
666172,ACH-000979
666173,ACH-000979
679865,ACH-000982
679866,ACH-000982
696836,ACH-000985
704271,ACH-000986
711673,ACH-000987
711674,ACH-000987
718905,ACH-000988
725844,ACH-000989
735211,ACH-000990
747633,ACH-000991
747634,ACH-000991
747635,ACH-000991
747636,ACH-000991
747637,ACH-000991
747638,ACH-000991
823601,ACH-000993
823602,ACH-000993
832439,ACH-000994
851478,ACH-000996
851479,ACH-000996
851480,ACH-000996
862776,ACH-000997
862777,ACH-000997
873269,ACH-000998
873270,ACH-000998
888207,ACH-000999
888208,ACH-000999
888209,ACH-000999
888210,ACH-000999
912195,ACH-001033
915702,ACH-001057
919436,ACH-001065
934414,ACH-001113
944904,ACH-001136
945664,ACH-001137
951573,ACH-001147
954694,ACH-001184
985360,ACH-001345
985361,ACH-001345
991748,ACH-001356
998298,ACH-001369
1021581,ACH-001458
1046188,ACH-001550
1046189,ACH-001550
1051128,ACH-001551
1055381,ACH-001561
1059588,ACH-001568
1059589,ACH-001568
1059590,ACH-001568
1066608,ACH-001610
1083236,ACH-001674
1104950,ACH-002077
1104951,ACH-002077
1125653,ACH-002155
1126021,ACH-002156
1144587,ACH-002187
1146360,ACH-002193
1146921,ACH-002194
1149826,ACH-002200
1158391,ACH-002222
1185583,ACH-002257
1198872,ACH-002282
1198873,ACH-002282
1212044,ACH-002309
1218256,ACH-002314
1223225,ACH-002341
1228720,ACH-002359
