,LRP10 (26020)
ACH-000004,0.0255182181948566
ACH-000005,-0.0774677510579245
ACH-000007,0.18636839961940996
ACH-000009,0.08397989923563252
ACH-000011,0.2531300501618003
ACH-000012,-0.01726906575121528
ACH-000013,0.027656986135266817
ACH-000014,0.1050239069979074
ACH-000015,0.03876360590893778
ACH-000017,0.03489409489076665
ACH-000018,0.08503032149440434
ACH-000019,-0.07282758226691981
ACH-000021,0.08676659110628585
ACH-000022,0.10341736549785127
ACH-000025,0.08592719467822431
ACH-000028,0.0820489843827343
ACH-000030,-0.07213248094190143
ACH-000035,-0.0917833107924634
ACH-000036,0.16543447369530825
ACH-000037,-0.00016273187256986453
ACH-000039,-0.08667839166558917
ACH-000040,0.17571680920465169
ACH-000041,0.052587241363993
ACH-000042,0.02345815875880064
ACH-000045,-0.11402778985351147
ACH-000047,-0.08892455477474376
ACH-000052,0.1592651375426721
ACH-000053,0.025847001530417343
ACH-000054,0.03906583625472943
ACH-000055,0.0818239247110836
ACH-000060,-0.037533206799205535
ACH-000067,-0.014957751201813247
ACH-000070,-0.10552927018553863
ACH-000075,0.05757819820971919
ACH-000078,0.009889198947484202
ACH-000082,0.09807617453531847
ACH-000085,-0.09232838796287653
ACH-000086,0.09017181407828813
ACH-000087,0.061627041514288376
ACH-000092,-0.005679231072269361
ACH-000095,-0.14293278713244925
ACH-000097,-0.056196374692905
ACH-000098,0.0585585670513088
ACH-000099,0.14891940736957218
ACH-000108,-0.07772979315106482
ACH-000113,0.07338344591199329
ACH-000116,0.007622270329352603
ACH-000118,0.008774843199616347
ACH-000120,-0.06456190188032843
ACH-000123,-0.014292165916503298
ACH-000127,0.030733139902780773
ACH-000128,0.05625757682913616
ACH-000132,0.11637346148525833
ACH-000133,-0.06799912294096569
ACH-000137,0.05314189708838719
ACH-000138,0.03641645904542761
ACH-000142,-0.12671186822982192
ACH-000143,-0.1487776745783861
ACH-000146,0.02881689321715697
ACH-000148,0.019242416755175896
ACH-000150,0.17145100547110173
ACH-000152,0.14691709357694016
ACH-000153,0.0014644039433923145
ACH-000159,0.04429603841068045
ACH-000160,-0.02205736046987024
