,MAFF (23764)
ACH-000004,-0.32859877989904657
ACH-000005,-0.260227682623759
ACH-000007,0.11299636412489672
ACH-000009,-0.21513054792236336
ACH-000011,-0.2197787791918034
ACH-000012,-0.156493882332424
ACH-000013,-0.2479300416059753
ACH-000014,-0.26332651357452114
ACH-000015,-0.31369381624552695
ACH-000017,-0.418166485954459
ACH-000018,-0.3219209951503843
ACH-000019,-0.17540770499858016
ACH-000021,-0.16694532203292545
ACH-000022,-0.1458341551758955
ACH-000025,-0.23959170737427746
ACH-000028,-0.2734636796539841
ACH-000030,-0.4168347408712528
ACH-000035,-0.2020500516275489
ACH-000036,-0.1766512812588494
ACH-000037,0.018039910585510015
ACH-000039,-0.3086907118785909
ACH-000040,-0.08603539704432897
ACH-000041,-0.2738187034877852
ACH-000042,-0.4475821317303338
ACH-000045,-0.1580561162405046
ACH-000047,-0.06527121437076716
ACH-000052,-0.14597635546349907
ACH-000053,-0.17613374184314662
ACH-000054,0.004781870457695116
ACH-000055,-0.12761119616637073
ACH-000060,-0.451012873767655
ACH-000067,-0.1931448498630452
ACH-000070,0.1396303552911864
ACH-000075,-0.1396759264189697
ACH-000078,-0.18989782724322798
ACH-000082,-0.010550795656885029
ACH-000085,-0.16352725263767906
ACH-000086,0.06690682789006612
ACH-000087,-0.2318469524189696
ACH-000092,-0.32000034291415824
ACH-000095,-0.17019745576422912
ACH-000097,-0.17046758184066907
ACH-000098,-0.1374337684247484
ACH-000099,-0.21445735944418826
ACH-000108,-0.1886407565431626
ACH-000113,-0.21811291453227236
ACH-000116,-0.2199126371927748
ACH-000118,-0.22366855553449932
ACH-000120,-0.4018813905192422
ACH-000123,-0.12556277936248375
ACH-000127,-0.2204938149740948
ACH-000128,-0.3554814319074308
ACH-000132,-0.2012433852422709
ACH-000133,-0.32612782579981764
ACH-000137,-0.28898386477697063
ACH-000138,-0.1430482862402484
ACH-000142,-0.3650625363014886
ACH-000143,-0.15744440043839356
ACH-000146,-0.2124238596546796
ACH-000148,-0.035252161347468176
ACH-000150,-0.1884985203202643
ACH-000152,-0.08645190624209585
ACH-000153,-0.0176328552120585
ACH-000159,-0.05318730046301266
ACH-000160,-0.19149922782891052
ACH-000163,-0.09802881576624137
ACH-000167,-0.17327195775307944
ACH-000168,-0.18946873517508533
ACH-000169,-0.270314494823774
ACH-000178,-0.1810942985903961
ACH-000183,-0.1919955545329703
ACH-000188,-0.2052515687591318
ACH-000189,-0.2523323160624793
ACH-000190,-0.09557477740077694
ACH-000198,-0.2650465528884217
ACH-000203,-0.3465686243388034
ACH-000204,-0.4111591800174712
ACH-000206,-0.25045877395913857
ACH-000207,-0.1804057353422759
ACH-000208,-0.22299483255026376
ACH-000210,-0.5798749824869387
ACH-000211,-0.25426083878188005
ACH-000215,-0.1511715942299299
ACH-000221,-0.3550267683789128
ACH-000222,-0.3705961499254514
ACH-000223,-0.1678857940196484
ACH-000226,-0.22443289778073414
ACH-000227,-0.1551135546221563
ACH-000228,-0.3030746634314288
ACH-000231,-0.2881355734037386
ACH-000232,-0.21015365735457914
ACH-000233,-0.16415751455341804
ACH-000234,-0.103657537126979
ACH-000235,-0.11496570081036148
ACH-000237,-0.2135638886041932
ACH-000238,-0.19932350545372374
ACH-000242,-0.2859753047101114
ACH-000243,-0.2303798662549736
ACH-000244,-0.2015769049152976
ACH-000246,-0.08136127463632427
ACH-000248,0.07062505655828362
ACH-000250,-0.12517628657348734
ACH-000251,-0.16005786153030355
ACH-000252,-0.22408566112492392
ACH-000253,-0.33585461054737104
ACH-000255,-0.16689893606133635
ACH-000256,-0.2801228689725644
ACH-000257,-0.14986079727010332
ACH-000258,-0.07628544641745827
ACH-000259,-0.228787059436734
ACH-000260,-0.13042569554182692
ACH-000261,-0.11216238804684532
ACH-000262,0.11856658365979393
ACH-000263,-0.27902507957210004
ACH-000264,-0.18618915512940565
ACH-000265,-0.21597821483804167
ACH-000266,-0.42801802736959793
ACH-000272,-0.14774136895817222
ACH-000274,-0.2622706778166921
ACH-000277,-0.08943180828093301
ACH-000278,-0.06834256745799203
ACH-000279,-0.2394860860635284
ACH-000280,-0.15761092072818206
ACH-000281,-0.11555213467724848
ACH-000288,-0.21069544979555355
ACH-000291,-0.25890110053601983
ACH-000293,-0.0689680805007034
ACH-000294,-0.23854662426656525
ACH-000295,-0.2357273912851772
ACH-000296,-0.17418171732680793
ACH-000302,-0.2210752011049429
ACH-000304,-0.36440671310584816
ACH-000307,-0.11405191119881407
ACH-000308,-0.27174096537689274
ACH-000310,-0.4110360977075849
ACH-000311,-0.14013776161577693
ACH-000312,-0.15806903983270826
ACH-000315,-0.21951465346124208
ACH-000316,0.03538161567945348
ACH-000317,-0.11074542943224376
ACH-000318,-0.1056464492017867
ACH-000319,-0.3148655386122233
ACH-000320,-0.20319189051315456
ACH-000322,-0.455542085969141
ACH-000323,-0.21663774274365985
ACH-000324,-0.12328331379163072
ACH-000329,0.0040187113882696884
ACH-000330,-0.1686857080133286
ACH-000331,-0.18418951600937428
ACH-000332,-0.19456345655629187
ACH-000334,-0.17625125677213274
ACH-000335,0.009457912645056552
ACH-000336,-0.10642651840949753
ACH-000337,-0.03354768426498901
ACH-000338,0.5372776240740809
ACH-000339,-0.24305909429315714
ACH-000341,-0.11886648085792599
ACH-000348,-0.20804866320408896
ACH-000350,-0.08766320647392735
ACH-000352,-0.0921678764429865
ACH-000356,-0.09117035635759327
