,DepMap_ID
79673,ACH-000252
107199,ACH-000330
164244,ACH-000476
177798,ACH-000510
196087,ACH-000553
210710,ACH-000585
223410,ACH-000611
235578,ACH-000637
247530,ACH-000660
305454,ACH-000764
408720,ACH-000852
409932,ACH-000853
424669,ACH-000870
427578,ACH-000872
439369,ACH-000882
475436,ACH-000912
511130,ACH-000930
565234,ACH-000951
579228,ACH-000955
615634,ACH-000966
656336,ACH-000977
708239,ACH-000986
708240,ACH-000986
715684,ACH-000987
715685,ACH-000987
730065,ACH-000989
827975,ACH-000993
868667,ACH-000997
902674,ACH-000999
928017,ACH-001081
1018219,ACH-001431
1036337,ACH-001524
1059009,ACH-001567
1059010,ACH-001567
1097395,ACH-001861
1103601,ACH-002059
1114199,ACH-002113
1122320,ACH-002146
1126819,ACH-002157
1176769,ACH-002253
1186538,ACH-002258
1237352,ACH-002393
