,DepMap_ID
35036,ACH-000098
36352,ACH-000103
40837,ACH-000121
53364,ACH-000168
57495,ACH-000183
110668,ACH-000341
145470,ACH-000430
159791,ACH-000466
176622,ACH-000508
200229,ACH-000562
214033,ACH-000592
216683,ACH-000598
257645,ACH-000678
263340,ACH-000690
266679,ACH-000696
282211,ACH-000724
297177,ACH-000751
316219,ACH-000780
318014,ACH-000782
366436,ACH-000800
390109,ACH-000829
440844,ACH-000884
451246,ACH-000892
495964,ACH-000923
540860,ACH-000943
599503,ACH-000962
612981,ACH-000966
612982,ACH-000966
624151,ACH-000969
644054,ACH-000974
658918,ACH-000978
885744,ACH-000999
885745,ACH-000999
885746,ACH-000999
885747,ACH-000999
922774,ACH-001081
948268,ACH-001145
1080845,ACH-001653
1087832,ACH-001735
1127197,ACH-002159
1144787,ACH-002188
1185964,ACH-002258
1195063,ACH-002275
1221312,ACH-002338
