,DepMap_ID
41,ACH-000001
3857,ACH-000013
86955,ACH-000275
139261,ACH-000415
197680,ACH-000557
210367,ACH-000585
211556,ACH-000587
217690,ACH-000600
244933,ACH-000656
265617,ACH-000694
295475,ACH-000748
308274,ACH-000769
327198,ACH-000786
358403,ACH-000789
417293,ACH-000863
422622,ACH-000869
456131,ACH-000897
458799,ACH-000899
472511,ACH-000911
472512,ACH-000911
489187,ACH-000920
499031,ACH-000925
502439,ACH-000927
529797,ACH-000939
546316,ACH-000945
599440,ACH-000962
602971,ACH-000963
602972,ACH-000963
624057,ACH-000969
624058,ACH-000969
628578,ACH-000970
632532,ACH-000971
636660,ACH-000972
643966,ACH-000974
648301,ACH-000975
695899,ACH-000985
725053,ACH-000989
733634,ACH-000990
746594,ACH-000991
766756,ACH-000992
766757,ACH-000992
766758,ACH-000992
766759,ACH-000992
766760,ACH-000992
766761,ACH-000992
766762,ACH-000992
766763,ACH-000992
766764,ACH-000992
766765,ACH-000992
766766,ACH-000992
766767,ACH-000992
766768,ACH-000992
766769,ACH-000992
766770,ACH-000992
766771,ACH-000992
766772,ACH-000992
766773,ACH-000992
766774,ACH-000992
766775,ACH-000992
766776,ACH-000992
766777,ACH-000992
766778,ACH-000992
766779,ACH-000992
766780,ACH-000992
831291,ACH-000994
831292,ACH-000994
841159,ACH-000995
841160,ACH-000995
841161,ACH-000995
850152,ACH-000996
861590,ACH-000997
861591,ACH-000997
885296,ACH-000999
885297,ACH-000999
936977,ACH-001127
936978,ACH-001127
936979,ACH-001127
948191,ACH-001145
984616,ACH-001345
997958,ACH-001369
1099239,ACH-002040
1132018,ACH-002166
1157762,ACH-002222
1157763,ACH-002222
1178805,ACH-002256
1178806,ACH-002256
1192048,ACH-002272
1201297,ACH-002287
